GEOID,FP_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005007700,0.95,0.95,0.95,1.0,48333,37222,2165,0.5351,0.2416,0.156,107246.0,Bronx,-70024.0,1,1
36005007800,9.78,9.78,9.78,1.0,54615,103523,6301,0.5686,0.1726,0.127,107246.0,Bronx,-3723.0,1,1
36005007900,1.46,1.46,1.46,1.0,22534,34600,7157,0.14,0.4458,0.279,107246.0,Bronx,-72646.0,1,1
36005008300,3.48,3.48,3.48,1.0,42386,36290,6121,0.3176,0.2137,0.175,107246.0,Bronx,-70956.0,1,1
36005008400,8.99,8.99,8.99,1.0,66373,89861,3290,0.6044,0.0642,0.066,107246.0,Bronx,-17385.0,1,1
36005008500,1.51,1.51,1.51,1.0,33065,106181,5706,0.2778,0.297,0.219,107246.0,Bronx,-1065.0,1,1
36005008600,3.17,3.17,3.17,1.0,25608,38269,4134,0.2662,0.4184,0.241,107246.0,Bronx,-68977.0,1,1
36005008700,5.98,5.98,5.98,1.0,30357,33750,6328,0.3469,0.4029,0.272,107246.0,Bronx,-73496.0,1,1
36005008900,4.64,4.64,4.64,1.0,29599,78929,3197,0.2404,0.1898,0.224,107246.0,Bronx,-28317.0,1,1
36005009000,7.29,7.29,7.29,1.0,30953,31744,3693,0.4461,0.3287,0.213,107246.0,Bronx,-75502.0,1,1
36005009200,6.67,6.67,6.67,1.0,54924,48292,6122,0.5937,0.2272,0.171,107246.0,Bronx,-58954.0,1,1
36005009301,3.49,3.49,3.49,1.0,39606,23090,4928,0.2566,0.3569,0.235,107246.0,Bronx,-84156.0,1,1
36005009600,3.06,3.06,3.06,1.0,49638,92917,2762,0.5064,0.1618,0.166,107246.0,Bronx,-14329.0,1,1
36005009800,3.91,3.91,3.91,1.0,73622,122526,4818,0.7704,0.1504,0.135,107246.0,Bronx,15280.0,0,0
36005011502,3.78,3.78,3.78,1.0,23791,26382,4210,0.2709,0.4241,0.269,107246.0,Bronx,-80864.0,1,1
36005011701,2.78,2.78,2.78,1.0,37781,11723,1608,0.2525,0.3999,0.218,107246.0,Bronx,-95523.0,1,1
36005011800,14.85,14.85,14.85,1.0,101875,142635,6041,0.8752,0.0889,0.101,,,,0,0
36005011900,9.46,9.46,9.46,1.0,32007,59393,6193,0.2111,0.3119,0.233,107246.0,Bronx,-47853.0,1,1
36005012101,4.01,4.01,4.01,1.0,48152,69479,3267,0.3793,0.2816,0.17,107246.0,Bronx,-37767.0,1,1
36005012102,7.54,7.54,7.54,1.0,27281,67632,1463,0.3328,0.2479,0.257,107246.0,Bronx,-39614.0,1,1
36005012300,4.53,4.53,4.53,1.0,39258,79821,4582,0.4354,0.1524,0.096,,,,0,1
36005012500,2.49,2.49,2.49,1.0,45966,62019,4014,0.5,0.3205,0.198,107246.0,Bronx,-45227.0,1,1
36005012701,4.46,4.46,4.46,1.0,34960,34450,2207,0.4101,0.2856,0.168,107246.0,Bronx,-72796.0,1,1
36005012901,2.96,2.96,2.96,1.0,34329,53486,4961,0.2353,0.3596,0.255,107246.0,Bronx,-53760.0,1,1
36005013000,6.9,6.9,6.9,1.0,55333,85766,1297,0.7105,0.2475,0.09,107246.0,Bronx,-21480.0,1,1
36005013100,1.91,1.91,1.91,1.0,25227,39101,5252,0.2889,0.3713,0.264,107246.0,Bronx,-68145.0,1,1
36005013200,10.97,10.97,10.97,1.0,122179,177532,7288,0.8381,0.0668,0.061,107246.0,Bronx,70286.0,0,0
36005013300,3.08,3.08,3.08,1.0,32326,68417,6236,0.3208,0.2386,0.174,107246.0,Bronx,-38829.0,1,1
36005013500,3.25,3.25,3.25,1.0,17385,26946,3492,0.2662,0.4668,0.264,107246.0,Bronx,-80300.0,1,1
36005013800,3.3,3.3,3.3,1.0,81164,74395,3077,0.7888,0.1176,0.148,107246.0,Bronx,-32851.0,1,0
36005014100,1.68,1.68,1.68,1.0,33064,36250,6384,0.2343,0.3278,0.183,107246.0,Bronx,-70996.0,1,1
36005014300,4.32,4.32,4.32,1.0,16196,25103,1579,0.1956,0.4174,0.199,107246.0,Bronx,-82143.0,1,1
36005014400,5.55,5.55,5.55,1.0,18906,29304,5781,0.3229,0.3257,0.244,107246.0,Bronx,-77942.0,1,1
36005014500,1.55,1.55,1.55,1.0,32074,36458,7002,0.1667,0.4486,0.252,107246.0,Bronx,-70788.0,1,1
36005014701,2.76,2.76,2.76,1.0,24279,33063,5864,0.0918,0.4606,0.3,107246.0,Bronx,-74183.0,1,1
36005014702,2.73,2.73,2.73,1.0,18033,27951,5157,0.2312,0.4892,0.325,107246.0,Bronx,-79295.0,1,1
36005014900,2.89,2.89,2.89,1.0,24375,39233,4708,0.242,0.4558,0.301,107246.0,Bronx,-68013.0,1,1
36005015100,2.2,2.2,2.2,1.0,27135,42059,5311,0.3211,0.3422,0.218,107246.0,Bronx,-65187.0,1,1
36005015200,8.66,8.66,8.66,1.0,78425,107500,2565,0.8258,0.1343,0.099,107246.0,Bronx,254.0,0,0
36005015300,3.03,3.03,3.03,1.0,32060,48224,4226,0.2832,0.2862,0.163,107246.0,Bronx,-59022.0,1,1
36005015500,4.03,4.03,4.03,1.0,35559,44605,3089,0.3315,0.2515,0.206,107246.0,Bronx,-62641.0,1,1
36005015700,3.97,3.97,3.97,1.0,37600,42254,5155,0.3085,0.3387,0.193,107246.0,Bronx,-64992.0,1,1
36005015800,3.06,3.06,3.06,1.0,59375,76576,1423,0.7038,0.2496,0.2,107246.0,Bronx,-30670.0,1,1
36005015900,5.26,5.26,5.26,1.0,28611,35417,2164,0.5711,0.3386,0.196,107246.0,Bronx,-71829.0,1,1
36005016000,12.4,12.4,12.4,1.0,86517,134101,3891,0.8727,0.1241,0.133,107246.0,Bronx,26855.0,0,0
36005016100,5.8,5.8,5.8,1.0,19599,37981,4787,0.2106,0.3996,0.261,107246.0,Bronx,-69265.0,1,1
36005016200,9.55,9.55,9.55,1.0,85909,133750,1712,0.8706,0.0709,0.112,107246.0,Bronx,26504.0,0,0
36005016400,15.47,15.47,15.47,1.0,66681,160750,1074,0.7544,0.2439,0.137,107246.0,Bronx,53504.0,0,1
36005016500,1.58,1.58,1.58,1.0,35156,54491,1074,0.2915,0.1853,0.105,107246.0,Bronx,-52755.0,1,1
36005016600,16.17,16.17,16.17,1.0,95372,124886,2397,0.8789,0.1313,0.132,107246.0,Bronx,17640.0,0,0
36005016700,2.87,2.87,2.87,1.0,46481,46691,3822,0.4809,0.3666,0.206,107246.0,Bronx,-60555.0,1,1
36005016900,1.86,1.86,1.86,1.0,45273,24500,1729,0.3899,0.3874,0.23,107246.0,Bronx,-82746.0,1,1
36005017300,4.07,4.07,4.07,1.0,29063,41031,6373,0.1254,0.4103,0.264,107246.0,Bronx,-66215.0,1,1
36005017500,1.7,1.7,1.7,1.0,25767,39938,6768,0.1374,0.3968,0.201,107246.0,Bronx,-67308.0,1,1
36005017701,3.35,3.35,3.35,1.0,33428,70893,4554,0.409,0.5014,0.22,107246.0,Bronx,-36353.0,1,1
36005017702,1.84,1.84,1.84,1.0,42262,45944,5412,0.4344,0.284,0.219,107246.0,Bronx,-61302.0,1,1
36005017901,2.78,2.78,2.78,1.0,42774,61604,4751,0.176,0.2825,0.187,107246.0,Bronx,-45642.0,1,1
36005017902,2.84,2.84,2.84,1.0,36614,75767,4138,0.2261,0.3188,0.149,107246.0,Bronx,-31479.0,1,1
36005018101,3.37,3.37,3.37,1.0,48464,48333,3502,0.3487,0.3065,0.185,107246.0,Bronx,-58913.0,1,1
36005018102,0.93,0.93,0.93,1.0,30063,46227,5695,0.1704,0.3615,0.221,107246.0,Bronx,-61019.0,1,1
36005018301,4.16,4.16,4.16,1.0,43350,69271,4657,0.3393,0.1535,0.157,107246.0,Bronx,-37975.0,1,1
36005018302,2.67,2.67,2.67,1.0,57180,92838,3546,0.2821,0.0871,0.095,107246.0,Bronx,-14408.0,1,1
36005018400,16.39,16.39,16.39,1.0,105052,112159,4057,0.814,0.0897,0.111,107246.0,Bronx,4913.0,0,0
36005018501,3.57,3.57,3.57,1.0,47826,74130,3069,0.1708,0.2134,0.149,107246.0,Bronx,-33116.0,1,1
36005018502,1.65,1.65,1.65,1.0,23508,50450,6503,0.159,0.453,0.365,107246.0,Bronx,-56796.0,1,1
36005018900,0.82,0.82,0.82,1.0,36087,30341,8311,0.28,0.3859,0.207,107246.0,Bronx,-76905.0,1,1
36005019300,5.08,5.08,5.08,1.0,35291,43255,7126,0.1644,0.3072,0.178,107246.0,Bronx,-63991.0,1,1
36005019400,11.41,11.41,11.41,1.0,63452,46417,2162,0.7055,0.1735,0.148,107246.0,Bronx,-60829.0,1,1
36005019500,1.99,1.99,1.99,1.0,44323,54028,7766,0.1494,0.3027,0.239,107246.0,Bronx,-53218.0,1,1
36005019700,1.86,1.86,1.86,1.0,31008,53701,7479,0.175,0.4621,0.196,107246.0,Bronx,-53545.0,1,1
36005019900,4.18,4.18,4.18,1.0,37080,100346,7899,0.2561,0.3412,0.205,107246.0,Bronx,-6900.0,1,1
36005020000,1.09,1.09,1.09,1.0,41250,49167,5147,0.4367,0.2413,0.172,107246.0,Bronx,-58079.0,1,1
36005020100,2.32,2.32,2.32,1.0,38235,39743,3772,0.229,0.3474,0.191,107246.0,Bronx,-67503.0,1,1
36005020200,4.16,4.16,4.16,1.0,48204,61500,2372,0.4376,0.1984,0.147,107246.0,Bronx,-45746.0,1,1
36005020400,5.62,5.62,5.62,1.0,57159,53967,3431,0.6079,0.202,0.155,107246.0,Bronx,-53279.0,1,1
36005020501,1.51,1.51,1.51,1.0,19147,26708,7267,0.1874,0.5514,0.379,107246.0,Bronx,-80538.0,1,1
36005020502,6.29,6.29,6.29,1.0,37946,58816,2515,0.2986,0.2186,0.152,107246.0,Bronx,-48430.0,1,1
36005020601,5.41,5.41,5.41,1.0,53750,83312,2425,0.4821,0.2791,0.174,107246.0,Bronx,-23934.0,1,1
36005020900,2.38,2.38,2.38,1.0,39489,44851,4997,0.1582,0.2481,0.116,107246.0,Bronx,-62395.0,1,1
36005021001,8.88,8.88,8.88,1.0,56258,87199,8111,0.3556,0.2252,0.172,107246.0,Bronx,-20047.0,1,1
36005021002,5.5,5.5,5.5,1.0,61940,83289,8192,0.3688,0.1969,0.137,107246.0,Bronx,-23957.0,1,1
36005021100,2.29,2.29,2.29,1.0,35855,38750,6036,0.2445,0.3051,0.25,107246.0,Bronx,-68496.0,1,1
36005021200,2.81,2.81,2.81,1.0,61146,74238,5157,0.2801,0.2004,0.146,107246.0,Bronx,-33008.0,1,1
36005021301,4.14,4.14,4.14,1.0,34773,53898,1397,0.3252,0.2198,0.197,107246.0,Bronx,-53348.0,1,1
36005021302,4.46,4.46,4.46,1.0,19660,41012,5865,0.1248,0.4839,0.306,107246.0,Bronx,-66234.0,1,1
36005021501,6.1,6.1,6.1,1.0,36607,61375,4445,0.3134,0.3309,0.236,107246.0,Bronx,-45871.0,1,1
36005021502,5.84,5.84,5.84,1.0,26176,59985,6772,0.43,0.3438,0.232,107246.0,Bronx,-47261.0,1,1
36005021601,4.21,4.21,4.21,1.0,39283,50697,4625,0.3893,0.1963,0.145,107246.0,Bronx,-56549.0,1,1
36005021602,2.39,2.39,2.39,1.0,54410,84335,6195,0.2863,0.1995,0.146,107246.0,Bronx,-22911.0,1,1
36005021700,6.21,6.21,6.21,1.0,40794,66974,5220,0.2075,0.2446,0.197,107246.0,Bronx,-40272.0,1,1
36005021800,8.61,8.61,8.61,1.0,50849,40714,6154,0.4287,0.2977,0.15,107246.0,Bronx,-66532.0,1,1
36005021900,1.81,1.81,1.81,1.0,40587,59688,963,0.3045,0.2222,0.133,107246.0,Bronx,-47558.0,1,1
36005022000,6.45,6.45,6.45,1.0,29625,57031,1917,0.3425,0.4554,0.262,107246.0,Bronx,-50215.0,1,1
36005022101,3.06,3.06,3.06,1.0,37200,47183,4030,0.327,0.4019,0.242,107246.0,Bronx,-60063.0,1,1
36005022102,1.84,1.84,1.84,1.0,40500,49000,5995,0.1769,0.2814,0.187,107246.0,Bronx,-58246.0,1,1
36005022200,2.56,2.56,2.56,1.0,46806,51477,3169,0.3112,0.2455,0.173,107246.0,Bronx,-55769.0,1,1
36005022300,3.57,3.57,3.57,1.0,30694,31857,5553,0.1251,0.3031,0.177,107246.0,Bronx,-75389.0,1,1
36005022401,2.78,2.78,2.78,1.0,50262,104545,2517,0.5552,0.153,0.181,107246.0,Bronx,-2701.0,1,1
36005022403,1.78,1.78,1.78,1.0,80140,135000,3061,0.5165,0.0944,0.168,107246.0,Bronx,27754.0,0,0
36005022404,3.18,3.18,3.18,1.0,62656,64148,4736,0.4461,0.1294,0.137,107246.0,Bronx,-43098.0,1,1
36005022500,4.22,4.22,4.22,1.0,47254,47122,8818,0.3312,0.222,0.241,107246.0,Bronx,-60124.0,1,1
36005022701,5.39,5.39,5.39,1.0,32773,43214,4831,0.1868,0.3303,0.251,107246.0,Bronx,-64032.0,1,1
36005022702,3.8,3.8,3.8,1.0,24201,37511,1451,0.1464,0.53,0.292,107246.0,Bronx,-69735.0,1,1
36005022703,3.73,3.73,3.73,1.0,70882,70469,1991,0.2594,0.3255,0.168,107246.0,Bronx,-36777.0,1,1
36005022800,3.46,3.46,3.46,1.0,66352,91806,6207,0.5795,0.1556,0.125,107246.0,Bronx,-15440.0,1,1
36005022901,2.28,2.28,2.28,1.0,41317,64041,5530,0.2515,0.2788,0.171,107246.0,Bronx,-43205.0,1,1
36005022902,1.15,1.15,1.15,1.0,46576,72192,3710,0.3684,0.3508,0.186,107246.0,Bronx,-35054.0,1,1
36005023000,5.23,5.23,5.23,1.0,51490,85952,2963,0.4716,0.2683,0.173,107246.0,Bronx,-21294.0,1,1
36005023100,2.98,2.98,2.98,1.0,47321,73347,1696,0.3449,0.3333,0.206,107246.0,Bronx,-33899.0,1,1
36005023200,2.84,2.84,2.84,1.0,53266,82566,2517,0.5493,0.2288,0.186,107246.0,Bronx,-24680.0,1,1
36005023301,0.82,0.82,0.82,1.0,37887,58724,4177,0.248,0.2275,0.206,107246.0,Bronx,-48522.0,1,1
36005023302,4.66,4.66,4.66,1.0,47857,74178,3982,0.2402,0.3204,0.185,107246.0,Bronx,-33068.0,1,1
36005023501,4.19,4.19,4.19,1.0,31786,22614,3325,0.339,0.4559,0.216,107246.0,Bronx,-84632.0,1,1
36005023502,5.28,5.28,5.28,1.0,44757,60179,4628,0.2344,0.1683,0.152,107246.0,Bronx,-47067.0,1,1
36005023600,0.38,0.38,0.38,1.0,42121,65287,1602,0.4767,0.1212,0.106,107246.0,Bronx,-41959.0,1,1
36005023702,2.55,2.55,2.55,1.0,48646,100104,1333,0.32,0.3308,0.216,107246.0,Bronx,-7142.0,1,1
36005023703,1.25,1.25,1.25,1.0,19179,28616,5493,0.1065,0.4802,0.305,107246.0,Bronx,-78630.0,1,1
36005023704,3.13,3.13,3.13,1.0,31420,42978,3821,0.1906,0.4098,0.308,107246.0,Bronx,-64268.0,1,1
36005023800,5.02,5.02,5.02,1.0,64760,61667,2480,0.7036,0.164,0.145,107246.0,Bronx,-45579.0,1,1
36005023900,2.85,2.85,2.85,1.0,43102,66808,8489,0.246,0.3201,0.22,107246.0,Bronx,-40438.0,1,1
36005024000,5.78,5.78,5.78,1.0,71513,120547,4618,0.6024,0.1927,0.175,107246.0,Bronx,13301.0,0,0
36005024100,2.63,2.63,2.63,1.0,42482,61932,6921,0.2708,0.2441,0.176,107246.0,Bronx,-45314.0,1,1
36005024300,3.83,3.83,3.83,1.0,31435,42614,5575,0.2659,0.3064,0.239,107246.0,Bronx,-64632.0,1,1
36005024400,8.37,8.37,8.37,1.0,54359,54037,2512,0.7708,0.126,0.117,107246.0,Bronx,-53209.0,1,1
36005024501,7.92,7.92,7.92,1.0,35303,54719,4475,0.3354,0.3296,0.216,107246.0,Bronx,-52527.0,1,1
36005024502,6.14,6.14,6.14,1.0,42396,87315,3848,0.2737,0.2283,0.152,107246.0,Bronx,-19931.0,1,1
36005024600,7.29,7.29,7.29,1.0,77188,119641,2065,0.7249,0.1499,0.149,107246.0,Bronx,12395.0,0,0
36005024700,10.01,10.01,10.01,1.0,52016,79152,1967,0.4085,0.1479,0.142,107246.0,Bronx,-28094.0,1,1
36005024800,8.43,8.43,8.43,1.0,77731,104919,3370,0.5556,0.0619,0.115,107246.0,Bronx,-2327.0,1,0
36005025000,12.48,12.48,12.48,1.0,82941,128558,2601,0.6412,0.1038,0.076,107246.0,Bronx,21312.0,0,0
36005025100,1.35,1.35,1.35,1.0,46728,72428,6462,0.3063,0.2699,0.151,107246.0,Bronx,-34818.0,1,1
36005025200,11.41,11.41,11.41,1.0,71042,72500,2561,0.7323,0.1346,0.141,107246.0,Bronx,-34746.0,1,0
36005025300,2.3,2.3,2.3,1.0,40479,82989,6313,0.2967,0.2603,0.206,107246.0,Bronx,-24257.0,1,1
36005025400,10.89,10.89,10.89,1.0,75368,176510,2183,0.6456,0.109,0.116,107246.0,Bronx,69264.0,0,0
