GEOID,Mo_period_1_tt,Mo_period_2_tt,Mo_period_3_tt,Mo_period_4_tt,Tu_period_1_tt,Tu_period_2_tt,Tu_period_3_tt,Tu_period_4_tt,We_period_1_tt,We_period_2_tt,We_period_3_tt,We_period_4_tt,Th_period_1_tt,Th_period_2_tt,Th_period_3_tt,Th_period_4_tt,Fr_period_1_tt,Fr_period_2_tt,Fr_period_3_tt,Fr_period_4_tt,Sa_period_1_tt,Sa_period_2_tt,Sa_period_3_tt,Sa_period_4_tt,Su_period_1_tt,Su_period_2_tt,Su_period_3_tt,Su_period_4_tt,min,mean,index,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty,percent_food_insecure,TCoL_2023,TCoL_mapping,Income_minus_TCOL,below_TCOL,poverty_ind
36005003800,28.8,28.8,28.8,28.8,28.8,8.73,8.73,28.8,1.48,19.7,19.7,28.8,28.8,8.73,8.73,28.8,28.25,8.73,22.67,28.25,28.31,19.41,22.67,99.62,19.7,19.7,73.85,99.62,1.48,28.77785714285715,0.39285714285714285,83295,116146,1313,0.7638,0.1346,0.109,107246.0,Bronx,8900.0,0,0
36005003900,20.75,14.12,15.89,22.02,22.79,9.86,14.78,22.02,22.41,9.86,15.89,16.52,15.81,9.86,15.89,22.02,20.75,11.92,13.39,22.02,4.17,14.3,22.02,22.02,35.57,35.57,22.02,22.02,4.17,18.437857142857137,0.5,20049,31075,6710,0.2761,0.3981,0.255,107246.0,Bronx,-76171.0,1,1
36005004001,26.68,26.68,26.68,26.68,26.68,15.08,23.59,26.68,20.26,21.08,21.08,26.68,26.68,23.59,23.59,26.68,10.87,10.87,10.87,10.87,27.87,18.76,22.65,104.73,21.08,21.08,67.77,104.73,10.87,29.305000000000003,0.21428571428571427,64087,99334,1574,0.7324,0.1925,0.132,107246.0,Bronx,-7912.0,1,1
36005004100,21.05,8.66,8.66,31.44,15.43,8.66,8.66,31.44,21.81,7.73,8.66,15.17,7.7,8.66,8.66,31.44,21.05,8.66,8.66,31.44,7.33,6.19,21.81,31.44,35.94,45.0,31.44,31.44,6.19,18.7225,0.5357142857142857,20551,63182,5798,0.3132,0.4852,0.307,107246.0,Bronx,-44064.0,1,1
36005004200,29.11,29.11,29.11,29.11,29.11,13.98,13.98,29.11,10.64,19.18,19.18,29.11,29.11,13.98,13.98,29.11,19.63,13.98,19.63,19.63,28.62,16.85,22.98,100.69,19.18,19.18,74.04,100.69,10.64,29.357499999999998,0.5,57250,89758,7803,0.535,0.2366,0.141,107246.0,Bronx,-17488.0,1,1
36005004300,15.0,5.78,5.78,31.03,13.1,5.48,5.78,31.03,15.0,5.48,5.78,8.73,4.82,5.48,5.78,31.03,15.0,5.6,5.6,31.03,6.92,3.3,15.0,31.03,30.9,42.16,31.03,31.03,3.3,15.84571428571428,0.6785714285714286,25534,68534,5527,0.2446,0.3553,0.254,107246.0,Bronx,-38712.0,1,1
36005004400,21.11,21.11,21.11,21.11,21.11,20.95,20.95,21.11,13.17,14.97,14.97,21.11,21.11,20.95,20.95,21.11,17.59,14.97,14.97,17.59,20.61,14.97,14.97,95.64,30.67,30.67,64.8,95.64,13.17,26.78535714285714,0.32142857142857145,15750,15451,4551,0.31,0.5072,0.327,107246.0,Bronx,-91795.0,1,1
36005004600,27.61,27.61,27.61,27.61,27.61,16.48,16.48,27.61,8.86,21.47,21.47,27.61,27.61,16.48,16.48,27.61,27.61,16.48,21.47,27.61,27.11,21.47,21.47,97.25,27.04,27.04,73.05,97.25,8.86,30.395000000000003,0.21428571428571427,29145,45174,1826,0.3663,0.5043,0.279,107246.0,Bronx,-62072.0,1,1
36005004800,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,11.33,5.1,5.1,11.33,11.33,11.33,11.33,11.33,11.33,5.1,5.1,11.33,10.88,5.1,5.1,88.77,36.67,36.67,61.24,88.77,5.1,19.102857142857147,0.8214285714285714,33500,87969,4464,0.3098,0.2607,0.167,107246.0,Bronx,-19277.0,1,1
36005005001,15.17,10.48,15.17,15.17,15.17,15.17,15.17,15.17,15.17,2.82,2.82,15.17,15.17,15.17,15.17,15.17,15.17,2.82,2.82,15.17,14.88,2.82,2.82,83.47,41.05,41.05,60.94,83.47,2.82,20.707499999999992,0.8214285714285714,28353,47727,4304,0.3389,0.5078,0.295,107246.0,Bronx,-59519.0,1,1
36005005002,9.79,5.04,9.79,9.79,9.79,9.79,9.79,9.79,9.79,4.34,4.34,9.79,9.79,9.79,9.79,9.79,9.79,4.34,4.34,9.79,9.5,4.34,4.34,82.5,39.07,44.29,55.51,82.5,4.34,17.54642857142857,0.8214285714285714,34013,62969,6393,0.2271,0.3928,0.255,107246.0,Bronx,-44277.0,1,1
