GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36005029700,Bronx,BX0803,-73.9118308589413,40.884923367406586,POINT (-73.91183090407148 40.884923312768336),POINT (-73.9118308589413 40.88492336740659),33.396,81348,40.581,83550,40.581,80121,40.581,80121,40.581,83550,36.203,85339,34.845,87096,39.204,Plentiful-113,44.955,85239,44.609,85545,46.15,DSNY-BRS-2184,32.819,81608,52.182,83918,38.158,85536,48.626,80086,48.626,FPC-662,48.626,FPC-513,56.79,81702,58.939,84953,56.921,80137,65.935,85003,62.432,87064,59.393,FPC-530,64.622,FPC-578,52.492,85114,40.224,80541,62.636,85518,56.996,85311,70.059,84728,52.952,81418,45.682,81727,49.443,80596,54.504,FPC-666,48.66,DSNY-BRS-1262,52.852,80565,48.41,84451,48.41,80474,44.451,FPC-584,49.494,80801,61.699,FPC-493,64.285,85379,47.691,80850,49.522,81659,64.075,FPC-531,90.1,FPC-507,72.882,84065,51.342,DSNY-BRS-1459,52.077,81119,52.077,80730,66.255,85530
36081063900,Queens,QN0503,-73.85709681468262,40.703861648652506,POINT (-73.85709682029767 40.703861648975106),POINT (-73.85709681468262 40.70386164865251),29.882,84603,37.101,DSNY-BRS-1033,27.514,80957,29.403,FPC-686,36.768,81001,39.975,FPC-598,43.166,85520,37.883,81578,30.279,FPC-152,42.927,DSNY-BRS-2135,26.336,84599,31.016,85510,37.105,85363,52.093,85457,42.894,81057,39.874,80332,37.92,80345,36.069,82075,46.288,80438,40.222,85492,42.726,85271,42.726,83956,42.726,83956,42.726,85271,43.325,FPC-439,86.454,FPC-508,47.374,81626,43.703,FPC-660,40.666,85276,49.053,85512,66.795,FPC-507,47.583,83552,51.124,FPC-190,51.1,81646,39.814,84471,42.223,84762,54.184,81156,57.048,83002,55.446,85476,51.477,80419,52.843,FPC-488,53.948,85495,57.899,85528,52.871,80403,55.728,85172,59.162,85539,82.143,84728,67.448,82347,59.846,84982,58.001,84065
36081064102,Queens,QN8291,-73.85346038923926,40.70207617740004,POINT (-73.8534610371077 40.702076381073134),POINT (-73.85346038923926 40.70207617740004),29.578,84603,26.732,80957,35.506,DSNY-BRS-1033,35.986,81001,29.073,FPC-686,41.571,85520,38.38,FPC-598,29.497,FPC-152,42.145,DSNY-BRS-2135,30.234,85510,37.553,81578,35.287,82075,22.859,84599,50.498,85457,36.775,85363,39.241,80332,42.564,81057,34.443,80345,42.811,80438,36.745,85492,42.093,83956,42.093,85271,42.093,83956,42.093,85271,42.995,FPC-439,84.859,FPC-508,46.741,81626,37.189,85276,43.07,FPC-660,45.576,85512,44.106,83552,65.2,FPC-507,39.032,84471,50.491,FPC-190,41.441,84762,50.77,81646,50.707,81156,53.571,83002,51.969,85476,51.147,80419,52.21,FPC-488,50.471,85495,57.266,85528,49.394,80403,52.251,85172,55.685,85539,56.369,84982,81.46,84728,63.971,82347,58.407,83874
36081046300,Queens,QN0401,-73.87109902796995,40.744003132095735,POINT (-73.87109903034523 40.744003135120195),POINT (-73.87109902796995 40.74400313209573),15.132,FPC-598,25.897,DSNY-BRS-1033,30.738,84603,65.532,FPC-508,30.85,80957,45.873,FPC-507,34.904,FPC-686,31.901,85457,29.352,85520,41.461,FPC-439,50.553,81578,55.52,81057,69.633,84728,49.775,85363,49.87,FPC-660,55.42,80332,55.972,81626,58.272,85271,58.272,85271,58.272,83956,58.272,83956,50.084,85379,61.751,80438,56.405,81001,62.831,FPC-578,42.355,FPC-152,59.16,85518,51.988,FPC-493,42.33,85510,54.003,DSNY-BRS-2135,51.346,FPC-190,71.764,85003,59.316,80345,64.297,84953,41.17,84065,61.81,80137,47.383,82075,71.185,87064,49.587,81646,57.086,85311,61.742,85492,51.834,DSNY-BRS-1262,62.616,FPC-530,68.294,81702,43.263,FPC-531,51.153,80419,48.52,84599,53.726,85114,37.504,85530,59.611,81418
36081047100,Queens,QN0401,-73.87657010388381,40.740978523156734,POINT (-73.87657011241865 40.74097851618491),POINT (-73.87657010388381 40.74097852315673),16.92,FPC-598,26.001,84603,21.16,DSNY-BRS-1033,30.167,FPC-686,26.113,80957,70.378,FPC-508,50.719,FPC-507,36.017,85457,29.39,85520,36.724,FPC-439,45.816,81578,50.783,81057,45.038,85363,45.133,FPC-660,51.235,81626,50.683,80332,53.535,85271,53.535,83956,53.535,85271,53.535,83956,66.159,84728,57.014,80438,47.164,85379,46.609,FPC-190,48.514,FPC-493,55.686,85518,45.74,81646,54.579,80345,59.357,FPC-578,38.25,84065,51.668,81001,57.005,85492,48.233,80419,37.618,FPC-152,39.789,FPC-531,48.36,DSNY-BRS-1262,53.612,85311,37.593,85510,58.336,80137,60.823,84953,49.266,DSNY-BRS-2135,43.783,84599,68.29,85003,59.142,FPC-530,64.82,81702,67.711,87064,34.584,85530,42.646,82075,50.252,85114,30.218,81199
36005035000,Bronx,BX1103,-73.84824751001807,40.86850838577875,POINT (-73.84824752090053 40.86850834914923),POINT (-73.84824751001807 40.86850838577875),20.521,FPC-666,20.11,80086,20.11,FPC-662,20.11,FPC-513,27.23,Plentiful-113,30.551,87096,25.539,85339,28.675,83550,28.675,83550,28.675,80121,28.675,80121,29.708,DSNY-BRS-2184,30.461,85545,26.897,87064,30.4,85003,31.499,81348,35.345,84728,33.005,81702,42.903,83918,43.083,85239,32.73,84953,31.543,FPC-578,38.022,80137,38.828,FPC-530,57.799,FPC-507,33.708,85518,48.524,81608,38.69,85311,37.575,85114,53.863,85536,86.779,FPC-508,45.561,81418,53.691,80541,45.546,DSNY-BRS-1262,46.693,80596,74.527,85457,56.148,85379,53.247,81727,53.171,FPC-493,53.13,80565,52.626,84451,52.626,80474,74.092,FPC-598,60.101,80801,57.33,FPC-584,85.12,85520,84.797,DSNY-BRS-1033,54.266,80850,51.152,FPC-531,85.149,84603
36005035800,Bronx,BX1202,-73.84259416986811,40.87398449302129,POINT (-73.84259415187708 40.873984436516054),POINT (-73.84259416986811 40.87398449302129),18.488,FPC-666,29.425,80086,29.425,FPC-662,29.425,FPC-513,30.474,85339,32.165,Plentiful-113,35.486,87096,34.322,83550,34.322,80121,34.322,83550,34.322,80121,36.213,DSNY-BRS-2184,36.966,85545,36.212,87064,39.715,85003,38.004,81348,44.66,84728,42.32,81702,52.218,83918,49.588,85239,42.045,84953,40.858,FPC-578,47.337,80137,64.987,FPC-507,48.143,FPC-530,43.023,85518,55.029,81608,48.005,85311,46.89,85114,93.113,FPC-508,60.368,85536,54.876,81418,60.196,80541,54.861,DSNY-BRS-1262,74.12,85457,56.008,80596,62.023,85379,62.562,81727,59.046,FPC-493,62.445,80565,82.187,FPC-598,61.941,84451,61.941,80474,69.416,80801,84.765,85520,66.645,FPC-584,94.112,DSNY-BRS-1033,63.581,80850,60.467,FPC-531,94.464,84603
36081077300,Queens,QN0901,-73.83531381369211,40.710913233711175,POINT (-73.8353139294328 40.710913248903715),POINT (-73.83531381369211 40.71091323371117),6.338,80957,25.137,84603,25.999,DSNY-BRS-1033,36.484,85520,37.116,81001,26.216,FPC-152,37.173,DSNY-BRS-2135,26.256,85510,31.309,82075,44.326,85457,75.708,FPC-508,29.294,FPC-598,35.816,84471,40.646,FPC-686,38.225,84762,61.807,FPC-507,38.781,84599,49.246,81578,50.032,85363,52.924,81057,49.675,80332,50.365,80345,52.667,85492,55.058,80438,52.527,83956,52.527,85271,52.527,83956,52.527,85271,51.368,FPC-439,53.111,85276,55.896,81626,61.498,85512,51.98,FPC-660,45.034,83874,60.028,83552,57.694,FPC-190,52.374,81646,69.493,83002,66.629,81156,73.459,84728,67.891,85476,53.94,80419,52.209,FPC-488,75.59,85003,66.393,85495,75.011,87064,59.455,85528,66.657,FPC-578,65.316,80403,53.91,85379
36081024900,Queens,QN0203,-73.9042554613862,40.743115161966244,POINT (-73.90425545209848 40.74311515734196),POINT (-73.9042554613862 40.74311516196624),15.474,FPC-598,44.645,FPC-686,51.757,FPC-439,53.52,FPC-660,59.679,81057,32.57,84603,36.723,84065,57.408,81626,59.746,81578,30.825,DSNY-BRS-1033,45.637,85379,58.348,85363,47.541,FPC-493,38.816,FPC-531,52.328,FPC-190,45.435,80419,43.869,81646,64.618,80332,33.057,85530,64.177,85271,64.177,83956,64.177,85271,64.177,83956,28.691,81199,47.387,DSNY-BRS-1262,69.587,80438,49.199,85490,47.891,DSNY-BRS-2114,54.713,85518,48.434,FPC-507,53.708,FPC-627,65.186,84728,52.639,85311,38.868,85544,38.201,82798,53.072,80565,58.384,FPC-578,27.559,80957,43.704,FPC-488,52.394,80813,50.95,85528,68.093,FPC-508,48.825,80596,48.63,80474,48.63,84451,49.279,85114,42.141,84055,57.363,80137,55.164,81418,32.995,85368
36081026100,Queens,QN0203,-73.90060160740893,40.747212518907745,POINT (-73.90060163278942 40.747212486405864),POINT (-73.90060160740893 40.74721251890774),13.617,FPC-598,42.1,FPC-686,48.657,FPC-439,30.713,84603,27.725,DSNY-BRS-1033,43.78,85379,34.866,84065,44.561,FPC-493,58.132,81057,51.973,FPC-660,55.861,81626,57.749,81578,35.836,FPC-531,56.801,85363,31.2,85530,46.577,FPC-507,44.407,DSNY-BRS-1262,50.781,FPC-190,43.888,80419,42.322,81646,51.733,85518,62.616,80332,62.206,84728,26.834,81199,62.63,85271,62.63,85271,62.63,83956,62.63,83956,49.659,85311,66.236,FPC-508,55.404,FPC-578,68.04,80438,25.702,80957,51.215,80565,47.652,85490,54.383,80137,45.845,80596,46.299,85114,46.344,DSNY-BRS-2114,55.189,FPC-530,52.184,81418,56.87,84953,46.773,84451,46.773,80474,32.605,85457,51.851,FPC-627,37.321,85544,36.654,82798,60.867,81702,50.537,80813
36061021000,Manhattan,MN1102,-73.93567919192566,40.81309481560965,POINT (-73.93567923902344 40.81309475410674),POINT (-73.93567919192566 40.81309481560965),8.811,81418,16.851,85114,17.775,85311,17.247,DSNY-BRS-1262,15.4,80596,20.08,80541,20.545,80565,21.519,81727,22.624,85518,26.08,FPC-530,21.333,80474,21.333,84451,28.346,FPC-493,30.932,85379,25.274,80137,30.174,80801,27.403,FPC-584,28.864,85536,27.761,84953,26.295,FPC-578,32.977,83918,31.758,81702,32.156,81608,26.765,85239,22.973,80850,27.799,FPC-531,27.94,81659,33.097,84728,37.073,84065,31.25,85530,25.124,DSNY-BRS-1459,25.859,81119,25.859,80730,30.765,80517,35.154,85003,33.46,81348,34.649,87064,42.118,85545,31.312,81199,40.621,DSNY-BRS-2184,37.949,85369,32.121,DSNY-BRS-1461,41.627,83550,41.627,83550,41.627,80121,41.627,80121,32.853,85368,35.08,87369,28.429,85523,45.413,Plentiful-113
36061021200,Manhattan,MN1002,-73.93899975380192,40.813760401452534,POINT (-73.93899977580237 40.81376038802486),POINT (-73.93899975380192 40.81376040145253),4.848,81418,10.296,80596,14.756,DSNY-BRS-1262,12.723,85114,17.43,80541,15.191,85311,16.733,80565,18.216,81727,16.229,80474,16.229,84451,26.776,FPC-493,29.362,85379,20.976,FPC-530,17.52,85518,25.07,80801,20.17,80137,22.299,FPC-584,26.214,85536,22.657,84953,30.263,83918,29.506,81608,21.191,FPC-578,17.869,80850,25.937,85239,26.654,81702,27.004,FPC-531,22.836,81659,36.278,84065,30.455,85530,27.993,84728,20.02,DSNY-BRS-1459,20.755,81119,20.755,80730,25.661,80517,31.629,85003,32.632,81348,30.517,81199,29.545,87064,37.014,85545,32.845,85369,35.517,DSNY-BRS-2184,27.017,DSNY-BRS-1461,40.799,83550,40.799,83550,40.799,80121,40.799,80121,27.749,85368,29.976,87369,23.325,85523,29.15,81735
36005027600,Bronx,BX2891,-73.82163431326737,40.85481755877254,POINT (-73.82163443404293 40.854817389122815),POINT (-73.82163431326737 40.85481755877254),12.968,FPC-666,25.225,80086,25.225,FPC-513,25.225,FPC-662,30.879,87064,35.957,Plentiful-113,40.985,87096,31.26,DSNY-BRS-2184,30.433,85003,41.1,85339,32.013,85545,32.171,80121,32.171,83550,32.171,80121,32.171,83550,53.006,FPC-507,36.532,84728,33.051,81348,79.495,FPC-508,44.443,81702,42.981,FPC-578,44.168,84953,48.067,83918,44.635,85239,47.762,80137,60.502,85457,49.837,FPC-530,41.727,85518,43.853,85311,46.842,85114,50.076,81608,71.147,85520,55.415,85536,68.569,FPC-598,49.268,81418,55.243,80541,80.723,DSNY-BRS-1033,43.989,DSNY-BRS-1262,50.605,85379,45.427,80596,47.628,FPC-493,88.078,84603,52.109,80565,51.69,81727,83.067,80957,53.659,84451,53.659,80474,58.544,80801,55.773,FPC-584,92.535,FPC-152
36061015502,Manhattan,MN0701,-73.98807231211515,40.77800320080564,POINT (-73.9880723096555 40.77800319844794),POINT (-73.98807231211515 40.77800320080564),10.582,81119,10.582,80730,9.852,DSNY-BRS-1459,10.696,85369,13.921,80517,17.231,81659,16.874,DSNY-BRS-1461,24.769,87369,18.118,85523,18.519,80850,23.295,85530,22.542,85368,29.501,81199,23.943,81735,23.033,85521,29.784,FPC-531,28.222,85547,31.71,84065,30.358,82798,25.993,80493,27.434,87247,31.025,85544,23.66,FPC-584,27.027,80801,31.434,84055,22.829,80720,38.915,85490,37.607,DSNY-BRS-2114,28.379,84451,28.379,80474,30.544,FPC-559,29.394,80565,29.891,81727,38.118,FPC-493,25.446,80596,41.095,85379,40.677,80813,32.616,DSNY-BRS-1262,37.36,DSNY-BRS-1058,41.991,FPC-627,39.064,80491,30.616,82998,45.92,85434,38.642,85481,28.314,81418,41.311,Plentiful-1200,30.433,80541,41.479,FPC-626,30.468,85471,31.944,85114
36081010701,Queens,QN0101,-73.90385342798454,40.7843675118086,POINT (-73.90385315709786 40.78436749697853),POINT (-73.90385342798454 40.7843675118086),66.959,85518,60.861,85379,70.63,FPC-578,77.432,84728,59.787,FPC-493,64.885,85311,69.609,80137,70.415,FPC-530,56.125,DSNY-BRS-1262,72.096,84953,49.913,FPC-598,61.525,85114,76.093,81702,63.393,81418,57.054,80596,63.736,80565,76.538,83918,77.644,85003,65.892,84451,65.892,80474,51.062,FPC-531,51.947,84065,78.984,87064,68.058,80541,63.317,81727,82.873,FPC-507,70.179,85239,70.171,80801,48.281,85530,67.4,FPC-584,63.583,80850,86.453,85545,76.358,85536,47.787,81199,78.896,81608,84.956,DSNY-BRS-2184,61.588,81659,102.532,FPC-508,76.874,81348,57.749,80517,76.587,FPC-686,57.908,DSNY-BRS-1459,58.643,81119,58.643,80730,60.618,DSNY-BRS-1033,83.197,FPC-513,83.197,FPC-662,83.197,80086,60.97,84603,85.041,83550
