GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38
36081011500,Queens,QN0101,-73.91334606261759,40.774420663522854,POINT (-73.91334610087691 40.774420652825455),POINT (-73.91334606261759 40.77442066352285),39.402,FPC-493,46.703,83311,40.077,FPC-714,30.259,81199,51.64,FPC-397,41.68,84273,41.252,81119,41.252,80730,32.14,DSNY-BRS-1461,35.298,82798,66.399,83630,33.229,81735,39.272,87369,67.37,81145,57.503,Plentiful-1342,51.534,DSNY-BRS-1033,41.582,80720,66.768,FPC-513,66.768,FPC-662,66.768,80086,63.612,83993,47.639,81458,47.928,82998,57.858,83348,76.545,81987,65.552,84151,74.634,Plentiful-1430,74.634,83333,66.299,85172,75.963,84949,62.244,81698,59.375,83296,82.708,85338,82.094,DSNY-BRS-1309,86.851,85444,89.634,83999,82.301,81564,78.716,85326,85.462,FPC-620
36081011600,Queens,QN0904,-73.8388033696168,40.68877223092512,POINT (-73.83880337592059 40.68877221068891),POINT (-73.8388033696168 40.68877223092512),44.665,DSNY-BRS-1033,25.831,83296,38.941,83630,56.857,81987,38.062,83993,50.5,83999,53.307,85444,62.145,85338,61.531,DSNY-BRS-1309,62.91,84949,55.676,84151,58.354,85172,84.924,81145,57.969,83348,75.992,FPC-493,54.091,81199,64.157,82798,62.666,81735,58.215,DSNY-BRS-1461,79.946,83311,60.405,81698,64.119,80720,69.683,84273,64.717,87369,95.571,FPC-513,95.571,FPC-662,95.571,80086,58.704,81458,75.048,FPC-714,69.566,80730,69.566,81119,59.516,82998,82.278,FPC-397,91.113,81564,91.981,Plentiful-1342,109.306,Plentiful-1430,109.306,83333,91.117,85326,97.863,FPC-620
36081011700,Queens,QN0101,-73.91045564877736,40.77222976446127,POINT (-73.91045567330625 40.77222975066851),POINT (-73.91045564877736 40.77222976446127),40.407,FPC-493,47.708,83311,41.082,FPC-714,33.351,81199,52.645,FPC-397,44.772,84273,44.344,80730,44.344,81119,35.232,DSNY-BRS-1461,69.491,83630,38.39,82798,54.626,DSNY-BRS-1033,36.321,81735,68.375,81145,42.364,87369,58.508,Plentiful-1342,67.773,FPC-513,66.704,83993,67.773,FPC-662,67.773,80086,44.674,80720,50.731,81458,51.02,82998,79.637,81987,60.95,83348,68.644,84151,75.639,Plentiful-1430,75.639,83333,69.391,85172,79.055,84949,62.934,83296,65.336,81698,85.8,85338,85.186,DSNY-BRS-1309,90.41,85444,92.726,83999,85.393,81564,81.808,85326,88.554,FPC-620
36081011800,Queens,QN0903,-73.83390226004163,40.690641780086175,POINT (-73.83390226627448 40.69064177050104),POINT (-73.83390226004163 40.69064178008617),22.326,83296,41.16,DSNY-BRS-1033,38.615,83630,46.995,83999,57.571,81987,49.802,85444,38.776,83993,62.859,85338,62.245,DSNY-BRS-1309,63.624,84949,56.39,84151,59.068,85172,81.419,81145,58.683,83348,72.3,FPC-493,50.586,81199,60.652,82798,58.834,81735,54.71,DSNY-BRS-1461,76.441,83311,92.066,FPC-513,92.066,FPC-662,92.066,80086,61.119,81698,66.178,84273,71.543,FPC-714,64.628,80720,61.212,87369,59.418,81458,66.061,80730,66.061,81119,60.23,82998,78.773,FPC-397,88.476,Plentiful-1342,91.827,81564,105.801,Plentiful-1430,105.801,83333,91.831,85326,98.577,FPC-620
36081011900,Queens,QN0101,-73.90606391469294,40.771205447444466,POINT (-73.90606390542904 40.771205445618584),POINT (-73.90606391469294 40.77120544744447),39.158,FPC-493,46.459,83311,39.833,FPC-714,37.694,81199,51.396,FPC-397,71.271,83630,54.236,DSNY-BRS-1033,49.115,84273,67.126,81145,48.687,80730,48.687,81119,39.575,DSNY-BRS-1461,42.733,82798,57.259,Plentiful-1342,40.664,81735,46.707,87369,66.524,FPC-513,66.524,FPC-662,66.524,80086,71.047,83993,49.017,80720,55.074,81458,55.363,82998,83.98,81987,72.987,84151,65.293,83348,74.39,Plentiful-1430,74.39,83333,73.734,85172,62.978,83296,83.398,84949,69.679,81698,90.143,85338,89.529,DSNY-BRS-1309,90.454,85444,95.592,83999,89.736,81564,86.151,85326,92.897,FPC-620
36081012000,Queens,QN0903,-73.82865594803064,40.69149833737293,POINT (-73.82865593303727 40.69149832365192),POINT (-73.82865594803064 40.69149833737293),21.913,83296,40.747,DSNY-BRS-1033,40.975,83630,46.582,83999,49.389,85444,56.825,81987,38.03,83993,62.113,85338,61.499,DSNY-BRS-1309,62.878,84949,55.644,84151,81.006,81145,58.322,85172,57.937,83348,71.772,FPC-493,50.173,81199,60.239,82798,91.653,FPC-513,91.653,FPC-662,91.653,80086,58.306,81735,76.028,83311,54.297,DSNY-BRS-1461,71.13,FPC-714,65.765,84273,60.373,81698,64.087,80720,60.799,87369,65.648,80730,65.648,81119,88.063,Plentiful-1342,58.672,81458,78.36,FPC-397,59.484,82998,91.081,81564,105.388,Plentiful-1430,105.388,83333,91.085,85326,97.831,FPC-620
36081012100,Queens,QN0101,-73.90351409007927,40.77275862284951,POINT (-73.90351406921911 40.77275861776314),POINT (-73.90351409007927 40.77275862284951),41.36,FPC-493,48.661,83311,42.035,FPC-714,39.896,81199,53.598,FPC-397,54.709,DSNY-BRS-1033,71.744,83630,69.328,81145,51.317,84273,50.889,80730,50.889,81119,41.777,DSNY-BRS-1461,59.461,Plentiful-1342,44.935,82798,42.866,81735,48.909,87369,68.726,FPC-513,68.726,FPC-662,68.726,80086,73.249,83993,51.219,80720,57.276,81458,57.565,82998,86.182,81987,76.592,Plentiful-1430,76.592,83333,75.189,84151,67.495,83348,60.762,83296,75.936,85172,85.6,84949,71.881,81698,92.345,85338,91.731,DSNY-BRS-1309,88.238,85444,93.376,83999,91.938,81564,88.353,85326,95.099,FPC-620
36081012200,Queens,QN0902,-73.83106567699996,40.696495680953404,POINT (-73.83106563934015 40.69649564542913),POINT (-73.83106567699996 40.6964956809534),25.065,83296,37.549,DSNY-BRS-1033,32.419,83630,51.444,85444,49.734,83999,59.691,81987,44.67,83993,65.546,85338,66.175,DSNY-BRS-1309,67.392,84949,62.284,84151,82.602,81145,64.962,85172,68.876,FPC-493,64.577,83348,46.975,81199,57.041,82798,93.249,FPC-513,93.249,FPC-662,93.249,80086,56.209,81735,72.83,83311,51.099,DSNY-BRS-1461,67.932,FPC-714,62.567,84273,57.601,87369,84.865,Plentiful-1342,61.562,80720,62.45,80730,62.45,81119,67.013,81698,75.162,FPC-397,62.469,81458,65.782,82998,97.721,81564,106.651,Plentiful-1430,106.651,83333,95.981,85326,102.727,FPC-620
36081012400,Queens,QN0902,-73.83429738533351,40.695198504013355,POINT (-73.8342973583198 40.69519847680438),POINT (-73.83429738533351 40.69519850401336),39.843,DSNY-BRS-1033,24.311,83296,35.723,83630,48.98,83999,51.787,85444,56.557,81987,42.935,83993,62.412,85338,63.041,DSNY-BRS-1309,64.258,84949,60.549,84151,83.404,81145,63.227,85172,62.018,83348,71.17,FPC-493,49.269,81199,59.335,82798,58.914,81735,94.051,FPC-513,94.051,FPC-662,94.051,80086,75.124,83311,53.393,DSNY-BRS-1461,70.226,FPC-714,64.861,84273,59.895,87369,62.068,80720,65.278,81698,64.744,80730,64.744,81119,63.394,81458,87.159,Plentiful-1342,77.456,FPC-397,63.462,82998,95.986,81564,107.786,Plentiful-1430,107.786,83333,92.847,85326,99.593,FPC-620
36081012601,Queens,QN0902,-73.83740926446823,40.693651119058735,POINT (-73.83740925248574 40.693651095860055),POINT (-73.83740926446823 40.69365111905874),41.749,DSNY-BRS-1033,24.754,83296,37.655,83630,59.149,81987,41.148,83993,49.423,83999,52.23,85444,65.004,85338,64.617,DSNY-BRS-1309,65.996,84949,58.762,84151,61.44,85172,83.847,81145,61.055,83348,73.076,FPC-493,51.175,81199,61.241,82798,60.82,81735,55.299,DSNY-BRS-1461,77.03,83311,94.494,FPC-513,94.494,FPC-662,94.494,80086,66.767,84273,72.132,FPC-714,63.491,81698,64.66,80720,61.801,87369,66.65,80730,66.65,81119,61.79,81458,62.602,82998,79.362,FPC-397,89.065,Plentiful-1342,94.199,81564,108.229,Plentiful-1430,108.229,83333,94.203,85326,100.949,FPC-620
