GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36081126700,Queens,QN0802,-73.79777159449705,40.720330550451614,POINT (-73.79777183479361 40.72033056878048),POINT (-73.79777159449705 40.72033055045161),21.743,80952,23.693,FPC-152,27.726,85510,24.402,85520,37.809,FPC-708,33.372,FPC-690,34.644,85251,31.624,85457,41.36,82133,33.616,85071,30.681,84603,31.081,85221,42.398,85161,28.939,83874,34.891,82976,49.325,85448,39.721,FPC-602,41.142,FPC-601,47.987,85314,50.612,81146,48.467,80936,56.433,FPC-630,69.146,85328,50.836,85227,55.954,84611
36081139900,Queens,QN1102,-73.76247056188909,40.74986855382385,POINT (-73.7624705627347 40.74986855440728),POINT (-73.76247056188909 40.74986855382385),27.011,85221,24.869,83874,30.821,82976,32.764,85071,21.699,85520,33.497,FPC-152,37.53,85510,34.402,80952,27.326,85457,48.134,82133,43.176,FPC-690,47.613,FPC-708,45.388,85314,47.188,85161,51.793,85448,49.477,85251,80.924,FPC-715,39.141,84603,41.791,FPC-601,35.708,FPC-602,52.723,81146,52.903,80936,71.496,81145,76.858,FPC-666,68.015,FPC-630
36081143500,Queens,QN1102,-73.7702895916127,40.75291022977552,POINT (-73.77028964134348 40.752910241080016),POINT (-73.77028959161269 40.75291022977552),30.182,85221,28.04,83874,28.554,85520,37.32,85071,25.673,85457,33.992,82976,39.852,80952,38.947,FPC-152,42.98,85510,53.063,FPC-708,52.69,82133,48.626,FPC-690,48.559,85314,51.704,85161,76.958,FPC-715,54.927,85251,56.309,85448,45.996,84603,40.011,FPC-601,42.763,FPC-602,50.58,81146,50.67,80936,67.53,81145,72.892,FPC-666,73.465,FPC-630
36081157901,Queens,QN1301,-73.70458217474443,40.74472108487483,POINT (-73.70458215660013 40.74472092633768),POINT (-73.70458217474443 40.74472108487483),33.275,82976,30.014,83874,32.156,85221,50.533,85314,42.049,85071,56.068,82133,53.678,85161,59.162,FPC-690,58.283,85448,53.516,85510,63.599,FPC-708,49.483,FPC-152,49.758,80952,47.415,85520,53.042,85457,105.562,FPC-715,63.436,85251,106.147,FPC-496,59.473,84603,61.122,FPC-602,67.507,FPC-601,115.421,82743,96.134,81145,78.439,81146,77.259,80936
36081157903,Queens,QN1301,-73.70757719387069,40.73380628965674,POINT (-73.70757727962675 40.733806210548295),POINT (-73.70757719387069 40.73380628965674),21.781,82976,22.876,83874,25.861,85221,40.579,85314,32.095,85071,43.724,85161,46.114,82133,48.329,85448,49.586,FPC-690,60.672,FPC-708,50.589,85510,46.589,FPC-152,45.79,80952,45.879,85520,51.506,85457,61.9,85251,104.026,FPC-715,96.193,FPC-496,57.937,84603,110.418,82743,59.586,FPC-602,65.971,FPC-601,76.903,81146,75.723,80936,94.598,81145
36081042400,Queens,QN1205,-73.77226725670842,40.695384810486864,POINT (-73.77226722483341 40.695384790307585),POINT (-73.77226725670842 40.69538481048686),12.005,FPC-690,12.647,82133,21.587,FPC-708,25.806,85071,22.125,85510,21.175,85161,23.724,FPC-152,27.202,80952,28.102,85448,38.504,85221,24.526,85314,34.529,83874,38.282,82976,39.847,85251,47.314,85520,57.021,85457,43.894,84603,67.485,FPC-496,81.71,82743,57.218,FPC-602,54.037,FPC-630,54.355,FPC-601,66.75,85328,48.44,85227,63.825,81146
36081043400,Queens,QN1205,-73.77864262497707,40.69619978034261,POINT (-73.77864267825937 40.69619976785845),POINT (-73.77864262497707 40.69619978034261),10.247,FPC-690,16.775,FPC-708,17.398,82133,14.776,85510,16.612,FPC-152,21.145,80952,25.996,85071,19.34,85161,26.267,85448,38.987,85221,29.277,85314,35.425,83874,33.761,85251,39.123,82976,41.257,85520,49.717,85457,37.808,84603,51.132,FPC-602,47.951,FPC-630,65.65,FPC-496,48.269,FPC-601,79.875,82743,60.664,85328,42.354,85227,57.739,81146
36081042600,Queens,QN1205,-73.77022091394845,40.688848733479055,POINT (-73.77022095019511 40.6888487052904),POINT (-73.77022091394845 40.68884873347906),15.884,FPC-690,14.509,82133,20.014,85161,27.031,FPC-708,26.941,85448,27.743,85071,27.569,85510,29.168,FPC-152,32.646,80952,26.463,85314,40.441,85221,36.466,83874,40.219,82976,45.291,85251,52.758,85520,60.876,85457,66.324,FPC-496,49.338,84603,80.549,82743,59.481,FPC-630,62.662,FPC-602,72.194,85328,59.799,FPC-601,53.884,85227,69.269,81146
36081043200,Queens,QN1205,-73.77581030441291,40.69132621726518,POINT (-73.7758103019263 40.69132621085446),POINT (-73.77581030441291 40.69132621726518),5.0,FPC-690,12.856,82133,18.182,FPC-708,18.493,85510,19.745,FPC-152,16.624,85161,26.015,85071,23.57,80952,23.551,85448,24.735,85314,38.713,85221,34.738,83874,38.491,82976,35.326,85251,43.682,85520,53.389,85457,39.373,84603,62.934,FPC-496,49.516,FPC-630,77.159,82743,52.697,FPC-602,49.834,FPC-601,62.229,85328,43.919,85227,59.304,81146
36081045200,Queens,QN0805,-73.79959322966234,40.714673281930814,POINT (-73.79959321230352 40.71467326046396),POINT (-73.79959322966234 40.71467328193081),14.801,80952,17.855,FPC-152,20.131,85510,30.214,FPC-708,26.849,85520,27.407,FPC-690,35.157,85251,35.395,82133,33.429,85457,31.677,85071,32.829,84603,36.433,85161,36.547,85221,43.36,85448,34.405,83874,41.526,FPC-602,39.698,82976,43.29,FPC-601,47.274,85314,49.491,FPC-630,52.76,81146,50.615,80936,62.204,85328,43.894,85227,49.012,84611
