GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36005040302,Bronx,BX0702,-73.89219902878611,40.86784726425992,POINT (-73.89219906363967 40.867847246846885),POINT (-73.89219902878611 40.86784726425992),10.457,83550,10.457,80121,26.424,80065,25.29,80026,28.543,81435,22.098,80086,22.098,FPC-662,22.098,FPC-513,29.925,81665,19.881,85239,27.07,85298,34.127,87064,32.789,84319,39.083,82293,28.597,87090,34.916,82210,26.397,81608,32.831,FPC-530,44.523,84728,37.239,81582,27.83,81071,47.276,85423,25.178,85358,27.875,FPC-666,26.681,85473
36005040303,Bronx,BX0702,-73.89349760234023,40.869690565164426,POINT (-73.89349760663129 40.86969056279023),POINT (-73.89349760234023 40.86969056516443),11.721,83550,11.721,80121,29.454,80065,28.32,80026,31.573,81435,25.128,80086,25.128,FPC-662,25.128,FPC-513,32.955,81665,19.803,85239,30.1,85298,37.157,87064,35.085,84319,28.519,87090,40.664,82293,37.946,82210,28.593,81608,33.488,FPC-530,45.18,84728,31.148,81071,37.161,81582,28.496,85358,47.933,85423,29.999,85473,30.905,FPC-666
36005040304,Bronx,BX0702,-73.89519055084604,40.86767023082311,POINT (-73.89519054680981 40.86767022958926),POINT (-73.89519055084604 40.86767023082311),12.575,83550,12.575,80121,25.563,80065,24.429,80026,27.609,81435,21.237,80086,21.237,FPC-662,21.237,FPC-513,15.053,85239,29.064,81665,26.209,85298,33.193,87064,23.769,87090,30.335,84319,35.914,82293,34.055,82210,24.117,81608,28.738,FPC-530,40.43,84728,28.397,81071,32.411,81582,25.745,85358,43.183,85423,27.248,85473,27.014,FPC-666
36005040400,Bronx,BX1201,-73.85134868946037,40.886169223526075,POINT (-73.85134867998117 40.88616922400141),POINT (-73.85134868946037 40.88616922352607),25.062,80086,25.062,FPC-662,25.062,FPC-513,24.211,FPC-666,28.571,83550,28.571,80121,31.047,81435,34.722,80065,35.25,87064,43.448,80026,35.105,81665,42.59,85298,37.753,82293,42.583,85239,40.713,82210,43.97,84728,41.007,84319,47.466,85423,51.299,87090,47.533,FPC-530,48.508,81608,44.45,81582,71.88,FPC-678,66.856,FPC-507,52.983,81071
36005040501,Bronx,BX0702,-73.89091356752841,40.8671630785114,POINT (-73.89091360076301 40.86716306641857),POINT (-73.89091356752841 40.8671630785114),7.037,80121,7.037,83550,25.311,80065,24.177,80026,27.43,81435,20.985,80086,20.985,FPC-662,20.985,FPC-513,28.812,81665,19.359,85239,33.014,87064,25.957,85298,31.676,84319,37.97,82293,33.803,82210,28.075,87090,25.284,81608,33.044,FPC-530,43.527,84728,36.717,81582,47.023,85423,29.423,81071,26.762,FPC-666,26.771,85358,28.274,85473
36005040502,Bronx,BX0702,-73.88898421969014,40.865873756134185,POINT (-73.88898424130905 40.86587374953204),POINT (-73.88898421969014 40.86587375613419),4.212,80121,4.212,83550,25.477,80065,22.777,80086,22.777,FPC-662,22.777,FPC-513,28.582,81435,23.615,80026,29.361,81665,34.806,87064,22.146,85239,27.022,85298,37.562,82293,32.333,84319,34.352,82210,30.862,87090,28.071,81608,43.779,84728,31.748,FPC-530,37.042,81582,47.275,85423,28.554,FPC-666,32.21,81071,29.558,85358,31.061,85473
36005040600,Bronx,BX1201,-73.85700531630167,40.88795096576188,POINT (-73.85700530401638 40.887950966715),POINT (-73.85700531630167 40.88795096576188),20.59,80086,20.59,FPC-662,20.59,FPC-513,24.099,80121,24.099,83550,27.076,FPC-666,26.575,81435,30.25,80065,30.778,87064,38.976,80026,30.633,81665,38.118,85298,38.111,85239,33.281,82293,36.241,82210,39.498,84728,36.535,84319,42.994,85423,46.827,87090,44.036,81608,43.061,FPC-530,39.978,81582,48.511,81071,67.923,FPC-678,49.404,85358
36005040701,Bronx,BX0702,-73.89025816637013,40.871580429169015,POINT (-73.89025817903699 40.87158043041297),POINT (-73.89025816637013 40.87158042916901),12.714,80121,12.714,83550,29.713,80065,25.387,80086,25.387,FPC-662,25.387,FPC-513,28.579,80026,31.832,81435,33.214,81665,18.045,85239,36.822,87064,30.359,85298,33.327,84319,38.906,82293,26.761,87090,37.564,82210,27.274,81608,31.73,FPC-530,43.422,84728,31.164,FPC-666,35.403,81582,31.749,81071,46.175,85423,29.555,85358,31.068,85473
36005040702,Bronx,BX0702,-73.88699832461867,40.86914113054082,POINT (-73.88699828501422 40.86914111364134),POINT (-73.88699832461867 40.86914113054082),7.357,80121,7.357,83550,22.759,80086,22.759,FPC-662,22.759,FPC-513,27.622,80065,28.744,81435,27.205,80026,31.506,81665,32.947,87064,23.534,85239,30.257,85298,35.45,82293,34.478,84319,36.497,82210,32.25,87090,29.653,81608,41.667,84728,33.893,FPC-530,29.245,FPC-666,45.163,85423,39.187,81582,34.128,81071,32.411,85358,33.914,85473
36005040800,Bronx,BX1201,-73.86168990855944,40.8897417954529,POINT (-73.86168991389528 40.88974179386493),POINT (-73.86168990855944 40.8897417954529),25.39,83550,25.39,80121,21.881,80086,21.881,FPC-662,21.881,FPC-513,28.367,FPC-666,27.866,81435,31.541,80065,32.069,87064,40.267,80026,31.924,81665,39.409,85298,39.402,85239,34.572,82293,37.532,82210,37.826,84319,40.789,84728,48.118,87090,44.285,85423,45.327,81608,44.352,FPC-530,41.269,81582,49.802,81071,50.695,85358,51.033,85473
