GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29
36005005902,Bronx,BX0401,-73.92345488331236,40.82407606540664,POINT (-73.92345492646886 40.82407603416826),POINT (-73.92345488331236 40.82407606540664),14.518,82750,19.604,FPC-624,32.026,85357,30.188,85108,31.143,87064,29.441,81199,58.654,80936,33.299,85523,51.92,FPC-601,34.21,85521,41.383,87247,51.655,85307,52.27,85434,56.455,85351,55.888,FPC-488,63.795,84611,41.501,85517,69.845,85227,70.11,83913,68.994,FPC-630,66.721,85251,75.216,85328,70.976,FPC-690,54.262,FPC-457,76.938,85540,78.034,85071,83.212,85221,87.77,85314,85.356,80343,74.27,83916
36085014604,Staten Island,SI0302,-74.15976150384911,40.550042633466504,POINT (-74.15976163683214 40.55004263314232),POINT (-74.15976150384911 40.5500426334665),48.443,83916,62.883,FPC-457,84.728,80343,73.983,85517,91.299,85540,85.447,FPC-488,95.563,85434,92.911,87247,92.607,85351,90.34,85521,88.588,85523,98.406,83913,93.949,81199,102.587,84611,108.192,85227,105.003,85328,101.481,FPC-630,100.612,FPC-624,123.4,80936,115.55,FPC-601,119.841,85251,109.13,82750,115.513,85357,123.309,87064,124.57,85108,133.789,FPC-690,138.819,85071,148.871,85314,134.032,85221,138.665,85307
36085014605,Staten Island,SI0302,-74.15012548399869,40.55869989534488,POINT (-74.15012532043482 40.558699708436635),POINT (-74.15012548399869 40.55869989534488),39.526,83916,59.85,FPC-457,77.559,80343,70.668,85517,84.13,85540,82.414,FPC-488,92.53,85434,89.461,87247,89.574,85351,87.075,85521,85.323,85523,95.373,83913,90.634,81199,99.554,84611,105.159,85227,101.97,85328,98.448,FPC-630,97.297,FPC-624,120.135,80936,112.285,FPC-601,105.815,82750,116.808,85251,112.248,85357,119.994,87064,121.255,85108,130.524,FPC-690,135.554,85071,145.606,85314,130.767,85221,135.35,85307
36081029100,Queens,QN0301,-73.89519911833828,40.75133635630856,POINT (-73.89519908548264 40.7513363124675),POINT (-73.89519911833828 40.75133635630856),23.57,80936,20.67,FPC-601,42.934,FPC-624,51.324,82750,56.18,84611,54.581,85227,44.388,85351,26.516,81199,57.194,FPC-630,65.503,87064,67.388,85328,67.59,83913,37.434,85251,42.228,FPC-488,31.393,85521,51.425,85434,34.325,85523,36.94,87247,66.892,85108,59.15,85357,48.523,85517,41.872,FPC-690,80.591,85540,76.737,85307,48.309,85071,53.487,85221,61.284,FPC-457,85.851,80343,58.666,85314,81.021,83916
36081029300,Queens,QN0203,-73.89948337998193,40.751932668237245,POINT (-73.89948335178241 40.75193265276733),POINT (-73.89948337998193 40.75193266823725),24.083,80936,20.959,FPC-601,40.884,FPC-624,49.274,82750,26.485,81199,54.13,84611,43.874,85351,54.55,85227,57.163,FPC-630,65.54,83913,63.453,87064,65.338,85328,41.714,FPC-488,31.002,85521,49.883,85434,37.403,85251,33.011,85523,36.549,87247,64.842,85108,59.119,85357,46.473,85517,80.077,85540,41.841,FPC-690,77.026,85307,48.278,85071,59.234,FPC-457,53.456,85221,85.337,80343,58.635,85314,79.242,83916
36085005901,Staten Island,SI0104,-74.10157481511712,40.6242854400483,POINT (-74.10157497960904 40.62428523871459),POINT (-74.10157481511712 40.6242854400483),24.361,83916,45.125,FPC-457,55.873,85517,62.764,80343,77.805,85434,67.689,FPC-488,74.851,87247,69.335,85540,72.28,85521,74.849,85351,70.528,85523,75.839,81199,80.648,83913,84.829,84611,90.434,85227,87.245,85328,83.723,FPC-630,82.502,FPC-624,105.34,80936,91.02,82750,97.49,FPC-601,102.083,85251,97.453,85357,105.199,87064,106.46,85108,115.729,FPC-690,120.759,85071,120.555,85307,115.972,85221,130.811,85314
36047051200,Brooklyn,BK1401,-73.96336204969779,40.64655217246477,POINT (-73.96336204716528 40.64655215369065),POINT (-73.96336204969779 40.64655217246477),26.873,85540,30.603,FPC-488,41.235,83913,41.978,85351,34.285,FPC-457,33.616,80343,45.329,85434,50.827,84611,36.541,85517,56.432,85227,49.209,85328,49.721,FPC-630,44.895,87247,36.84,85521,39.498,85523,48.876,81199,68.252,FPC-601,68.081,85251,76.102,80936,57.059,FPC-624,61.478,83916,65.472,82750,87.33,FPC-690,79.651,87064,95.19,85071,81.017,85108,72.089,85357,97.014,85221,102.67,85314,94.649,85307
36081032900,Queens,QN0302,-73.88273263435471,40.76443538733412,POINT (-73.8827326417151 40.76443537230967),POINT (-73.88273263435471 40.76443538733412),19.543,80936,30.486,FPC-601,52.33,82750,37.982,FPC-624,63.973,87064,70.739,85227,74.073,84611,53.592,85251,73.352,FPC-630,42.674,81199,67.977,85108,57.477,85351,84.611,85328,82.934,83913,47.416,85521,46.574,85523,55.317,FPC-488,61.292,85357,67.583,85434,52.269,87247,78.564,85307,58.03,FPC-690,64.467,85071,60.036,85517,66.634,85221,93.68,85540,74.824,85314,72.797,FPC-457,98.94,80343,92.805,83916
36005011000,Bronx,BX1091,-73.83258365340369,40.816623061875724,POINT (-73.83258384320075 40.816622634115085),POINT (-73.83258365340369 40.81662306187572),33.011,87064,47.95,85307,62.623,80936,49.276,85108,55.483,FPC-601,49.485,82750,51.444,FPC-624,65.765,85357,84.214,85251,73.483,85221,74.298,85071,87.948,FPC-690,103.424,FPC-630,98.705,85227,99.415,84611,64.535,81199,110.836,85328,88.322,85314,91.176,85351,69.117,85523,72.29,85521,105.73,83913,75.915,87247,87.89,85434,89.016,FPC-488,77.121,85517,111.453,85540,89.882,FPC-457,120.976,80343,109.89,83916
36005016600,Bronx,BX1002,-73.83018288928807,40.829524880733864,POINT (-73.8301829330539 40.829524878717294),POINT (-73.83018288928807 40.82952488073386),26.271,87064,30.726,85307,42.239,85108,58.806,80936,41.115,82750,51.526,FPC-601,55.205,85357,44.704,FPC-624,80.257,85251,69.526,85221,70.341,85071,83.991,FPC-690,57.795,81199,97.874,FPC-630,94.748,85227,92.675,84611,104.096,85328,84.365,85314,62.014,85523,85.335,85351,65.55,85521,69.175,87247,98.99,83913,81.15,85434,84.768,FPC-488,70.381,85517,104.713,85540,83.142,FPC-457,114.236,80343,103.15,83916
