GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),244.318,85517,252.038,85471,252.989,82998,260.779,FPC-626,251.895,85340,260.069,80491,260.942,85481,262.948,Plentiful-1200,261.932,DSNY-BRS-1058,257.625,80720
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),8.475,Plentiful-1200,11.47,85481,10.556,FPC-626,12.063,85434,20.712,80491,17.431,DSNY-BRS-1058,20.895,FPC-627,24.327,80813,18.138,85340,26.474,FPC-559
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,9.187,Plentiful-1200,8.92,85481,15.166,85434,15.996,80491,12.715,DSNY-BRS-1058,22.564,80813,21.602,FPC-627,13.422,85340,24.025,82998
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),2.37,Plentiful-1200,5.365,85481,6.804,FPC-626,10.404,85434,15.609,80491,13.956,DSNY-BRS-1058,18.3,80813,19.041,FPC-627,22.999,FPC-559,25.266,82998
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),3.441,Plentiful-1200,3.926,85481,6.619,85434,10.709,FPC-626,10.839,DSNY-BRS-1058,11.82,80491,14.561,80813,16.33,FPC-627,19.882,FPC-559,22.149,82998
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),3.859,85481,7.268,80491,6.835,Plentiful-1200,6.249,FPC-626,8.762,DSNY-BRS-1058,11.894,85434,16.18,80813,18.948,FPC-627,18.109,FPC-559,19.566,82998
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),2.541,85434,10.166,Plentiful-1200,10.651,85481,11.614,FPC-627,13.121,80813,12.162,DSNY-BRS-1058,15.92,FPC-626,14.449,80491,23.587,FPC-559,20.911,DSNY-BRS-2114
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),7.006,80813,6.084,FPC-627,8.656,85434,15.96,Plentiful-1200,14.181,85481,13.061,DSNY-BRS-1058,17.375,80491,18.615,FPC-626,17.854,DSNY-BRS-2114,18.945,85490
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),5.411,80813,4.034,FPC-627,11.116,85434,15.691,DSNY-BRS-1058,17.689,Plentiful-1200,15.91,85481,14.659,DSNY-BRS-2114,15.75,85490,20.005,80491,15.697,FPC-559
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),5.297,80813,5.572,FPC-627,14.147,85434,13.811,DSNY-BRS-2114,14.902,85490,18.169,DSNY-BRS-1058,16.469,84055,19.655,Plentiful-1200,17.613,85481,14.016,FPC-559
