GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36047076000,Brooklyn,BK1403,-73.95478860211786,40.621357118466335,POINT (-73.95478857813339 40.62135710374055),POINT (-73.95478860211786 40.62135711846634),16.755,84206,27.61,80343,23.021,83002,29.848,81586,34.529,85234,31.805,80403,29.863,83552,29.302,81317,35.92,84213,41.276,80345,32.293,85512,41.296,80438,45.137,85271,45.137,85271,45.137,83956,45.137,83956,38.333,80309,46.629,81626,44.144,81646,33.824,84599,49.974,81578,45.997,80419,42.26,FPC-626,49.701,85434,42.423,85481
36047076200,Brooklyn,BK1403,-73.95648572263894,40.6257184325582,POINT (-73.95648571403639 40.62571841161907),POINT (-73.95648572263894 40.6257184325582),16.719,84206,27.574,80343,25.186,83002,26.974,81586,27.97,80403,33.949,85234,33.565,83552,26.955,81317,43.441,80345,33.573,84213,43.461,80438,44.612,85271,44.612,85271,44.612,83956,44.612,83956,35.995,85512,35.986,80309,41.853,81646,46.104,81626,53.325,81578,37.526,84599,44.42,80419,37.025,FPC-626,44.466,85434,37.188,85481
36047076400,Brooklyn,BK1402,-73.95864323235912,40.631927122296545,POINT (-73.95864320460241 40.6319270488249),POINT (-73.95864323235912 40.63192712229655),21.022,84206,25.812,83002,31.877,80343,27.344,80403,34.115,81586,34.191,83552,38.796,85234,44.087,80438,33.569,81317,43.43,80345,43.364,83956,43.364,83956,43.364,85271,43.364,85271,39.683,81646,44.686,81626,40.187,84213,36.621,85512,50.476,81578,41.536,80419,42.6,80309,38.152,84599,38.148,FPC-626,45.589,85434,38.311,85481
36047076600,Brooklyn,BK1401,-73.95683933214087,40.63318734064124,POINT (-73.95683932409639 40.633187318729206),POINT (-73.95683933214087 40.63318734064124),23.597,83002,21.388,84206,26.652,80403,32.243,80343,34.481,81586,31.976,83552,41.872,80438,41.852,80345,39.162,85234,42.672,85271,42.672,85271,42.672,83956,42.672,83956,38.991,81646,33.935,81317,43.994,81626,34.406,85512,40.553,84213,49.784,81578,40.844,80419,35.937,84599,42.966,80309,38.751,FPC-626,46.192,85434,38.914,85481
36047076800,Brooklyn,BK1403,-73.96080167134075,40.618804049582856,POINT (-73.96080171105277 40.61880400132585),POINT (-73.96080167134075 40.61880404958286),17.861,84206,26.29,80343,30.954,81586,28.831,83002,26.293,81317,33.287,85234,32.911,84213,30.281,80403,35.673,83552,35.324,80309,47.086,80345,38.103,85512,47.106,80438,49.26,83956,49.26,83956,49.26,85271,49.26,85271,44.164,81646,51.769,81626,39.634,84599,55.784,81578,48.619,80419,39.336,FPC-626,46.777,85434,39.499,85481
36047077000,Brooklyn,BK1401,-73.95382689227758,40.63613791009041,POINT (-73.95382685836202 40.6361379156422),POINT (-73.95382689227758 40.63613791009041),23.014,83002,24.393,84206,27.023,80403,35.248,80343,31.393,83552,37.163,81586,41.289,80438,41.269,80345,42.44,85271,42.44,85271,42.44,83956,42.44,83956,39.362,81646,43.932,81626,42.167,85234,33.823,85512,50.155,81578,36.94,81317,41.215,80419,35.354,84599,43.558,84213,45.971,80309,48.813,85434,41.372,FPC-626,41.535,85481
36047077200,Brooklyn,BK1401,-73.95317722098984,40.631609310201306,POINT (-73.95317721557959 40.63160927448318),POINT (-73.95317722098984 40.63160931020131),22.1,83002,24.462,84206,35.015,80343,30.63,80403,30.479,83552,34.32,81586,41.295,85234,40.355,80345,40.375,80438,41.526,85271,41.526,85271,41.526,83956,41.526,83956,32.909,85512,34.301,81317,43.018,81626,42.996,81646,50.239,81578,40.919,84213,34.44,84599,44.849,80419,43.332,80309,51.812,85434,44.371,FPC-626,44.534,85481
36047077400,Brooklyn,BK1401,-73.94808358981884,40.631208938201816,POINT (-73.94808355621112 40.631208914578174),POINT (-73.94808358981884 40.63120893820182),20.721,83002,22.866,84206,33.721,80343,24.033,80403,28.545,83552,36.197,80345,38.996,80438,41.986,85234,35.959,81586,40.053,85271,40.053,85271,40.053,83956,40.053,83956,30.975,85512,41.375,81626,36.372,81646,47.165,81578,32.506,84599,35.413,81317,42.031,84213,38.225,80419,44.444,80309,48.837,85434,41.396,FPC-626,41.559,85481
36047077600,Brooklyn,BK1801,-73.94113610897074,40.630925515857854,POINT (-73.9411361121609 40.63092553648267),POINT (-73.94113610897074 40.63092551585785),18.822,83002,27.316,83552,28.247,84206,39.102,80343,30.812,80403,37.077,80345,37.097,80438,29.746,85512,38.363,85271,38.363,85271,38.363,83956,38.363,83956,47.788,85234,31.277,84599,39.855,81626,41.34,81586,46.961,81578,43.151,81646,40.794,81317,45.004,80419,47.412,84213,49.825,80309,54.443,85434,47.002,FPC-626,47.165,85481
36047078000,Brooklyn,BK1702,-73.93914917811776,40.634498282612405,POINT (-73.93914917340821 40.634498262235866),POINT (-73.93914917811776 40.63449828261241),14.816,83002,23.195,83552,33.071,80345,29.011,80403,33.091,80438,26.559,84206,25.625,85512,34.242,85271,34.242,85271,34.242,83956,34.242,83956,37.414,80343,27.156,84599,45.679,85234,35.734,81626,42.955,81578,43.034,81646,39.448,81586,44.887,80419,39.106,81317,45.724,84213,48.137,80309,52.223,85434,44.782,FPC-626,44.945,85481
