GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14
36005037000,Bronx,BX1201,-73.85902064618624,40.873089686517226,POINT (-73.85902064200532 40.87308967875419),POINT (-73.85902064618624 40.87308968651723),29.199,85503,33.264,87064,49.059,FPC-624,57.218,80752,58.896,81199,58.972,85523,63.887,85521,68.541,87247,81.725,85434,85.343,FPC-488,101.993,82186,70.956,85517,83.717,FPC-457,114.811,80343,103.725,83916
36005037100,Bronx,BX0602,-73.88738098633144,40.847222870405176,POINT (-73.8873810261002 40.847222854198456),POINT (-73.88738098633144 40.84722287040518),16.771,87064,33.369,85503,37.204,FPC-624,45.52,80752,47.041,81199,47.274,85523,52.189,85521,56.843,87247,69.87,85434,73.488,FPC-488,59.101,85517,90.138,82186,71.862,FPC-457,102.956,80343,91.87,83916
36005037200,Bronx,BX1201,-73.86327805900939,40.8738043223069,POINT (-73.86327806309251 40.87380430075634),POINT (-73.86327805900939 40.8738043223069),29.188,85503,30.203,87064,48.8,FPC-624,54.157,80752,58.637,81199,55.911,85523,60.826,85521,65.48,87247,81.466,85434,85.084,FPC-488,101.734,82186,70.461,85517,83.458,FPC-457,114.552,80343,103.466,83916
36005037300,Bronx,BX0602,-73.89014302118538,40.848669433768976,POINT (-73.89014306804427 40.84866940854379),POINT (-73.89014302118538 40.84866943376898),19.168,87064,33.279,85503,38.039,FPC-624,47.358,80752,48.762,81199,49.112,85523,51.963,85521,58.681,87247,71.591,85434,75.209,FPC-488,60.822,85517,91.859,82186,73.583,FPC-457,104.677,80343,93.591,83916
36005037400,Bronx,BX1201,-73.86667216694194,40.87454058828513,POINT (-73.86667217124248 40.87454054738084),POINT (-73.86667216694194 40.87454058828513),32.416,85503,26.728,87064,45.325,FPC-624,50.682,80752,55.162,81199,52.436,85523,57.351,85521,62.005,87247,77.991,85434,81.609,FPC-488,98.259,82186,66.986,85517,79.983,FPC-457,111.077,80343,99.991,83916
36005037504,Bronx,BX0602,-73.89267219063078,40.850303459967044,POINT (-73.89267225600506 40.850303411833956),POINT (-73.89267219063078 40.85030345996704),20.954,87064,35.022,85503,36.852,FPC-624,44.754,80752,46.689,81199,47.687,85523,48.237,85521,56.531,87247,68.172,85434,73.136,FPC-488,58.749,85517,89.786,82186,71.51,FPC-457,102.604,80343,91.518,83916
36005037900,Bronx,BX0502,-73.89878249962328,40.85156960925186,POINT (-73.89878255799871 40.85156955511926),POINT (-73.89878249962328 40.85156960925186),23.039,87064,30.838,FPC-624,38.442,85503,39.919,80752,40.675,81199,41.673,85523,44.359,85521,51.242,87247,63.504,85434,67.122,FPC-488,52.735,85517,83.772,82186,65.496,FPC-457,96.59,80343,85.504,83916
36005038000,Bronx,BX1201,-73.86240950535354,40.87808251579251,POINT (-73.86240949446996 40.87808251378518),POINT (-73.86240950535354 40.87808251579251),32.418,85503,28.759,87064,45.999,FPC-624,52.713,80752,55.836,81199,54.467,85523,59.382,85521,64.036,87247,78.665,85434,82.283,FPC-488,98.933,82186,67.896,85517,80.657,FPC-457,111.751,80343,100.665,83916
36005038100,Bronx,BX0502,-73.90115443345857,40.8520182928699,POINT (-73.90115447716418 40.85201823126065),POINT (-73.90115443345857 40.8520182928699),25.684,87064,31.484,FPC-624,40.465,85503,43.478,80752,41.321,81199,42.083,85523,41.278,85521,49.572,87247,61.213,85434,66.484,FPC-488,53.381,85517,84.418,82186,66.142,FPC-457,96.239,80343,86.15,83916
36005038200,Bronx,BX1201,-73.85473996744862,40.87731187400394,POINT (-73.85473994900741 40.8773118929942),POINT (-73.85473996744862 40.87731187400394),32.707,85503,34.964,87064,51.533,FPC-624,58.918,80752,61.37,81199,60.672,85523,65.587,85521,70.241,87247,84.199,85434,87.817,FPC-488,104.467,82186,73.43,85517,86.191,FPC-457,117.285,80343,106.199,83916
36005038301,Bronx,BX0503,-73.89850948572388,40.85720989632079,POINT (-73.89850949527928 40.85720988711005),POINT (-73.89850948572388 40.85720989632079),29.831,87064,38.568,85503,30.971,FPC-624,43.222,80752,40.808,81199,40.866,85523,40.061,85521,48.355,87247,59.996,85434,65.267,FPC-488,52.868,85517,83.905,82186,65.629,FPC-457,95.022,80343,85.637,83916
36005038303,Bronx,BX0503,-73.89616242655467,40.856829720703345,POINT (-73.89616246457773 40.85682970126864),POINT (-73.89616242655467 40.85682972070335),26.95,87064,36.104,85503,33.852,FPC-624,43.094,80752,43.689,81199,43.747,85523,42.942,85521,51.236,87247,62.877,85434,68.148,FPC-488,55.749,85517,86.786,82186,68.51,FPC-457,97.903,80343,88.518,83916
36005038600,Bronx,BX1202,-73.84839830843833,40.879635339936115,POINT (-73.84839831248293 40.87963530173257),POINT (-73.84839830843833 40.87963533993612),25.811,85503,35.355,87064,49.987,FPC-624,61.383,80752,59.824,81199,63.137,85523,68.052,85521,71.766,87247,82.653,85434,86.271,FPC-488,102.921,82186,71.884,85517,84.645,FPC-457,115.739,80343,104.653,83916
36005038700,Bronx,BX0603,-73.88922281803295,40.858007033806174,POINT (-73.889222823642 40.85800701086497),POINT (-73.88922281803295 40.85800703380617),27.139,87064,30.022,85503,35.702,FPC-624,42.749,80752,45.539,81199,49.363,85523,48.558,85521,56.852,87247,68.368,85434,71.986,FPC-488,57.599,85517,88.636,82186,70.36,FPC-457,101.454,80343,90.368,83916
36005038800,Bronx,BX1201,-73.85535728070806,40.879601798269995,POINT (-73.85535726998853 40.879601801035186),POINT (-73.85535728070806 40.87960179827),33.787,85503,38.323,87064,53.647,FPC-624,62.277,80752,63.484,81199,64.031,85523,68.946,85521,73.6,87247,86.313,85434,89.931,FPC-488,106.581,82186,75.544,85517,88.305,FPC-457,119.399,80343,108.313,83916
36005039000,Bronx,BX1201,-73.86075667325382,40.88123081643193,POINT (-73.86075665842604 40.881230821695496),POINT (-73.86075667325382 40.88123081643193),34.247,85503,31.806,87064,50.403,FPC-624,55.76,80752,60.24,81199,57.514,85523,62.429,85521,67.083,87247,83.069,85434,86.687,FPC-488,103.337,82186,72.064,85517,85.061,FPC-457,116.155,80343,105.069,83916
36005039100,Bronx,BX0603,-73.88712594094717,40.853116205802216,POINT (-73.88712593416416 40.85311619504677),POINT (-73.88712594094717 40.85311620580222),21.875,87064,32.404,85503,40.34,FPC-624,47.387,80752,50.177,81199,52.378,85523,53.755,85521,61.947,87247,73.006,85434,76.624,FPC-488,62.237,85517,93.274,82186,74.998,FPC-457,106.092,80343,95.006,83916
36005039200,Bronx,BX1201,-73.86474047077553,40.88328731015544,POINT (-73.86474047630126 40.88328730706154),POINT (-73.86474047077553 40.88328731015544),33.632,85503,27.944,87064,46.541,FPC-624,51.898,80752,56.378,81199,53.652,85523,58.567,85521,63.221,87247,79.207,85434,82.825,FPC-488,99.475,82186,68.202,85517,81.199,FPC-457,112.293,80343,101.207,83916
