GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5
36005022300,Bronx,BX0403,-73.91508372737512,40.840521025258056,POINT (-73.91508372070336 40.84052102379986),POINT (-73.91508372737512 40.84052102525806),24.401,FPC-624,31.185,80518,34.199,81199,46.842,81458,74.476,FPC-609,74.476,Plentiful-1511
36005022403,Bronx,BX1101,-73.86542150531088,40.85647758489897,POINT (-73.8654215263961 40.85647758073529),POINT (-73.86542150531088 40.85647758489897),40.708,FPC-624,48.633,80518,51.647,81199,61.136,81458,88.911,FPC-609,88.911,Plentiful-1511
36005022404,Bronx,BX1101,-73.86630031006821,40.85274292702464,POINT (-73.86630031016965 40.85274291576755),POINT (-73.86630031006821 40.85274292702464),42.599,FPC-624,51.119,80518,54.133,81199,63.027,81458,90.802,FPC-609,90.802,Plentiful-1511
36005022500,Bronx,BX0403,-73.91096080700186,40.84012498184117,POINT (-73.91096080408936 40.840124953622976),POINT (-73.91096080700186 40.84012498184117),29.45,FPC-624,36.367,80518,39.381,81199,47.849,81458,79.658,FPC-609,79.658,Plentiful-1511
36005022701,Bronx,BX0502,-73.91106392880253,40.84680611445757,POINT (-73.91106394811868 40.84680611124304),POINT (-73.91106392880253 40.84680611445757),23.988,FPC-624,30.772,80518,33.786,81199,50.413,81458,74.063,FPC-609,74.063,Plentiful-1511
36005022702,Bronx,BX0403,-73.91329246237461,40.844500470518334,POINT (-73.91329245626305 40.84450047463603),POINT (-73.91329246237461 40.84450047051833),24.61,FPC-624,31.394,80518,34.408,81199,51.035,81458,74.685,FPC-609,74.685,Plentiful-1511
36005022703,Bronx,BX0403,-73.91052050294378,40.844045102970576,POINT (-73.91052050467533 40.844045100601086),POINT (-73.91052050294378 40.84404510297058),27.97,FPC-624,34.754,80518,37.768,81199,50.31,81458,78.045,FPC-609,78.045,Plentiful-1511
36005022800,Bronx,BX1101,-73.86353399518562,40.853492211538736,POINT (-73.86353400799072 40.85349216469403),POINT (-73.86353399518562 40.85349221153874),39.997,FPC-624,46.781,80518,49.795,81199,66.25,81458,90.072,FPC-609,90.072,Plentiful-1511
36005022901,Bronx,BX0502,-73.9072029951638,40.84611079311074,POINT (-73.90720300303106 40.84611079508752),POINT (-73.9072029951638 40.84611079311074),30.018,FPC-624,36.802,80518,39.816,81199,51.501,81458,80.093,FPC-609,80.093,Plentiful-1511
36005022902,Bronx,BX0403,-73.90713986952393,40.84380313023184,POINT (-73.90713986645062 40.84380313185489),POINT (-73.90713986952393 40.84380313023184),32.02,FPC-624,38.804,80518,41.818,81199,54.36,81458,82.095,FPC-609,82.095,Plentiful-1511
36005023100,Bronx,BX0502,-73.9024656268422,40.846203195373455,POINT (-73.90246563453253 40.846203192506344),POINT (-73.9024656268422 40.84620319537346),36.121,FPC-624,43.08,80518,46.094,81199,57.394,81458,86.371,FPC-609,86.371,Plentiful-1511
36005023200,Bronx,BX1101,-73.86331603759973,40.846974587911355,POINT (-73.86331604895082 40.84697459685402),POINT (-73.86331603759973 40.84697458791135),39.745,FPC-624,46.529,80518,49.543,81199,64.488,81458,89.82,FPC-609,89.82,Plentiful-1511
36005023301,Bronx,BX0502,-73.90875750995812,40.84955665930731,POINT (-73.90875751034585 40.84955665652816),POINT (-73.90875750995812 40.84955665930731),27.186,FPC-624,33.97,80518,36.984,81199,53.066,81458,77.261,FPC-609,77.261,Plentiful-1511
36005023302,Bronx,BX0502,-73.90474239611974,40.84818987910532,POINT (-73.90474239504005 40.84818988527655),POINT (-73.90474239611974 40.84818987910532),34.364,FPC-624,41.148,80518,44.162,81199,53.35,81458,84.439,FPC-609,84.439,Plentiful-1511
36005023600,Bronx,BX1101,-73.86725649473259,40.845091049950035,POINT (-73.86725648120513 40.84509103547272),POINT (-73.86725649473259 40.84509104995004),35.963,FPC-624,42.747,80518,45.761,81199,60.706,81458,86.038,FPC-609,86.038,Plentiful-1511
36005023704,Bronx,BX0503,-73.90190726739463,40.8562628201208,POINT (-73.90190727982532 40.85626281299898),POINT (-73.90190726739463 40.8562628201208),30.814,FPC-624,37.598,80518,40.612,81199,50.31,81458,80.889,FPC-609,80.889,Plentiful-1511
36005023900,Bronx,BX0503,-73.90287833853475,40.85889981102925,POINT (-73.9028783988716 40.85889976856767),POINT (-73.90287833853475 40.85889981102925),27.065,FPC-624,33.849,80518,36.863,81199,53.49,81458,77.14,FPC-609,77.14,Plentiful-1511
36005024100,Bronx,BX0502,-73.90618821482663,40.85314619404719,POINT (-73.906188247493 40.85314618137948),POINT (-73.90618821482663 40.85314619404719),25.973,FPC-624,32.757,80518,35.771,81199,52.398,81458,76.048,FPC-609,76.048,Plentiful-1511
36005024300,Bronx,BX0501,-73.91153809011769,40.85242438762975,POINT (-73.91153813543107 40.85242438152219),POINT (-73.91153809011769 40.85242438762975),29.793,FPC-624,36.577,80518,39.591,81199,54.749,81458,79.868,FPC-609,79.868,Plentiful-1511
36005024400,Bronx,BX1102,-73.85750852447528,40.84622012987651,POINT (-73.85750846483411 40.84622010026855),POINT (-73.85750852447528 40.84622012987651),42.343,FPC-624,49.127,80518,52.141,81199,67.086,81458,92.418,FPC-609,92.418,Plentiful-1511
36005024501,Bronx,BX0501,-73.91548166803946,40.85287953258556,POINT (-73.91548166454122 40.852879530031416),POINT (-73.91548166803946 40.85287953258556),32.643,FPC-624,39.427,80518,42.441,81199,58.837,81458,82.718,FPC-609,82.718,Plentiful-1511
36005024502,Bronx,BX0501,-73.91355708389179,40.855106981388715,POINT (-73.91355708346353 40.85510698414242),POINT (-73.91355708389179 40.85510698138872),33.006,FPC-624,39.79,80518,42.804,81199,59.431,81458,83.081,FPC-609,83.081,Plentiful-1511
36005024600,Bronx,BX1102,-73.86115634678718,40.851605699514316,POINT (-73.86115633792235 40.851605634046344),POINT (-73.86115634678718 40.85160569951432),39.944,FPC-624,46.728,80518,49.742,81199,66.369,81458,90.019,FPC-609,90.019,Plentiful-1511
36005024800,Bronx,BX1102,-73.85841122406244,40.85533783994753,POINT (-73.85841121560901 40.85533781802132),POINT (-73.85841122406244 40.85533783994753),35.674,FPC-624,42.458,80518,45.472,81199,62.099,81458,85.749,FPC-609,85.749,Plentiful-1511
36005024900,Bronx,BX0501,-73.9131035347294,40.85744400370865,POINT (-73.9131035454003 40.857444004343556),POINT (-73.9131035347294 40.85744400370865),36.301,FPC-624,43.085,80518,46.099,81199,60.79,81458,86.376,FPC-609,86.376,Plentiful-1511
36005025000,Bronx,BX1102,-73.85570028789496,40.851706487670214,POINT (-73.85570028424114 40.851706496995156),POINT (-73.85570028789496 40.85170648767021),42.441,FPC-624,49.225,80518,52.239,81199,68.866,81458,92.516,FPC-609,92.516,Plentiful-1511
36005025100,Bronx,BX0501,-73.90773238518678,40.856531325729364,POINT (-73.90773241010562 40.85653130760424),POINT (-73.90773238518678 40.85653132572936),31.463,FPC-624,38.247,80518,41.261,81199,57.888,81458,81.538,FPC-609,81.538,Plentiful-1511
36005025200,Bronx,BX1102,-73.85496784858842,40.847138770554736,POINT (-73.85496777446996 40.84713873508839),POINT (-73.85496784858842 40.84713877055474),42.767,FPC-624,49.551,80518,52.565,81199,67.51,81458,92.842,FPC-609,92.842,Plentiful-1511
36005025300,Bronx,BX0701,-73.90455103342784,40.861007654948935,POINT (-73.90455107389106 40.861007649571675),POINT (-73.90455103342784 40.86100765494893),31.074,FPC-624,37.858,80518,40.872,81199,55.661,81458,81.149,FPC-609,81.149,Plentiful-1511
36005025400,Bronx,BX1102,-73.85247730312099,40.848498451379925,POINT (-73.85247725923429 40.848498439752106),POINT (-73.85247730312099 40.84849845137992),44.748,FPC-624,51.532,80518,54.546,81199,69.491,81458,94.823,FPC-609,94.823,Plentiful-1511
36005025500,Bronx,BX0701,-73.90893827808374,40.86054331769929,POINT (-73.90893832933872 40.86054330703149),POINT (-73.90893827808374 40.86054331769929),36.005,FPC-624,42.789,80518,45.803,81199,56.033,81458,86.08,FPC-609,86.08,Plentiful-1511
36005026100,Bronx,BX0701,-73.90588836064076,40.8666657876924,POINT (-73.90588841795046 40.86666576511506),POINT (-73.90588836064076 40.8666657876924),36.516,FPC-624,43.3,80518,46.314,81199,60.332,81458,86.591,FPC-609,86.591,Plentiful-1511
36005026300,Bronx,BX0701,-73.90446324839124,40.86477471902312,POINT (-73.90446330328068 40.864774696444734),POINT (-73.90446324839124 40.86477471902312),33.438,FPC-624,40.222,80518,43.236,81199,53.779,81458,83.513,FPC-609,83.513,Plentiful-1511
36005026400,Bronx,BX1002,-73.83209964984947,40.84178106056807,POINT (-73.83209971822389 40.84178107548018),POINT (-73.83209964984947 40.84178106056807),41.465,FPC-624,52.749,80518,54.484,81199,71.193,81458,98.026,FPC-609,98.026,Plentiful-1511
36005026500,Bronx,BX0701,-73.90024063717348,40.866218261206456,POINT (-73.90024069016275 40.866218232012514),POINT (-73.90024063717348 40.86621826120646),33.124,FPC-624,39.908,80518,42.922,81199,58.014,81458,83.199,FPC-609,83.199,Plentiful-1511
36005026601,Bronx,BX1003,-73.83413220054764,40.847429034789535,POINT (-73.83413223173325 40.847429015549196),POINT (-73.83413220054764 40.84742903478953),36.617,FPC-624,47.901,80518,49.636,81199,66.345,81458,93.178,FPC-609,93.178,Plentiful-1511
36005026602,Bronx,BX1003,-73.8306129353015,40.845982359140784,POINT (-73.83061298666647 40.84598234994428),POINT (-73.8306129353015 40.84598235914078),38.392,FPC-624,49.676,80518,51.411,81199,68.12,81458,94.953,FPC-609,94.953,Plentiful-1511
36005026701,Bronx,BX0801,-73.90122655941438,40.86935122641852,POINT (-73.90122655309256 40.86935122721188),POINT (-73.90122655941438 40.86935122641852),34.615,FPC-624,41.399,80518,44.413,81199,59.687,81458,84.69,FPC-609,84.69,Plentiful-1511
36005026702,Bronx,BX0801,-73.90011688786693,40.8722877930878,POINT (-73.90011688350621 40.872287772638096),POINT (-73.90011688786693 40.8722877930878),37.217,FPC-624,44.001,80518,47.015,81199,60.885,81458,87.292,FPC-609,87.292,Plentiful-1511
36005027300,Bronx,BX0801,-73.90322294107402,40.87389904427045,POINT (-73.90322296655172 40.87389900538684),POINT (-73.90322294107402 40.87389904427045),39.605,FPC-624,46.389,80518,49.403,81199,57.925,81458,89.68,FPC-609,89.68,Plentiful-1511
36005027700,Bronx,BX0801,-73.90145517353602,40.87838746416111,POINT (-73.90145519456243 40.87838745270643),POINT (-73.90145517353602 40.87838746416111),42.289,FPC-624,49.073,80518,52.087,81199,55.314,81458,88.908,FPC-609,88.908,Plentiful-1511
36005027900,Bronx,BX0801,-73.89727857910282,40.8825549324179,POINT (-73.89727863202259 40.88255489940435),POINT (-73.89727857910282 40.8825549324179),41.651,FPC-624,48.435,80518,51.449,81199,56.585,81458,90.179,FPC-609,90.179,Plentiful-1511
36005028100,Bronx,BX0801,-73.89070545611898,40.88380989014881,POINT (-73.89070544325266 40.88380989793295),POINT (-73.89070545611898 40.88380989014881),43.415,FPC-624,50.199,80518,53.213,81199,63.909,81458,93.49,FPC-609,93.49,Plentiful-1511
36005028600,Bronx,BX1102,-73.84777583900976,40.84918596729629,POINT (-73.84777583976884 40.84918595575503),POINT (-73.84777583900976 40.84918596729629),43.073,FPC-624,53.342,80518,56.092,81199,71.301,81458,96.633,FPC-609,96.633,Plentiful-1511
36005028700,Bronx,BX0802,-73.90465792796013,40.88271420294817,POINT (-73.90465793336308 40.882714196548534),POINT (-73.90465792796013 40.88271420294817),44.77,FPC-624,54.584,80518,55.968,81199,56.868,81458,90.462,FPC-609,90.462,Plentiful-1511
36005028800,Bronx,BX1102,-73.85146958019084,40.854289690031315,POINT (-73.85146953782214 40.854289660561534),POINT (-73.85146958019084 40.85428969003132),43.837,FPC-624,50.621,80518,53.635,81199,69.8,81458,93.912,FPC-609,93.912,Plentiful-1511
36005028900,Bronx,BX0802,-73.90730543972113,40.87966256106896,POINT (-73.90730543005604 40.87966254946025),POINT (-73.90730543972113 40.87966256106896),41.899,FPC-624,51.713,80518,53.097,81199,53.997,81458,87.591,FPC-609,87.591,Plentiful-1511
36005029500,Bronx,BX0803,-73.90855862892552,40.884956667545,POINT (-73.90855870310324 40.88495660401631),POINT (-73.90855862892552 40.884956667545),49.706,FPC-624,58.302,80518,60.155,81199,59.992,81458,95.573,FPC-609,95.573,Plentiful-1511
36005029600,Bronx,BX1102,-73.84510196151234,40.85539545155925,POINT (-73.84510190963518 40.85539544856536),POINT (-73.84510196151234 40.85539545155925),44.23,FPC-624,53.529,80518,56.543,81199,71.874,81458,96.82,FPC-609,96.82,Plentiful-1511
36005030000,Bronx,BX1003,-73.83124408974426,40.852210230897825,POINT (-73.83124410440391 40.85221021225561),POINT (-73.83124408974426 40.85221023089782),39.068,FPC-624,52.126,80518,54.158,81199,70.867,81458,97.7,FPC-609,97.7,Plentiful-1511
36005030100,Bronx,BX0803,-73.91793437300412,40.88324416221605,POINT (-73.91793438524086 40.883244150476635),POINT (-73.91793437300412 40.88324416221605),53.605,FPC-624,63.419,80518,64.803,81199,65.703,81458,99.297,FPC-609,99.297,Plentiful-1511
36005030201,Bronx,BX1004,-73.82450087291153,40.861923273124816,POINT (-73.8245008911562 40.861923265731775),POINT (-73.82450087291153 40.86192327312482),53.092,FPC-624,64.243,80518,67.257,81199,83.884,81458,107.534,FPC-609,107.534,Plentiful-1511
36005030701,Bronx,BX0803,-73.91055793879131,40.89316177984845,POINT (-73.91055805458696 40.89316156798207),POINT (-73.91055793879131 40.89316177984845),52.589,FPC-624,61.185,80518,63.038,81199,62.875,81458,98.456,FPC-609,98.456,Plentiful-1511
36005030900,Bronx,BX0803,-73.91397963883702,40.89728775139059,POINT (-73.91398013594102 40.89728690883957),POINT (-73.91397963883702 40.89728775139059),60.522,FPC-624,69.118,80518,70.971,81199,70.808,81458,106.389,FPC-609,106.389,Plentiful-1511
36005031000,Bronx,BX1103,-73.83601758619164,40.86124739386013,POINT (-73.83601756952204 40.86124738464313),POINT (-73.83601758619164 40.86124739386013),49.177,FPC-624,56.253,80518,59.267,81199,74.598,81458,99.544,FPC-609,99.544,Plentiful-1511
36005031200,Bronx,BX1103,-73.8424491710827,40.86205979648269,POINT (-73.84244915828273 40.862059745775554),POINT (-73.84244917108271 40.86205979648269),48.375,FPC-624,57.056,80518,60.07,81199,75.666,81458,100.347,FPC-609,100.347,Plentiful-1511
36005031400,Bronx,BX1103,-73.84553350277537,40.86153813382735,POINT (-73.84553348538465 40.861538081718656),POINT (-73.84553350277537 40.86153813382735),46.218,FPC-624,53.002,80518,56.016,81199,71.347,81458,96.293,FPC-609,96.293,Plentiful-1511
36005031600,Bronx,BX1103,-73.84872455075629,40.86197108550369,POINT (-73.84872455539781 40.86197103601648),POINT (-73.84872455075629 40.86197108550369),44.035,FPC-624,50.819,80518,53.833,81199,70.46,81458,94.11,FPC-609,94.11,Plentiful-1511
36005031800,Bronx,BX1103,-73.85156788738523,40.86195474984694,POINT (-73.8515678950247 40.86195469417978),POINT (-73.85156788738523 40.86195474984694),42.338,FPC-624,49.122,80518,52.136,81199,68.763,81458,92.413,FPC-609,92.413,Plentiful-1511
36005031900,Bronx,BX0803,-73.90683904670264,40.912949618511746,POINT (-73.90683898337863 40.912949636794956),POINT (-73.90683904670264 40.91294961851175),50.095,FPC-624,61.716,80518,65.842,81199,71.88,81458,107.347,FPC-609,107.347,Plentiful-1511
36005032300,Bronx,BX0803,-73.90756737400895,40.905335355098565,POINT (-73.90756745532516 40.905335246587256),POINT (-73.90756737400895 40.90533535509856),50.673,FPC-624,62.294,80518,66.42,81199,67.668,81458,103.249,FPC-609,103.249,Plentiful-1511
36005032400,Bronx,BX1104,-73.85971796885424,40.86134893935277,POINT (-73.85971795180595 40.86134888568431),POINT (-73.85971796885424 40.86134893935277),42.91,FPC-624,49.694,80518,52.708,81199,69.335,81458,92.985,FPC-609,92.985,Plentiful-1511
36005032600,Bronx,BX1103,-73.85548322328154,40.86217802527937,POINT (-73.85548320496648 40.862177972904),POINT (-73.85548322328154 40.86217802527937),41.443,FPC-624,48.227,80518,51.241,81199,67.868,81458,91.518,FPC-609,91.518,Plentiful-1511
36005032800,Bronx,BX1104,-73.86313020219036,40.86173643043768,POINT (-73.86313020712686 40.86173636320934),POINT (-73.86313020219036 40.86173643043768),45.783,FPC-624,52.567,80518,55.581,81199,68.193,81458,95.858,FPC-609,95.858,Plentiful-1511
36005033000,Bronx,BX1104,-73.86602499064166,40.861658124882034,POINT (-73.8660249955324 40.86165805757857),POINT (-73.86602499064166 40.86165812488203),44.279,FPC-624,52.048,80518,55.062,81199,64.707,81458,92.482,FPC-609,92.482,Plentiful-1511
36005033201,Bronx,BX1104,-73.86923460070841,40.8594786073309,POINT (-73.86923460651872 40.85947859509661),POINT (-73.86923460070841 40.8594786073309),43.634,FPC-624,51.028,80518,54.042,81199,64.062,81458,91.837,FPC-609,91.837,Plentiful-1511
