GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061016500,Manhattan,MN0702,-73.97499829287584,40.78235777983011,POINT (-73.9749982707153 40.78235777892736),POINT (-73.97499829287584 40.78235777983011),10.039,80846,10.525,81659,10.807,81249,10.28,DSNY-BRS-1459,7.269,80517,13.025,85548,22.577,85530,13.941,FPC-531,20.736,85369,15.924,FPC-77,14.245,DSNY-BRS-1461,18.987,83311,25.092,84065,24.264,81199,25.288,80739,25.288,80739,20.321,80801,25.288,FPC-165,25.288,FPC-165,16.954,FPC-584,18.482,81204,23.849,80861,19.415,87369,18.72,80474,18.72,84451,18.72,84451,18.72,80474,16.412,85523,20.137,85368,18.85,80712,21.383,81735,20.301,85521,29.132,FPC-493,25.684,FPC-607,23.02,81727,31.983,85379,28.652,82798,23.614,80596,29.319,85544,30.784,DSNY-BRS-1262,25.593,85547,24.805,87247,23.364,80493,36.252,87007,53.109,85350,28.805,83686,28.805,84055,36.286,85490,34.978,DSNY-BRS-2114,28.317,82212
36061016600,Manhattan,MN1101,-73.94838363836081,40.78936979932858,POINT (-73.94838366208326 40.78936978189304),POINT (-73.94838363836081 40.78936979932858),10.57,80861,9.487,FPC-493,12.464,85379,6.039,FPC-607,20.251,83311,11.848,DSNY-BRS-1262,18.518,80474,18.518,80474,18.518,84451,18.518,84451,14.887,FPC-531,13.286,80596,24.78,80801,25.156,FPC-77,15.486,83686,41.27,85350,19.432,82212,22.052,84065,23.632,FPC-584,19.549,81727,20.517,80712,15.754,85530,19.625,81418,26.894,81249,24.167,85088,25.284,81659,26.046,80846,23.792,85508,18.518,85331,33.325,87007,27.575,DSNY-BRS-1459,29.833,80517,17.441,80006,27.518,DSNY-BRS-1173,31.653,85483,20.048,81199,29.814,81612,28.002,85548,18.109,80739,18.109,80739,18.109,FPC-165,18.109,FPC-165,28.601,85473,19.015,FPC-418,30.654,85367,25.188,85358,23.243,85518,21.09,82750,36.604,80971,28.709,DSNY-BRS-1461
36061016900,Manhattan,MN0702,-73.97311965461938,40.78519566643169,POINT (-73.97311963029763 40.785195669002235),POINT (-73.97311965461938 40.78519566643169),7.161,80846,6.399,81659,8.009,81249,13.317,DSNY-BRS-1459,10.518,80517,16.634,FPC-77,16.237,FPC-531,16.069,85548,24.873,85530,17.721,83311,23.88,85369,21.031,80801,17.664,FPC-584,27.388,84065,16.955,DSNY-BRS-1461,22.583,80861,17.454,84451,17.454,84451,17.454,80474,17.454,80474,25.997,81199,27.584,80739,27.584,80739,27.584,FPC-165,27.584,FPC-165,19.56,80712,20.215,81204,21.148,87369,28.184,FPC-493,24.736,FPC-607,19.122,85523,21.754,81727,21.87,85368,24.121,80596,29.029,85379,29.58,DSNY-BRS-1262,23.116,81735,22.034,85521,29.515,83686,31.225,82798,54.842,85350,29.027,82212,32.029,85544,37.985,87007,27.636,85547,27.515,87247,25.85,85088,26.074,80493,27.192,81418,31.515,84055
36061017000,Manhattan,MN1101,-73.94214663792755,40.79090261355184,POINT (-73.94214663344185 40.79090261009918),POINT (-73.94214663792755 40.79090261355184),2.715,FPC-493,5.287,85379,11.419,FPC-607,12.783,80861,17.228,DSNY-BRS-1262,20.866,83686,18.666,80596,23.898,80474,23.898,80474,23.898,84451,23.898,84451,45.918,85350,22.793,83311,24.812,82212,20.795,FPC-531,27.322,80801,25.005,81418,27.698,FPC-77,24.929,81727,29.547,85088,29.172,85508,23.898,85331,18.845,84065,29.012,FPC-584,25.897,80712,22.805,80006,22.303,85530,29.104,81249,30.626,87007,27.494,81659,32.898,DSNY-BRS-1173,35.194,81612,28.256,80846,24.395,FPC-418,28.623,85518,32.192,85483,26.47,82750,33.981,85473,30.568,85358,32.079,FPC-530,40.195,80971,33.57,80517,29.795,DSNY-BRS-1459,25.676,81199,34.403,85367,34.694,81071,31.458,FPC-532,24.658,80739,24.658,80739,24.658,FPC-165
36061017100,Manhattan,MN0702,-73.97927658993291,40.78782510953551,POINT (-73.97927655433759 40.787825109848626),POINT (-73.97927658993291 40.78782510953551),2.717,80846,4.446,81659,6.07,81249,11.205,DSNY-BRS-1459,16.662,80517,15.378,FPC-77,16.624,85548,24.211,85369,20.682,83311,15.655,FPC-584,19.775,80801,28.43,85530,21.852,FPC-531,15.699,DSNY-BRS-1461,17.5,80712,20.415,80474,20.415,84451,20.415,84451,20.415,80474,22.825,81204,31.288,84065,28.326,81199,24.897,80861,29.11,80739,29.11,80739,29.11,FPC-165,29.11,FPC-165,24.109,87369,17.866,85523,22.29,85368,22.639,81727,23.068,80596,24.191,81735,27.697,FPC-607,23.281,85521,31.145,FPC-493,31.99,85379,30.238,DSNY-BRS-1262,30.106,82798,27.047,85547,28.259,83686,30.773,85544,26.259,87247,27.771,82212,24.818,80493,28.811,85088,57.264,85350,25.936,81418,30.259,84055,40.946,87007
36061017200,Manhattan,MN1101,-73.94513296282346,40.79382483768558,POINT (-73.94513298886952 40.793824819441575),POINT (-73.94513296282346 40.79382483768558),6.919,80861,6.008,FPC-493,5.211,FPC-607,8.773,85379,11.02,DSNY-BRS-1262,17.69,84451,17.69,84451,17.69,80474,17.69,80474,12.458,80596,14.658,83686,18.178,83311,18.604,82212,22.707,80801,23.083,FPC-77,18.721,81727,18.797,81418,16.059,FPC-531,40.442,85350,23.339,85088,22.804,FPC-584,19.689,80712,22.964,85508,17.69,85331,23.956,84065,16.597,80006,28.066,81249,26.69,DSNY-BRS-1173,26.456,81659,16.926,85530,27.218,80846,28.986,81612,18.187,FPC-418,27.773,85473,22.415,85518,34.497,87007,24.36,85358,20.262,82750,25.794,DSNY-BRS-1459,25.871,FPC-530,31.435,80517,32.825,85483,28.486,81071,21.22,81199,25.25,FPC-532,30.482,85548,19.281,80739,19.281,80739,37.776,80971,31.826,85367
36061017300,Manhattan,MN0702,-73.97123676556016,40.78777077289854,POINT (-73.97123674342848 40.78777077213136),POINT (-73.97123676556016 40.78777077289854),5.805,81249,6.354,81659,7.116,80846,15.319,FPC-77,13.272,DSNY-BRS-1459,13.411,80517,17.128,83311,19.166,FPC-531,20.463,80801,17.619,FPC-584,25.76,85530,16.692,85548,16.861,84451,16.861,84451,16.861,80474,16.861,80474,21.99,80861,25.41,85369,28.602,84065,19.515,80712,16.91,DSNY-BRS-1461,25.404,81199,27.05,80739,27.05,80739,27.05,FPC-165,27.05,FPC-165,21.161,81727,25.011,FPC-607,28.459,FPC-493,23.528,80596,29.304,85379,19.622,81204,29.496,DSNY-BRS-1262,20.555,87369,29.025,83686,19.077,85523,21.277,85368,28.982,82212,54.249,85350,22.523,81735,25.257,85088,21.441,85521,27.147,81418,37.392,87007,30.632,82798,24.86,DSNY-BRS-1173,31.953,85544,31.314,85508,27.47,87247,27.043,85547
36061017401,Manhattan,MN1101,-73.94857461985414,40.79488610383326,POINT (-73.94857462017373 40.79488609958163),POINT (-73.94857461985414 40.79488610383326),2.918,80861,9.308,FPC-607,10.127,FPC-493,12.633,85379,17.752,84451,17.752,80474,17.752,80474,17.752,84451,11.059,DSNY-BRS-1262,14.109,83311,16.555,80596,14.711,83686,18.638,80801,19.014,FPC-77,18.447,82212,22.818,81727,20.615,FPC-584,20.156,FPC-531,22.633,80712,19.726,81418,23.726,85088,22.032,85508,44.539,85350,24.464,81249,24.541,81659,21.787,85331,26.897,84065,24.055,80846,27.666,DSNY-BRS-1173,21.023,85530,20.694,80006,28.714,81612,28.124,85473,24.711,85358,21.725,DSNY-BRS-1459,27.366,80517,22.284,FPC-418,38.594,87007,26.512,85518,24.359,82750,28.837,81071,29.968,FPC-530,36.922,85483,25.317,81199,27.498,85548,23.378,80739,23.378,80739,23.378,FPC-165,23.378,FPC-165,29.347,FPC-532
36061017402,Manhattan,MN1101,-73.94715935571905,40.796800616688856,POINT (-73.94715934763163 40.79680061738893),POINT (-73.94715935571905 40.79680061668886),3.819,80861,7.972,FPC-607,11.185,FPC-493,9.223,DSNY-BRS-1262,14.162,85379,15.916,80474,15.916,80474,15.916,84451,15.916,84451,15.019,80596,13.364,83311,12.875,83686,16.611,82212,17.893,80801,21.813,81727,18.269,FPC-77,17.887,81418,21.887,85088,19.87,FPC-584,21.888,80712,20.196,85508,19.151,FPC-531,20.782,85331,43.534,85350,26.921,DSNY-BRS-1173,22.625,81249,19.689,80006,26.875,81612,22.702,81659,22.216,80846,27.048,84065,27.379,85473,20.018,85530,23.966,85358,21.279,FPC-418,25.507,85518,23.354,82750,28.092,81071,19.886,DSNY-BRS-1459,28.963,FPC-530,25.527,80517,37.589,87007,35.917,85483,28.342,FPC-532,24.312,81199,26.753,85548,30.37,85176,32.296,85536,22.373,80739,22.373,80739
36061017500,Manhattan,MN0702,-73.97752106313932,40.79040831145807,POINT (-73.97752102589787 40.79040831288255),POINT (-73.97752106313932 40.79040831145807),1.849,81659,1.916,81249,2.282,80846,11.704,DSNY-BRS-1459,16.305,80517,15.021,FPC-77,20.476,83311,14.229,FPC-584,19.418,80801,16.267,85548,24.006,85369,21.659,FPC-531,28.073,85530,16.074,80712,20.222,84451,20.222,84451,20.222,80474,20.222,80474,24.54,80861,15.342,DSNY-BRS-1461,31.095,84065,22.468,81204,22.282,81727,27.969,81199,28.753,80739,28.753,80739,28.753,FPC-165,28.753,FPC-165,23.916,87369,22.711,80596,27.428,FPC-607,17.509,85523,30.952,FPC-493,21.933,85368,31.797,85379,29.881,DSNY-BRS-1262,27.902,83686,23.834,81735,22.924,85521,27.414,82212,28.618,85088,29.749,82798,25.579,81418,23.758,DSNY-BRS-1173,26.69,85547,30.416,85544,56.907,85350,25.902,87247,24.461,80493,29.746,85508
36061017700,Manhattan,MN0702,-73.9693888301059,40.79030792356537,POINT (-73.96938880783023 40.79030792293496),POINT (-73.9693888301059 40.79030792356537),9.805,81249,10.602,81659,11.364,80846,13.807,FPC-77,17.5,83311,18.951,80801,17.363,DSNY-BRS-1459,18.197,FPC-584,16.385,80517,22.392,FPC-531,18.44,84451,18.44,84451,18.44,80474,18.44,80474,23.569,80861,28.706,85530,20.093,80712,20.67,85548,31.608,84065,22.74,81727,29.288,85369,21.991,FPC-607,21.996,80596,25.439,FPC-493,26.65,85379,27.8,DSNY-BRS-1262,21.158,DSNY-BRS-1461,29.382,81199,31.028,80739,31.028,80739,31.028,FPC-165,31.028,FPC-165,27.187,83686,26.699,82212,23.6,81204,26.836,85088,24.533,87369,24.864,81418,57.222,85350,20.668,85523,25.092,85368,25.904,DSNY-BRS-1173,29.031,85508,41.37,87007,26.493,81735,25.419,85521,32.908,82798,26.897,85473,32.289,81612,33.575,85544
36061018000,Manhattan,MN1102,-73.93959541464999,40.79440196474435,POINT (-73.93959541659348 40.794401955849914),POINT (-73.93959541464999 40.79440196474435),3.03,FPC-493,6.004,85379,7.579,FPC-607,15.201,DSNY-BRS-1262,13.952,80861,19.411,83686,17.211,80596,23.357,82212,21.483,84451,21.483,80474,21.483,84451,21.483,80474,23.55,81418,23.498,83311,44.541,85350,28.092,85088,22.443,85331,27.717,85508,28.027,80801,23.474,81727,21.35,80006,28.403,FPC-77,20.812,FPC-531,24.442,80712,27.557,FPC-584,22.94,FPC-418,33.739,81612,27.168,85518,31.443,DSNY-BRS-1173,23.354,84065,25.015,82750,32.526,85473,30.624,FPC-530,21.679,85530,29.113,85358,32.578,81249,35.135,87007,31.209,81659,31.971,80846,33.239,81071,30.003,FPC-532,36.701,85483,32.031,85176,42.529,80971,27.209,85027,29.839,DSNY-BRS-1459,35.48,80517,36.579,85367,25.973,81199,34.157,84319
36061018100,Manhattan,MN0702,-73.96774569584117,40.7925552215666,POINT (-73.96774566882289 40.79255522382589),POINT (-73.96774569584117 40.7925552215666),9.931,FPC-77,12.179,81249,13.307,81659,12.821,80846,14.55,83311,15.075,80801,15.461,FPC-584,14.283,84451,14.283,80474,14.283,80474,14.283,84451,19.412,80861,14.627,DSNY-BRS-1459,23.073,FPC-531,17.357,80712,18.946,80517,24.549,85530,18.583,81727,19.26,80596,17.834,FPC-607,21.282,FPC-493,17.115,85548,27.451,84065,23.643,DSNY-BRS-1262,22.493,85379,25.833,85369,24.451,83686,23.963,82212,25.827,81199,18.765,DSNY-BRS-1461,22.679,85088,26.904,80739,26.904,80739,26.904,FPC-165,26.904,FPC-165,22.128,81418,22.282,DSNY-BRS-1173,20.045,81204,53.065,85350,26.295,85508,20.978,87369,17.932,85523,21.7,85368,37.815,87007,22.74,85473,28.132,81612,19.327,85358,28.665,85331,22.946,81735,21.864,85521
36061018400,Manhattan,MN1102,-73.94506538133845,40.79968518169961,POINT (-73.94506540621309 40.79968516401629),POINT (-73.94506538133845 40.79968518169961),4.965,FPC-607,6.639,DSNY-BRS-1262,7.664,80861,14.286,FPC-493,12.861,80596,10.291,83686,17.263,85379,11.033,80474,11.033,84451,11.033,80474,11.033,84451,14.027,82212,16.199,83311,19.124,81727,16.047,81418,22.669,80801,19.945,85088,17.612,85508,20.072,FPC-77,20.092,80712,23.207,FPC-584,18.093,85331,25.304,DSNY-BRS-1173,17.0,80006,25.118,81612,19.337,FPC-531,40.845,85350,25.762,85473,22.349,85358,18.59,FPC-418,23.38,81249,23.457,81659,22.818,85518,20.665,82750,22.971,80846,26.475,81071,27.234,84065,26.274,FPC-530,20.204,85530,25.653,FPC-532,27.681,85176,20.641,DSNY-BRS-1459,37.261,87007,26.282,80517,30.679,85536,30.887,87090,35.589,85483,22.859,85027,30.951,85056,29.807,84319
36061018600,Manhattan,MN1001,-73.94970712606082,40.79910225841285,POINT (-73.94970713206081 40.799102250781786),POINT (-73.94970712606082 40.79910225841285),5.495,80861,12.183,80474,12.183,80474,12.183,84451,12.183,84451,10.769,FPC-607,12.02,80596,12.004,DSNY-BRS-1262,12.913,83311,16.128,FPC-493,15.656,83686,17.442,80801,19.105,85379,16.723,82212,19.94,81727,17.818,FPC-77,19.419,FPC-584,20.908,80712,14.888,81418,18.888,85088,19.055,85508,24.151,FPC-531,26.454,DSNY-BRS-1173,21.497,85331,19.626,81249,19.703,81659,23.876,81612,19.217,80846,47.536,85350,21.839,80006,26.912,85473,23.499,85358,32.048,84065,25.018,85530,27.625,81071,19.159,FPC-418,16.887,DSNY-BRS-1459,23.387,85518,21.234,82750,22.528,80517,26.843,FPC-530,42.589,87007,25.065,85548,31.829,85536,29.489,85176,26.222,FPC-532,29.312,81199,40.52,85483,36.656,87090,27.373,80739
36061018700,Manhattan,MN0703,-73.97200788311616,40.79809132488262,POINT (-73.97200784280544 40.798091326752164),POINT (-73.97200788311616 40.79809132488262),8.604,FPC-77,11.873,81249,14.697,81659,9.602,FPC-584,14.614,80846,13.758,80801,13.813,83311,11.447,80712,18.889,80474,18.889,84451,18.889,84451,18.889,80474,16.42,DSNY-BRS-1459,22.882,80861,20.256,81727,21.521,80517,29.653,FPC-531,21.053,80596,25.77,FPC-607,21.483,85548,33.289,85530,28.223,DSNY-BRS-1262,31.528,FPC-493,29.222,85369,26.244,83686,25.756,82212,32.739,85379,37.697,84065,27.921,85088,21.732,DSNY-BRS-1173,23.921,81418,20.558,DSNY-BRS-1461,28.088,85508,32.908,81199,30.969,80739,30.969,80739,30.969,FPC-165,30.969,FPC-165,25.923,81204,25.201,85473,31.023,81612,26.376,87369,24.863,85358,57.749,85350,19.725,85523,24.149,85368,23.598,81071,30.458,85331,25.55,81735,24.64,85521
