GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061012901,Manhattan,MN0402,-73.998070867067,40.762413367152206,POINT (-73.99807081494976 40.7624133677266),POINT (-73.998070867067 40.76241336715221),7.956,87369,14.392,82022,16.409,DSNY-BRS-1461,18.751,Plentiful-1388,23.456,87247,18.786,83543,18.931,FPC-75,22.585,80749,24.93,81199,23.993,80520,30.623,81685,34.085,85291,29.929,DSNY-BRS-1104,31.752,83311,32.144,85483,38.066,FPC-493,52.389,85350,37.863,85379,30.18,FPC-714,32.954,85156,39.078,80204,38.041,80745,41.099,85069,47.978,85351,35.657,85358,43.384,81061,36.6,81071,49.384,FPC-659,49.222,FPC-634,43.332,83382,44.0,85353,52.551,80338,45.924,FPC-530,41.71,85355,41.476,85435,42.551,83993,41.147,81608,45.308,FPC-663,49.314,83918,45.562,84319,58.358,84946,55.353,FPC-683,55.435,FPC-499,48.105,85298,55.647,83907,53.861,85506,52.147,FPC-681,53.861,80296,48.837,85346,57.252,80321
36047017100,Brooklyn,BK0701,-73.9768525404236,40.65696760760042,POINT (-73.97685253757275 40.656967602016714),POINT (-73.97685254042359 40.65696760760042),15.588,FPC-634,16.964,85322,25.379,83444,20.152,80296,20.152,85506,31.355,85069,27.984,80204,29.996,84946,29.75,85257,34.335,85289,36.46,85351,37.16,FPC-485,40.717,80321,37.253,83993,33.969,FPC-717,43.142,FPC-659,40.955,DSNY-BRS-2115,42.323,80338,49.078,83907,45.168,81721,35.806,85291,45.91,85148,43.539,85346,40.571,81685,40.223,80520,50.553,85491,35.156,80749,58.266,FPC-681,39.275,87247,58.431,FPC-499,59.296,FPC-683,40.856,Plentiful-1388,53.141,FPC-432,52.996,85237,59.465,87224,59.465,85325,49.825,81199,47.419,87369,55.297,85483,46.604,DSNY-BRS-1461,53.329,85356,60.393,83656,53.575,82022,52.162,83543,60.958,85243,48.406,FPC-75,51.023,DSNY-BRS-1104,73.691,85350,66.203,83697,69.193,84936
36047050202,Brooklyn,BK0701,-73.97527849983491,40.65352417467375,POINT (-73.97527850022993 40.65352416979534),POINT (-73.97527849983491 40.65352417467375),14.645,85322,17.752,FPC-634,23.06,83444,17.833,80296,17.833,85506,27.677,84946,32.59,85069,29.438,80204,27.431,85257,36.076,85289,34.841,FPC-485,31.65,FPC-717,38.398,80321,38.551,83993,37.758,85351,38.636,DSNY-BRS-2115,44.44,FPC-659,43.621,80338,46.759,83907,42.849,81721,43.591,85148,37.059,85291,44.837,85346,41.824,81685,48.234,85491,37.904,80520,32.837,80749,59.552,FPC-681,36.956,87247,59.729,FPC-499,60.594,FPC-683,54.439,FPC-432,38.537,Plentiful-1388,50.956,85237,57.146,87224,57.146,85325,47.506,81199,45.1,87369,56.595,85483,44.285,DSNY-BRS-1461,55.489,85356,62.553,83656,51.256,82022,62.256,85243,49.843,83543,46.087,FPC-75,74.944,85350,48.704,DSNY-BRS-1104,67.456,83697,70.491,84936
36047050001,Brooklyn,BK0701,-73.97781344214302,40.64901130814283,POINT (-73.97781344869844 40.64901130690043),POINT (-73.97781344214302 40.64901130814283),16.327,85322,23.365,83444,20.08,FPC-634,19.352,80296,19.352,85506,27.989,84946,29.86,85069,29.596,80204,29.113,85257,29.708,85289,36.523,FPC-485,33.332,FPC-717,38.239,80321,38.709,83993,37.916,85351,40.155,DSNY-BRS-2115,43.525,81721,43.234,FPC-659,44.029,83907,42.01,80338,45.11,85148,37.217,85291,44.995,85346,41.982,81685,49.753,85491,36.652,80520,31.585,80749,59.722,FPC-681,35.704,87247,59.437,FPC-499,59.305,FPC-683,54.597,FPC-432,58.665,87224,58.665,85325,37.285,Plentiful-1388,52.475,85237,50.341,85356,46.254,81199,43.848,87369,57.405,83656,56.753,85483,43.033,DSNY-BRS-1461,50.004,82022,62.414,85243,48.591,83543,44.835,FPC-75,74.093,85350,47.452,DSNY-BRS-1104,66.605,83697,70.649,84936
36047150200,Brooklyn,BK0701,-73.98126958003999,40.654633094569434,POINT (-73.98126936949792 40.65463301621958),POINT (-73.98126958003999 40.65463309456943),14.7,FPC-634,18.741,85322,28.717,83444,23.49,80296,23.49,85506,25.491,80204,25.394,85069,33.334,84946,33.308,85289,34.833,85257,40.967,FPC-485,39.37,FPC-717,41.185,85351,39.277,80321,40.628,83993,44.293,DSNY-BRS-2115,43.447,FPC-659,42.223,80338,47.328,83907,41.44,85291,48.877,81721,45.112,85148,46.205,81685,46.102,85346,41.579,80520,36.512,80749,47.096,85491,40.631,87247,61.767,FPC-681,42.212,Plentiful-1388,59.65,FPC-499,59.568,FPC-683,56.295,FPC-432,52.892,85237,61.036,87224,61.036,85325,48.775,87369,53.941,85356,51.181,81199,47.96,DSNY-BRS-1461,61.005,83656,60.976,85483,54.931,82022,53.518,83543,49.762,FPC-75,66.088,85243,52.379,DSNY-BRS-1104,79.02,85350,71.532,83697,72.828,84936
36081056400,Queens,QN1303,-73.73339243802558,40.72154990649258,POINT (-73.73339246776203 40.72154990430755),POINT (-73.73339243802558 40.72154990649258),14.429,84720,47.34,85251,48.225,84258,44.999,84132,65.241,84182,52.322,84936,53.48,85243,49.104,83697,71.871,85237,66.918,FPC-432,88.663,87224,88.663,85325,70.315,FPC-499,70.345,FPC-683,71.824,FPC-681,71.037,85491,73.121,84225,68.152,85346,74.453,85148,87.773,85455,74.944,83907,89.338,83469,71.864,80338,86.862,FPC-663,85.252,85355,73.252,FPC-659,81.419,80321,76.541,83993,81.313,84319,78.593,84788,83.979,85298,93.981,85177,95.848,FPC-674,80.434,82851,95.627,DSNY-BRS-2115,63.173,85483,78.131,85350,88.228,81061,91.353,Plentiful-113,81.179,84259,91.502,FPC-530,91.087,83678,87.667,80121,87.667,83550,96.542,85480,91.128,83918,90.142,85353,102.554,81721,94.756,85327,78.345,85351
36061023900,Manhattan,MN1201,-73.94106310483,40.83233735761503,POINT (-73.94106310983568 40.83233735139942),POINT (-73.94106310482999 40.83233735761503),2.345,85358,3.156,81071,13.926,83382,11.731,80745,12.401,81608,19.9,85435,18.473,FPC-714,22.331,85353,22.305,FPC-530,22.908,85156,30.083,81061,25.264,83918,21.434,85357,28.153,85355,23.745,84319,25.151,85298,21.222,83311,24.912,FPC-663,18.267,84349,32.31,FPC-493,33.622,85379,22.114,80581,29.134,84259,32.233,82851,36.495,84788,30.375,DSNY-BRS-1104,52.926,85350,32.716,83550,32.716,80121,38.888,84225,26.869,FPC-75,29.486,83543,36.402,Plentiful-113,35.448,85480,33.514,82022,47.365,85483,36.177,81199,30.407,DSNY-BRS-1461,33.267,87369,37.035,Plentiful-1388,46.943,83678,40.561,87247,51.195,85177,49.048,85455,39.99,80749,47.477,85327,47.435,81685,43.765,80520,57.043,83697,55.048,FPC-674
36061024500,Manhattan,MN1201,-73.94209531325217,40.83662494847106,POINT (-73.94209530978917 40.83662492286001),POINT (-73.94209531325217 40.83662494847106),6.243,81071,9.285,85358,18.244,83382,11.963,81608,16.736,80745,24.218,85435,26.589,85353,20.232,FPC-714,26.623,FPC-530,28.128,83918,24.667,85156,20.303,85357,32.885,81061,17.136,84349,27.837,84319,29.243,85298,20.983,80581,33.158,85355,29.23,FPC-663,22.981,83311,30.812,84259,34.069,FPC-493,35.381,85379,33.911,82851,38.173,84788,33.178,DSNY-BRS-1104,31.585,83550,31.585,80121,54.685,85350,42.98,84225,35.271,Plentiful-113,26.717,FPC-75,30.945,83543,37.445,85480,34.453,82022,51.683,85483,40.495,81199,30.349,DSNY-BRS-1461,33.206,87369,45.812,83678,50.68,85177,36.883,Plentiful-1388,40.409,87247,47.917,85455,49.474,85327,39.319,80749,57.045,FPC-674,49.453,81685,43.094,80520,58.802,83697
36047054300,Brooklyn,BK0261,-73.97166074972424,40.70126344752154,POINT (-73.9716607194652 40.70126346721232),POINT (-73.97166074972424 40.70126344752154),22.47,80204,16.935,85069,33.135,85291,23.655,85351,37.9,81685,28.872,FPC-634,25.708,FPC-659,40.71,80520,34.749,80749,30.837,80338,31.433,83993,39.102,87247,39.984,84946,40.683,Plentiful-1388,35.487,85506,35.487,80296,49.462,81199,39.408,80321,39.329,83444,45.056,87369,39.529,83907,46.865,DSNY-BRS-1461,45.17,85322,46.314,85483,36.758,85346,42.116,85257,45.101,85148,51.803,82022,49.445,83543,43.73,FPC-681,43.848,FPC-683,44.315,FPC-499,47.549,FPC-75,42.339,85289,51.921,DSNY-BRS-1104,67.01,85350,47.079,85491,54.457,DSNY-BRS-2115,48.254,FPC-717,47.843,FPC-485,46.951,FPC-432,56.466,81721,59.027,85379,61.824,FPC-493,48.643,85237,59.011,83311,48.557,83697,61.167,85325,61.167,87224,57.795,85156
36047054500,Brooklyn,BK0103,-73.96528927245697,40.70523694253829,POINT (-73.96528926114095 40.70523693453503),POINT (-73.96528927245697 40.70523694253829),20.319,85069,22.542,85351,25.854,80204,29.41,81685,24.674,85291,21.534,FPC-659,32.256,FPC-634,25.877,80338,32.401,80520,31.247,83993,29.162,80749,34.842,87247,36.547,84946,35.83,Plentiful-1388,41.288,81199,34.314,85506,34.314,80296,37.082,85483,36.641,83907,41.149,80321,43.156,87369,42.341,DSNY-BRS-1461,34.165,85346,42.713,83444,41.141,85148,48.554,85322,38.312,FPC-681,37.777,FPC-683,38.244,FPC-499,47.67,82022,41.342,85257,47.899,83543,46.215,FPC-75,43.279,DSNY-BRS-1104,57.778,85350,41.05,85491,53.627,DSNY-BRS-2115,45.546,85289,47.887,FPC-717,42.931,FPC-432,47.476,FPC-485,53.098,85379,53.268,FPC-493,44.977,85237,58.327,83311,57.114,81721,47.137,83697,52.339,85156,43.493,85243,58.676,85325
