GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26
36005001600,Bronx,BX0902,-73.85807620328994,40.81884774335772,POINT (-73.85807621372632 40.81884770739297),POINT (-73.85807620328994 40.81884774335772),21.114,87064,59.377,FPC-599,36.971,FPC-624,47.237,81612,73.979,85024,50.062,81199,87.535,84980,53.968,85523,57.817,85521,94.411,84801,61.442,87247,96.221,83351,93.664,83514,82.682,84758,73.417,85434,77.035,FPC-488,93.685,82186,80.378,85495,62.648,85517,93.999,85322,75.409,FPC-457,92.939,84948,85.391,FPC-710,85.391,FPC-710,85.391,81559,85.391,81559,95.417,83916
36005001904,Bronx,BX0291,-73.8983698120025,40.799576436871135,POINT (-73.89836979743558 40.79957638564919),POINT (-73.8983698120025 40.79957643687113),4294967.295,FPC-624,4294967.295,87064,4294967.295,81612,4294967.295,FPC-599,4294967.295,85024,4294967.295,81199,4294967.295,85523,4294967.295,85521,4294967.295,87247,4294967.295,85434,4294967.295,84758,4294967.295,FPC-488,4294967.295,84801,4294967.295,83514,4294967.295,82186,4294967.295,85495,4294967.295,85517,4294967.295,84980,4294967.295,83351,4294967.295,85322,4294967.295,FPC-457,4294967.295,84948,4294967.295,FPC-710,4294967.295,FPC-710,4294967.295,81559,4294967.295,81559,4294967.295,83916
36005002002,Bronx,BX0902,-73.8644246835683,40.81763705891425,POINT (-73.86442463999587 40.817637026356415),POINT (-73.8644246835683 40.81763705891425),17.504,87064,64.81,FPC-599,33.297,FPC-624,43.563,81612,71.781,85024,46.388,81199,50.294,85523,54.143,85521,90.737,84801,57.768,87247,88.252,84980,69.743,85434,79.008,84758,95.391,83351,89.99,83514,73.361,FPC-488,90.011,82186,76.704,85495,58.974,85517,90.325,85322,71.735,FPC-457,89.265,84948,81.717,FPC-710,81.717,FPC-710,81.717,81559,81.717,81559,91.743,83916
36005002300,Bronx,BX0101,-73.9258456390051,40.80908394384018,POINT (-73.92584562421652 40.80908394457968),POINT (-73.9258456390051 40.80908394384018),11.937,FPC-624,24.655,81612,26.668,87064,25.028,81199,29.61,85523,50.421,85024,32.783,85521,50.814,FPC-599,36.408,87247,48.383,85434,52.001,FPC-488,57.648,84758,37.614,85517,69.377,84801,55.344,85495,68.651,82186,68.63,83514,68.965,85322,74.031,83351,66.892,84980,50.375,FPC-457,67.905,84948,60.357,FPC-710,60.357,FPC-710,60.357,81559,60.357,81559,70.383,83916
36005002500,Bronx,BX0101,-73.92088009260115,40.80700185741095,POINT (-73.9208800684209 40.80700186133409),POINT (-73.92088009260115 40.80700185741095),13.948,FPC-624,27.879,81612,25.664,87064,27.039,81199,52.432,85024,52.825,FPC-599,31.621,85523,34.794,85521,38.419,87247,50.394,85434,59.659,84758,54.012,FPC-488,39.625,85517,71.388,84801,57.355,85495,70.641,83514,70.662,82186,70.976,85322,76.042,83351,68.903,84980,52.386,FPC-457,69.916,84948,62.368,FPC-710,62.368,FPC-710,62.368,81559,62.368,81559,72.394,83916
36005002701,Bronx,BX0101,-73.91636065593417,40.80507501443473,POINT (-73.91636064464961 40.805075013434745),POINT (-73.91636065593417 40.80507501443473),15.713,FPC-624,30.419,81612,25.414,87064,28.804,81199,54.197,85024,54.59,FPC-599,33.386,85523,36.559,85521,40.184,87247,52.159,85434,61.424,84758,55.777,FPC-488,73.153,84801,41.39,85517,59.12,85495,72.406,83514,72.427,82186,77.807,83351,70.668,84980,72.741,85322,54.151,FPC-457,71.681,84948,64.133,FPC-710,64.133,FPC-710,64.133,81559,64.133,81559,74.159,83916
36005002702,Bronx,BX0101,-73.91377744202003,40.80644775170116,POINT (-73.9137774169125 40.80644775320156),POINT (-73.91377744202003 40.80644775170116),14.208,FPC-624,28.914,81612,23.909,87064,27.299,81199,52.692,85024,53.085,FPC-599,31.881,85523,35.054,85521,38.679,87247,50.654,85434,59.919,84758,54.272,FPC-488,71.648,84801,39.885,85517,57.615,85495,70.901,83514,70.922,82186,69.163,84980,76.302,83351,71.236,85322,52.646,FPC-457,70.176,84948,62.628,FPC-710,62.628,FPC-710,62.628,81559,62.628,81559,72.654,83916
36005003800,Bronx,BX0902,-73.86334353711989,40.82029440755481,POINT (-73.86334353342896 40.82029440654612),POINT (-73.86334353711989 40.82029440755481),17.61,87064,61.658,FPC-599,32.133,FPC-624,42.399,81612,70.617,85024,45.224,81199,49.13,85523,52.979,85521,89.573,84801,87.088,84980,56.604,87247,68.579,85434,77.844,84758,94.227,83351,88.826,83514,72.197,FPC-488,88.847,82186,75.54,85495,57.81,85517,89.161,85322,70.571,FPC-457,88.101,84948,80.553,FPC-710,80.553,FPC-710,80.553,81559,80.553,81559,90.579,83916
36005003900,Bronx,BX0101,-73.92142280731761,40.80971888006989,POINT (-73.92142272207484 40.809718892761566),POINT (-73.92142280731761 40.80971888006989),13.653,FPC-624,24.863,81612,28.889,87064,27.645,81199,52.512,85024,51.787,FPC-599,31.701,85523,35.771,85521,39.396,87247,50.474,85434,59.739,84758,54.092,FPC-488,39.705,85517,71.468,84801,57.435,85495,70.721,83514,70.742,82186,71.056,85322,76.122,83351,68.983,84980,52.466,FPC-457,69.996,84948,62.448,FPC-710,62.448,FPC-710,62.448,81559,62.448,81559,72.474,83916
36005004001,Bronx,BX0903,-73.85833530560765,40.82827202597978,POINT (-73.85833530460701 40.82827201948739),POINT (-73.85833530560765 40.82827202597978),17.183,87064,52.787,FPC-599,48.955,81612,36.318,FPC-624,67.389,85024,49.409,81199,53.991,85523,57.164,85521,80.945,84980,93.758,84801,60.789,87247,89.631,83351,72.764,85434,82.029,84758,93.011,83514,76.382,FPC-488,93.032,82186,79.725,85495,61.995,85517,93.346,85322,74.756,FPC-457,92.286,84948,84.738,FPC-710,84.738,FPC-710,84.738,81559,84.738,81559,94.764,83916
36005004200,Bronx,BX0902,-73.86202202135205,40.823925180506954,POINT (-73.86202205631956 40.82392521116948),POINT (-73.86202202135205 40.82392518050695),18.594,87064,56.739,FPC-599,41.831,81612,31.565,FPC-624,70.049,85024,44.656,81199,48.562,85523,52.411,85521,84.897,84980,56.036,87247,89.005,84801,68.011,85434,93.583,83351,77.276,84758,88.258,83514,71.629,FPC-488,88.279,82186,74.972,85495,57.242,85517,88.593,85322,70.003,FPC-457,87.533,84948,79.985,FPC-710,79.985,FPC-710,79.985,81559,79.985,81559,90.011,83916
36005004400,Bronx,BX0901,-73.8664397181568,40.82651202511201,POINT (-73.86643976488725 40.82651207291723),POINT (-73.8664397181568 40.82651202511201),12.584,87064,41.623,81612,28.746,FPC-624,59.372,FPC-599,67.23,85024,41.837,81199,46.419,85523,49.592,85521,53.217,87247,86.186,84801,83.701,84980,65.192,85434,74.457,84758,90.84,83351,85.439,83514,68.81,FPC-488,85.46,82186,72.153,85495,54.423,85517,85.774,85322,67.184,FPC-457,84.714,84948,77.166,FPC-710,77.166,FPC-710,77.166,81559,77.166,81559,87.192,83916
36005004600,Bronx,BX0902,-73.86917646973922,40.822409442751,POINT (-73.8691764498982 40.82240943021951),POINT (-73.86917646973922 40.822409442751),16.949,87064,37.384,81612,27.118,FPC-624,63.069,FPC-599,65.602,85024,40.209,81199,44.115,85523,47.964,85521,51.589,87247,84.558,84801,82.073,84980,63.564,85434,72.829,84758,83.811,83514,67.182,FPC-488,89.212,83351,83.832,82186,70.525,85495,52.795,85517,84.146,85322,65.556,FPC-457,83.086,84948,75.538,FPC-710,75.538,FPC-710,75.538,81559,75.538,81559,85.564,83916
36005004800,Bronx,BX0901,-73.87432519158139,40.82701452478797,POINT (-73.8743251849851 40.82701449736175),POINT (-73.87432519158139 40.82701452478797),10.017,87064,40.103,81612,26.179,FPC-624,57.323,FPC-599,64.663,85024,39.27,81199,43.852,85523,47.025,85521,50.65,87247,62.625,85434,83.619,84801,71.89,84758,81.134,84980,66.243,FPC-488,82.872,83514,88.273,83351,82.893,82186,69.586,85495,51.856,85517,83.207,85322,64.617,FPC-457,82.147,84948,74.599,FPC-710,74.599,FPC-710,74.599,81559,74.599,81559,84.625,83916
36005005001,Bronx,BX0901,-73.87785355515997,40.82499720893098,POINT (-73.87785355680127 40.8249972113608),POINT (-73.87785355515997 40.82499720893098),14.76,87064,41.327,81612,28.318,FPC-624,60.962,FPC-599,66.802,85024,41.409,81199,45.991,85523,49.164,85521,52.789,87247,64.764,85434,85.758,84801,74.029,84758,68.382,FPC-488,83.273,84980,85.011,83514,90.412,83351,85.032,82186,71.725,85495,53.995,85517,85.346,85322,66.756,FPC-457,84.286,84948,76.738,FPC-710,76.738,FPC-710,76.738,81559,76.738,81559,86.764,83916
36005005002,Bronx,BX0901,-73.87843468040148,40.827363093120226,POINT (-73.87843467967292 40.82736309382315),POINT (-73.87843468040148 40.82736309312023),9.775,87064,37.184,81612,23.26,FPC-624,55.904,FPC-599,61.744,85024,36.351,81199,40.933,85523,44.106,85521,47.731,87247,59.706,85434,80.7,84801,68.971,84758,63.324,FPC-488,78.215,84980,79.953,83514,85.354,83351,79.974,82186,66.667,85495,48.937,85517,80.288,85322,61.698,FPC-457,79.228,84948,71.68,FPC-710,71.68,FPC-710,71.68,81559,71.68,81559,81.706,83916
36005005400,Bronx,BX0901,-73.87974306553014,40.82990742612486,POINT (-73.87974307750048 40.82990743984117),POINT (-73.87974306553014 40.82990742612486),8.096,87064,38.926,81612,25.002,FPC-624,57.646,FPC-599,63.486,85024,38.093,81199,42.675,85523,45.848,85521,49.473,87247,61.448,85434,82.442,84801,70.713,84758,65.066,FPC-488,79.957,84980,81.695,83514,87.096,83351,81.716,82186,68.409,85495,50.679,85517,82.03,85322,63.44,FPC-457,80.97,84948,73.422,FPC-710,73.422,FPC-710,73.422,81559,73.422,81559,83.448,83916
36005006302,Bronx,BX0491,-73.9263919040918,40.82997893765991,POINT (-73.9263920374602 40.829978864556885),POINT (-73.9263919040918 40.82997893765991),14.612,81612,20.713,FPC-624,34.781,87064,30.55,81199,32.985,85523,32.18,85521,55.417,85024,56.118,FPC-599,40.474,87247,52.115,85434,56.997,FPC-488,62.644,84758,42.61,85517,74.373,84801,60.34,85495,73.626,83514,73.647,82186,70.898,84980,73.961,85322,78.658,83351,55.371,FPC-457,72.901,84948,65.353,FPC-710,65.353,FPC-710,65.353,81559,65.353,81559,75.379,83916
36005006400,Bronx,BX0901,-73.87219814644948,40.83300038110298,POINT (-73.87219813663211 40.83300034886172),POINT (-73.87219814644948 40.83300038110298),7.229,87064,43.364,81612,29.44,FPC-624,54.834,FPC-599,67.924,85024,42.531,81199,47.113,85523,50.286,85521,53.911,87247,65.886,85434,86.88,84801,82.992,84980,75.151,84758,69.504,FPC-488,86.133,83514,91.534,83351,86.154,82186,72.847,85495,55.117,85517,86.468,85322,67.878,FPC-457,85.408,84948,77.86,FPC-710,77.86,FPC-710,77.86,81559,77.86,81559,87.886,83916
