GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11
36005046205,Bronx,BX1004,-73.82908652049647,40.86892682434552,POINT (-73.82908636630314 40.868926677866725),POINT (-73.82908652049647 40.86892682434552),51.252,85357,66.526,FPC-605,46.065,FPC-624,62.377,FPC-482,89.391,85251,59.693,81199,92.077,83630,105.566,FPC-432,70.123,87247,88.252,85351,106.12,84949,113.271,83916
36081156700,Queens,QN1302,-73.72963241632439,40.74065776219546,POINT (-73.72963275922822 40.740657479203314),POINT (-73.72963241632439 40.74065776219546),45.068,85251,53.308,FPC-605,72.041,FPC-432,70.488,83630,82.217,FPC-624,83.077,85351,104.314,84949,104.494,85357,63.897,81199,86.624,FPC-482,73.844,87247,130.218,83916
36081157101,Queens,QN1302,-73.71955759732637,40.73849564981271,POINT (-73.71955742595466 40.73849545292666),POINT (-73.71955759732637 40.73849564981271),50.033,85251,58.273,FPC-605,73.224,FPC-432,75.453,83630,85.423,FPC-624,84.26,85351,105.497,84949,109.163,85357,68.862,81199,90.846,FPC-482,77.05,87247,133.424,83916
36081157102,Queens,QN1302,-73.72505695117894,40.73502473979316,POINT (-73.72505692761717 40.735024631414355),POINT (-73.72505695117894 40.73502473979316),48.221,85251,58.309,FPC-605,68.083,FPC-432,70.91,83630,80.282,FPC-624,79.119,85351,100.356,84949,104.022,85357,67.273,81199,85.705,FPC-482,71.909,87247,128.283,83916
36005043501,Bronx,BX1201,-73.86644546441606,40.886688011749676,POINT (-73.86644576561824 40.88668772845807),POINT (-73.86644546441606 40.88668801174968),46.754,85357,51.95,FPC-624,80.957,FPC-605,55.375,FPC-482,63.079,81199,66.761,87247,95.463,83630,100.185,85251,91.638,85351,104.922,FPC-432,97.182,84949,114.012,83916
36005045101,Bronx,BX1203,-73.86433661286175,40.897460144645635,POINT (-73.86433661129686 40.8974601431436),POINT (-73.86433661286175 40.89746014464563),42.731,85357,46.743,FPC-624,59.495,FPC-482,82.114,FPC-605,56.316,81199,69.621,87247,88.7,83630,93.422,85251,84.875,85351,102.189,FPC-432,97.832,84949,109.894,83916
36005028400,Bronx,BX1161,-73.83871995686026,40.84947458504397,POINT (-73.83872024092199 40.849474292002284),POINT (-73.83871995686026 40.84947458504397),55.858,85357,71.308,FPC-605,46.325,FPC-624,63.84,FPC-482,93.157,85251,59.325,81199,94.768,83630,108.257,FPC-432,70.705,87247,90.943,85351,103.9,84949,115.962,83916
36081000701,Queens,QN0201,-73.95283615316009,40.74285280046389,POINT (-73.95283613974247 40.7428528043647),POINT (-73.95283615316009 40.74285280046389),18.181,81199,23.268,87247,27.056,85351,28.916,FPC-482,29.274,FPC-624,44.461,83630,28.089,FPC-605,54.617,84949,52.622,FPC-432,50.067,85357,44.643,85251,72.641,83916
36081001901,Queens,QN0201,-73.94509831363011,40.744699338831225,POINT (-73.94509836409006 40.74469933044739),POINT (-73.94509831363011 40.74469933883123),18.489,81199,28.737,87247,27.893,85351,34.385,FPC-482,34.175,FPC-624,45.298,83630,27.551,FPC-605,55.454,84949,53.459,FPC-432,55.536,85357,41.452,85251,78.11,83916
36061012902,Manhattan,MN0402,-73.99592643188866,40.764903863919905,POINT (-73.99592637871106 40.76490386190179),POINT (-73.99592643188866 40.7649038639199),27.782,87247,24.024,81199,28.692,FPC-482,40.217,FPC-624,51.285,85351,56.249,83630,48.449,85357,65.076,84949,42.307,FPC-605,64.49,FPC-432,53.615,85251,79.86,83916
