GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36047017400,Brooklyn,BK1102,-74.01158959067371,40.60374256041075,POINT (-74.0115896207321 40.603742542802046),POINT (-74.01158959067371 40.60374256041075),15.735,84948,31.051,FPC-457,40.02,85322,30.547,FPC-710,30.547,FPC-710,30.547,81559,30.547,81559,50.36,85495,53.615,FPC-488,42.151,85517
36047017500,Brooklyn,BK0771,-73.99023706006155,40.6521372992141,POINT (-73.9902369282991 40.6521372358557),POINT (-73.99023706006155 40.6521372992141),29.517,85322,27.375,FPC-457,38.222,85495,40.207,FPC-488,50.664,84758,38.664,85517,50.34,85434,46.694,84948,58.173,82186,54.457,87247
36047017600,Brooklyn,BK1102,-74.00881275099516,40.60251506246411,POINT (-74.00881277190955 40.602515045720594),POINT (-74.00881275099516 40.60251506246411),13.037,84948,30.327,FPC-457,36.116,85322,47.662,85495,29.823,FPC-710,29.823,FPC-710,29.823,81559,29.823,81559,52.891,FPC-488,60.104,84758
36047017800,Brooklyn,BK1102,-74.00472383339863,40.606968408159254,POINT (-74.00472388926846 40.60696839155031),POINT (-74.00472383339863 40.60696840815925),15.17,84948,30.637,FPC-457,34.325,85322,49.795,85495,30.904,FPC-710,30.904,FPC-710,30.904,81559,30.904,81559,51.124,FPC-488,61.554,84758
36047017900,Brooklyn,BK0203,-73.97132616573512,40.684238786891605,POINT (-73.97132615696403 40.684238780566496),POINT (-73.97132616573512 40.6842387868916),11.868,FPC-488,21.046,85495,18.769,84758,30.331,85434,33.775,85322,22.777,85517,27.151,FPC-457,34.846,87247,35.733,82186,28.634,85521
36047018000,Brooklyn,BK1102,-74.00715143116211,40.60830021453722,POINT (-74.00715147897618 40.60830020060139),POINT (-74.00715143116211 40.60830021453722),18.445,84948,30.785,FPC-457,37.6,85322,52.581,85495,34.179,FPC-710,34.179,FPC-710,34.179,81559,34.179,81559,54.399,FPC-488,64.378,84758
36047018100,Brooklyn,BK0203,-73.97237116498894,40.68776813860479,POINT (-73.97237116057113 40.68776813100601),POINT (-73.97237116498894 40.68776813860479),8.118,FPC-488,24.798,85495,18.864,84758,29.84,85434,22.62,85517,34.431,85322,34.355,87247,30.246,FPC-457,29.49,85521,38.56,82186
36047018200,Brooklyn,BK1101,-74.00268135838402,40.612459734640495,POINT (-74.00268138240766 40.61245971566419),POINT (-74.00268135838402 40.6124597346405),29.758,FPC-457,20.92,84948,33.523,85322,51.461,85495,48.526,FPC-488,33.012,FPC-710,33.012,FPC-710,33.012,81559,33.012,81559,58.956,84758
36047018300,Brooklyn,BK0203,-73.97147811834333,40.6913758130066,POINT (-73.97147810846866 40.691375803037644),POINT (-73.97147811834333 40.6913758130066),11.293,FPC-488,20.956,84758,25.186,85495,30.869,85434,25.901,85517,37.953,85322,35.384,87247,29.416,85521,34.138,FPC-457,32.074,85523
36047018400,Brooklyn,BK1101,-74.00714509867824,40.613701254836386,POINT (-74.00714508018507 40.61370125188457),POINT (-74.00714509867824 40.61370125483639),28.673,FPC-457,21.271,84948,39.457,85322,53.744,85495,32.354,FPC-710,32.354,FPC-710,32.354,81559,32.354,81559,51.664,FPC-488,40.2,85517
