GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36047000700,Brooklyn,BK0201,-73.99730356431114,40.69235131618015,POINT (-73.99730353786597 40.69235132788598),POINT (-73.99730356431114 40.69235131618015),23.416,FPC-626,28.903,84461,27.23,85471,29.078,80491,29.112,82998,28.903,81458,23.56,FPC-488,29.279,87290,34.357,FPC-656,29.381,FPC-559
36047000900,Brooklyn,BK0201,-73.99159270390369,40.69171145454272,POINT (-73.99159270294544 40.69171143467612),POINT (-73.99159270390369 40.69171145454272),16.669,FPC-626,22.156,84461,22.331,80491,19.825,FPC-488,21.872,85471,23.643,82998,22.156,81458,25.126,87290,21.898,FPC-559,29.352,FPC-656
36047001100,Brooklyn,BK0202,-73.98770485686588,40.69328907982121,POINT (-73.98770484423929 40.69328907522257),POINT (-73.98770485686588 40.69328907982121),12.297,FPC-626,17.784,84461,16.768,FPC-488,17.959,80491,19.385,85471,19.271,82998,17.784,81458,20.754,87290,23.661,85250,23.478,FPC-559
36047001501,Brooklyn,BK0202,-73.98247012923333,40.69591164865119,POINT (-73.98247010260225 40.69591163576122),POINT (-73.98247012923333 40.69591164865119),18.212,FPC-626,22.497,FPC-488,23.699,84461,23.874,80491,26.669,87290,29.576,85250,23.699,81458,25.186,82998,25.3,85471,27.708,FPC-559
36047001502,Brooklyn,BK0202,-73.9835959618732,40.69231939992356,POINT (-73.98359595340283 40.69231937681713),POINT (-73.98359596187321 40.69231939992356),17.364,FPC-488,15.107,FPC-626,20.594,84461,20.769,80491,26.471,85250,22.195,85471,23.564,87290,22.081,82998,20.594,81458,30.851,80421
36047001801,Brooklyn,BK0702,-74.00024300950416,40.66465643894645,POINT (-74.00024316528969 40.66465635209024),POINT (-74.00024300950416 40.66465643894645),17.563,FPC-656,14.302,FPC-500,31.405,FPC-640,39.221,85386,29.926,FPC-488,39.075,FPC-632,39.075,Plentiful-1480,40.708,85468,40.708,FPC-631,31.919,FPC-626
36047001802,Brooklyn,BK0702,-74.00971870291603,40.65869943814151,POINT (-74.00971872770594 40.658699433530806),POINT (-74.00971870291603 40.65869943814151),11.736,FPC-656,9.897,FPC-500,35.174,FPC-640,27.543,81586,42.722,85468,38.392,FPC-632,38.392,Plentiful-1480,42.722,FPC-631,38.538,85386,31.927,FPC-488
36047001803,Brooklyn,BK0702,-74.01925498744339,40.65151145764601,POINT (-74.01925512188666 40.6515113984028),POINT (-74.01925498744339 40.65151145764601),12.289,FPC-500,20.405,FPC-656,35.842,81586,43.843,FPC-640,51.021,85468,51.021,FPC-631,46.691,FPC-632,46.691,Plentiful-1480,51.18,85326,46.837,85386
36047001804,Brooklyn,BK0702,-74.02670239887495,40.6437161391347,POINT (-74.0267024063921 40.643716124855615),POINT (-74.02670239887495 40.6437161391347),17.619,FPC-500,23.709,FPC-656,36.292,81586,45.698,85326,45.224,FPC-640,49.279,85468,49.279,FPC-631,48.302,FPC-632,48.302,Plentiful-1480,37.09,84301
36047002000,Brooklyn,BK0702,-74.01596094899232,40.64805589291287,POINT (-74.01596097559334 40.648055883918225),POINT (-74.01596094899232 40.64805589291287),5.107,FPC-500,13.159,FPC-656,28.742,81586,36.597,FPC-640,43.036,85468,43.036,FPC-631,39.591,FPC-632,39.591,Plentiful-1480,39.737,85386,43.716,85326
