GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9
36005034000,Bronx,BX1104,-73.86292338632309,40.8684406032966,POINT (-73.86292338926589 40.868440564760924),POINT (-73.86292338632309 40.8684406032966),17.264,80086,17.264,FPC-662,17.264,FPC-513,20.74,Plentiful-1430,20.74,83333,22.488,Plentiful-113,13.669,85177,19.76,85455,17.3,83678,23.271,83550
36005034200,Bronx,BX1104,-73.86002623794795,40.86841656207407,POINT (-73.86002624041643 40.868416524612975),POINT (-73.86002623794795 40.86841656207407),15.232,80086,15.232,FPC-662,15.232,FPC-513,22.129,Plentiful-1430,22.129,83333,17.534,85455,14.53,85177,22.138,Plentiful-113,18.161,83678,22.314,83550
36005034300,Bronx,BX0803,-73.89817558261491,40.909687202434505,POINT (-73.89817557846206 40.90968718332199),POINT (-73.89817558261491 40.9096872024345),51.497,83333,51.497,Plentiful-1430,52.713,83678,37.756,Plentiful-113,39.67,80121,39.67,83550,52.202,85327,23.435,84349,56.301,85177,29.456,85357
36005034400,Bronx,BX1103,-73.85713227711194,40.868364219116,POINT (-73.85713227980446 40.868364181450694),POINT (-73.85713227711194 40.868364219116),16.822,85455,17.349,80086,17.349,FPC-662,17.349,FPC-513,25.67,Plentiful-1430,25.67,83333,18.071,85177,21.702,83678,24.462,Plentiful-113,24.431,83550
36005034800,Bronx,BX1103,-73.85306720893787,40.869448656816544,POINT (-73.85306718510553 40.86944859182155),POINT (-73.85306720893787 40.86944865681654),13.675,85455,20.936,85177,25.137,Plentiful-1430,25.137,83333,21.047,80086,21.047,FPC-662,21.047,FPC-513,24.567,83678,26.487,Plentiful-113,23.194,83469
36005035600,Bronx,BX1202,-73.83600660196933,40.866963921885855,POINT (-73.83600645169409 40.866963916839886),POINT (-73.83600660196933 40.86696392188585),9.28,85455,24.466,85505,24.513,83469,23.847,85177,27.23,80086,27.23,FPC-662,27.23,FPC-513,27.03,83678,27.31,Plentiful-1430,27.31,83333
36005035900,Bronx,BX0601,-73.8833808105599,40.84020852914113,POINT (-73.88338078395273 40.8402085252127),POINT (-73.8833808105599 40.84020852914113),14.409,84225,16.685,84788,14.138,85387,15.752,Plentiful-1528,16.624,82851,22.816,85317,21.46,85241,17.379,85298,20.276,FPC-513,20.276,FPC-662
36005036000,Bronx,BX1103,-73.84310583525009,40.8668406753365,POINT (-73.84310580354166 40.866840684714354),POINT (-73.84310583525009 40.8668406753365),5.881,85455,20.448,85177,22.904,83469,22.857,85505,23.308,80086,23.308,FPC-662,23.308,FPC-513,25.578,83678,25.858,Plentiful-1430,25.858,83333
36005036300,Bronx,BX0601,-73.8827547012348,40.84453968217327,POINT (-73.88275471613656 40.84453966096329),POINT (-73.8827547012348 40.84453968217327),10.956,Plentiful-1528,10.504,84788,16.597,82851,18.096,84225,16.894,85387,24.409,85317,21.117,FPC-513,21.117,FPC-662,21.117,80086,23.456,85241
36005036400,Bronx,BX1202,-73.84921480783362,40.873617028033294,POINT (-73.84921478928511 40.87361701921988),POINT (-73.84921480783362 40.87361702803329),10.307,85455,18.576,85177,21.417,83678,21.697,Plentiful-1430,21.697,83333,20.739,83469,20.692,85505,28.685,85327,23.155,80086,23.155,FPC-662
