GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),238.863,85345,252.526,FPC-374,244.414,FPC-656,255.728,Plentiful-1200,258.989,FPC-718,256.032,FPC-628,244.904,80236,233.04,84722,248.575,80204,260.361,80577,250.731,80749,247.339,FPC-634,232.546,FPC-653,228.524,85289,252.151,81459,260.226,81685,256.445,87247,257.298,Plentiful-1388,226.926,81047,258.211,85069,256.883,81735,222.358,83656,258.158,82798,261.218,87369,259.228,80605
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),8.475,Plentiful-1200,13.911,FPC-628,12.32,FPC-374,24.94,FPC-718,22.395,81685,28.985,80204,23.71,85345,24.2,80749,28.553,87247,36.678,80236,33.179,82798,31.823,85069,34.263,81459,34.699,80577,30.437,Plentiful-1388,27.588,81735,35.18,FPC-634,38.432,FPC-112,36.524,83622,38.305,85351,40.369,83439,40.589,85171,35.486,80605,37.476,87369,37.191,FPC-595
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),9.187,Plentiful-1200,8.025,FPC-374,12.002,FPC-628,20.224,FPC-718,21.218,81685,19.72,85345,19.484,80749,24.269,80204,23.837,87247,31.962,80236,28.463,82798,29.983,80577,29.547,81459,25.721,Plentiful-1388,27.107,85069,22.872,81735,30.464,FPC-634,33.716,FPC-112,30.77,80605,32.76,87369,35.347,83622,37.228,85351,37.409,83439,39.412,85171,33.921,81199
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),2.37,Plentiful-1200,7.958,FPC-628,8.392,FPC-374,16.443,81685,21.465,FPC-718,20.725,80749,20.382,85345,25.51,80204,25.078,87247,28.836,82798,31.224,80577,26.962,Plentiful-1388,24.113,81735,33.203,80236,28.348,85069,30.788,81459,32.011,80605,34.001,87369,30.572,83622,34.637,85171,31.705,FPC-634,33.629,FPC-112,32.335,85351,34.294,81199,34.399,83439
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),4.152,FPC-628,3.441,Plentiful-1200,12.29,FPC-374,15.953,81685,21.348,FPC-718,17.608,80749,16.593,85345,21.961,87247,25.047,82798,28.107,80577,23.845,Plentiful-1388,25.393,80204,20.996,81735,28.231,85069,33.086,80236,30.671,81459,28.894,80605,30.884,87369,28.543,83622,32.474,85171,30.505,81199,29.724,DSNY-BRS-1461,28.546,85351,30.038,FPC-112,30.61,83439
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),6.02,FPC-628,7.227,Plentiful-1200,6.739,FPC-374,15.82,81685,17.49,80749,21.23,FPC-718,17.087,85345,21.843,87247,27.989,80577,22.267,82798,22.636,Plentiful-1388,19.787,81735,25.275,80204,28.568,80605,30.597,87369,31.132,80236,28.113,85069,30.377,81459,26.595,DSNY-BRS-1461,27.725,81199,30.395,85171,26.464,83622,31.47,FPC-634,32.719,82022,27.959,FPC-112
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),6.452,FPC-628,10.166,Plentiful-1200,12.411,81685,17.508,FPC-374,27.37,FPC-718,23.63,80749,28.331,82798,27.983,87247,29.867,Plentiful-1388,27.018,81735,23.091,85345,33.039,80577,31.415,80204,34.253,85069,34.703,85171,30.638,83622,34.916,80605,36.906,87369,39.108,80236,36.693,81459,33.789,81199,35.716,DSNY-BRS-1461,35.044,85351,37.108,83439,36.597,FPC-112
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),8.171,81685,11.721,FPC-628,14.197,Plentiful-1200,18.935,FPC-374,20.516,80749,25.997,82798,29.488,FPC-718,27.481,87247,30.135,Plentiful-1388,27.802,81735,28.799,80577,27.01,85345,33.533,80204,33.261,80605,31.455,81199,35.251,87369,30.463,85171,26.398,83622,34.814,DSNY-BRS-1461,36.371,85069,38.793,85351,38.811,81459,41.226,80236,39.837,83439,29.763,FPC-595
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),5.189,81685,13.13,FPC-628,15.606,Plentiful-1200,20.344,FPC-374,23.015,82798,17.534,80749,24.499,87247,30.897,FPC-718,27.153,Plentiful-1388,24.82,81735,25.817,80577,28.473,81199,30.279,80605,32.269,87369,27.481,85171,26.533,85345,34.942,80204,31.832,DSNY-BRS-1461,23.416,83622,37.78,85069,35.811,85351,26.781,FPC-595,36.855,83439,40.22,81459,42.635,80236
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),3.553,81685,15.291,FPC-628,17.767,Plentiful-1200,21.734,82798,22.505,FPC-374,16.253,80749,23.218,87247,23.539,81735,25.872,Plentiful-1388,33.058,FPC-718,24.536,80577,27.192,81199,28.998,80605,30.988,87369,26.2,85171,30.551,DSNY-BRS-1461,22.135,83622,25.252,85345,36.166,80204,39.526,85069,34.53,85351,36.675,82022,25.5,FPC-595,35.574,83439,42.975,83628
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),14.008,FPC-374,9.812,85345,17.21,Plentiful-1200,16.102,FPC-628,16.323,80749,28.761,FPC-718,24.015,81685,26.219,80577,21.304,87247,21.727,Plentiful-1388,23.107,80204,20.603,82798,19.394,81735,31.694,80236,25.086,80605,27.076,87369,27.473,81459,27.372,85069,34.799,FPC-634,25.701,DSNY-BRS-1461,24.522,81199,32.53,82022,35.715,FPC-112,30.306,83622,34.371,85171
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),7.015,81685,9.517,FPC-628,11.016,Plentiful-1200,16.056,FPC-374,16.707,80749,21.871,82798,23.672,87247,26.326,Plentiful-1388,23.993,81735,24.99,80577,26.209,FPC-718,23.35,85345,29.452,80605,31.442,87369,27.329,81199,31.005,DSNY-BRS-1461,30.254,80204,26.654,85171,22.589,83622,37.129,82022,33.092,85069,37.947,80236,35.532,81459,34.984,85351,36.028,83439
