GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061002500,Manhattan,MN0301,-73.99860736773405,40.710109555821745,POINT (-73.99860736964303 40.71010954925149),POINT (-73.99860736773405 40.71010955582175),9.492,FPC-626,16.323,80491,16.545,85471,20.973,82998,15.443,85517,21.465,85434,21.371,85340,23.491,87046,18.584,FPC-559,24.19,80720,22.666,81917,19.808,84055,27.47,80493,17.784,DSNY-BRS-2114,26.767,87247,19.092,85490,26.528,85544,28.597,85521,26.594,81735,33.126,FPC-488,28.308,85368,26.979,85523,32.452,87369,37.026,FPC-583,30.555,DSNY-BRS-1461
36005027401,Bronx,BX1003,-73.82263140887845,40.84043756178455,POINT (-73.82263141045159 40.840437374694595),POINT (-73.82263140887845 40.84043756178455),17.152,FPC-666,32.877,FPC-349,33.622,87064,42.353,83304,44.111,DSNY-BRS-2184,44.838,85545,40.567,84728,40.296,85387,46.181,83550,46.181,80121,50.308,85339,51.544,85433,40.736,85472,52.449,80081,50.311,85436,49.832,84607,46.86,85457,57.271,85541,60.298,83918,57.2,85239,61.832,85294,44.164,85518,54.636,FPC-530,50.524,FPC-599,45.991,FPC-418
36005027402,Bronx,BX1003,-73.81747207128835,40.84277056353014,POINT (-73.81747207631507 40.842770414577295),POINT (-73.81747207128835 40.84277056353014),18.991,FPC-666,38.136,FPC-349,36.327,87064,45.015,83304,47.411,DSNY-BRS-2184,48.138,85545,52.97,85339,49.481,83550,49.481,80121,43.272,84728,43.001,85387,54.206,85433,43.441,85472,55.154,80081,55.246,85436,54.767,84607,51.795,85457,59.976,85541,63.003,83918,60.5,85239,64.537,85294,55.459,FPC-599,46.869,85518,57.341,FPC-530,48.696,FPC-418
36081071100,Queens,QN0602,-73.85229882498777,40.72201219061035,POINT (-73.85229871748359 40.72201225475354),POINT (-73.85229882498777 40.72201219061035),0.439,84603,29.881,FPC-599,26.358,85467,23.055,85024,31.011,85520,36.936,85163,37.885,85457,39.867,84607,41.785,85436,46.113,84801,27.301,FPC-152,28.077,85510,32.05,FPC-139,34.584,84665,32.215,85323,36.873,FPC-708,44.038,83351,56.555,83514,31.714,84105,47.237,85363,32.142,84980,55.053,80438,60.325,84599,50.345,83956,50.345,85271
36081071306,Queens,QN0602,-73.85604746637564,40.72616084057051,POINT (-73.85604745224096 40.72616083274453),POINT (-73.85604746637564 40.72616084057051),11.088,84603,31.609,FPC-599,17.916,85024,28.53,85467,31.106,85520,39.613,85457,41.595,84607,43.513,85436,44.72,85163,53.897,84801,30.1,FPC-152,30.876,85510,33.442,84105,34.849,FPC-139,37.383,84665,32.967,85323,64.339,83514,39.672,FPC-708,55.021,85363,46.837,83351,62.837,80438,58.129,85271,58.129,83956,58.129,83956,58.129,85271
36061016700,Manhattan,MN0702,-73.98100654396063,40.78527297690969,POINT (-73.9810065036799 40.78527297261079),POINT (-73.98100654396063 40.78527297690969),4.835,DSNY-BRS-1071,8.421,DSNY-BRS-1459,12.984,85548,19.049,85369,20.751,85530,12.059,DSNY-BRS-1461,16.089,FPC-531,19.837,83311,18.799,80801,21.659,85524,13.91,82861,13.647,85475,19.876,81123,24.409,81199,19.662,87369,14.226,85523,22.332,84451,22.332,80474,18.65,85368,20.551,81735,22.726,85521,21.163,81727,33.152,FPC-493,28.078,85544,22.619,87247
36081059200,Queens,QN1304,-73.72972332614286,40.70123986093404,POINT (-73.72972327641092 40.70123985628181),POINT (-73.72972332614286 40.70123986093404),38.813,FPC-149,32.54,84980,32.583,85323,41.018,FPC-708,32.446,FPC-139,36.663,84665,32.923,85510,34.692,FPC-152,62.669,83351,52.848,85520,56.802,85467,58.869,84607,54.701,85436,58.475,85457,64.235,85163,55.562,84603,69.112,FPC-599,62.474,85024,69.217,84801,82.17,83514,89.312,84599,111.915,FPC-349,96.134,85512,106.19,FPC-666,79.414,80438
36081062200,Queens,QN1304,-73.72887942798494,40.69194795327569,POINT (-73.728879442699 40.69194787306939),POINT (-73.72887942798494 40.69194795327569),36.332,FPC-149,29.733,84980,40.519,85323,40.014,FPC-708,38.49,FPC-139,40.836,84665,40.068,85510,41.71,FPC-152,60.225,83351,58.129,85520,62.715,85467,70.607,85163,64.15,84607,59.982,85436,63.756,85457,60.948,84603,74.498,FPC-599,74.603,84801,67.86,85024,87.556,83514,92.983,84599,101.52,85512,117.196,FPC-349,98.946,83552,84.8,80438
36081000104,Queens,QN0201,-73.9444697294992,40.74098205168622,POINT (-73.94446982267783 40.740982102026514),POINT (-73.9444697294992 40.74098205168622),19.823,85483,27.741,87007,26.895,84105,23.157,81199,30.342,85524,33.176,85490,31.868,DSNY-BRS-2114,30.574,80421,26.914,85530,22.806,85544,29.499,FPC-531,39.19,87046,25.629,84055,19.421,85368,36.244,DSNY-BRS-2179,25.137,81735,27.564,85521,44.862,85434,22.506,DSNY-BRS-1461,29.761,87247,18.692,85523,38.879,FPC-659,24.872,FPC-559,27.431,85548,28.32,80493
36081063800,Queens,QN1307,-73.73301363200908,40.669831497044356,POINT (-73.733013706632 40.66983147384637),POINT (-73.73301363200908 40.66983149704436),30.279,FPC-149,28.44,84980,38.765,FPC-708,39.754,84665,41.154,85323,37.774,FPC-139,39.352,85510,54.76,83351,40.902,FPC-152,69.891,85163,63.243,85467,64.541,85520,75.246,84607,73.937,85457,71.078,85436,60.631,84603,74.181,FPC-599,74.286,84801,82.775,83514,86.93,84599,101.203,85512,67.543,85024,98.629,83552,84.483,80438,75.076,85363
