GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),256.59,FPC-374,246.624,FPC-656,260.359,FPC-628,263.404,87247,263.073,81735,265.128,87369,263.665,DSNY-BRS-1461,264.901,81199,269.018,85351,264.592,FPC-632,264.592,Plentiful-1480,269.362,80296,269.362,85506,266.645,83318,262.586,FPC-168,203.926,83916,270.96,CH-R802,276.083,84949,276.864,FPC-659,275.502,82343,203.958,83328,271.63,80752,273.157,FPC-101,284.672,83628,275.613,Plentiful-1399
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),13.911,FPC-628,12.32,FPC-374,28.553,87247,27.588,81735,38.47,85351,37.181,87369,38.637,81199,36.316,DSNY-BRS-1461,36.966,FPC-168,35.179,FPC-659,57.362,83628,42.878,83318,44.475,FPC-656,42.926,FPC-101,50.472,85506,50.472,80296,52.316,84949,53.472,82343,43.882,FPC-170,46.764,80752,48.292,FPC-632,48.292,Plentiful-1480,56.078,CH-R802,46.942,FPC-482,48.323,83630
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),8.025,FPC-374,12.697,FPC-628,23.837,87247,22.872,81735,32.465,87369,37.119,85351,33.921,81199,31.6,DSNY-BRS-1461,33.538,FPC-168,34.434,FPC-659,39.845,FPC-656,54.041,83628,38.162,83318,38.21,FPC-101,45.756,85506,45.756,80296,47.6,84949,39.166,FPC-170,48.756,82343,42.048,80752,43.576,FPC-632,43.576,Plentiful-1480,51.362,CH-R802,42.574,FPC-482,46.582,83311
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),7.958,FPC-628,8.392,FPC-374,25.078,87247,24.113,81735,33.706,87369,32.5,85351,34.294,81199,31.387,DSNY-BRS-1461,34.195,FPC-168,29.209,FPC-659,51.392,83628,39.403,83318,40.569,FPC-656,39.451,FPC-101,46.997,85506,46.997,80296,38.517,FPC-170,41.896,80752,48.841,84949,49.997,82343,43.649,FPC-482,44.486,FPC-632,44.486,Plentiful-1480,52.603,CH-R802,47.823,83311
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),4.152,FPC-628,12.29,FPC-374,21.961,87247,20.996,81735,30.589,87369,30.505,81199,29.724,DSNY-BRS-1461,28.711,85351,30.406,FPC-168,25.42,FPC-659,47.603,83628,39.286,83318,38.503,FPC-656,34.728,FPC-170,39.334,FPC-101,40.172,80752,44.085,85506,44.085,80296,48.724,84949,49.88,82343,41.939,FPC-482,44.706,83311,40.697,FPC-632,45.106,80861,40.697,Plentiful-1480
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),6.02,FPC-628,6.949,FPC-374,21.843,87247,19.787,81735,30.15,87369,26.595,DSNY-BRS-1461,27.725,81199,29.714,FPC-168,30.579,85351,45.773,83628,27.288,FPC-659,35.777,FPC-656,39.168,83318,37.104,80752,35.222,FPC-170,39.216,FPC-101,44.579,85506,44.579,80296,40.73,FPC-482,48.606,84949,49.762,82343,43.735,83311,42.872,80861,41.789,FPC-493,41.191,FPC-632
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),6.452,FPC-628,17.508,FPC-374,27.983,87247,27.018,81735,36.611,87369,33.763,81199,35.69,DSNY-BRS-1461,35.209,85351,35.752,FPC-168,52.975,83628,31.918,FPC-659,45.308,83318,41.226,FPC-170,45.356,FPC-101,46.194,80752,45.001,FPC-656,50.583,85506,50.583,80296,54.746,84949,47.961,FPC-482,55.902,82343,50.728,83311,48.91,80861,47.827,FPC-493,45.062,83630
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),12.033,FPC-628,18.78,FPC-374,27.756,87247,28.436,81735,31.561,81199,35.59,87369,35.448,DSNY-BRS-1461,31.682,FPC-168,39.44,85351,48.294,83628,36.149,FPC-659,39.414,FPC-170,44.997,80752,47.738,83318,47.786,FPC-101,44.624,FPC-482,48.7,FPC-656,54.814,85506,54.814,80296,46.382,80861,49.707,83311,57.176,84949,45.299,FPC-493,58.332,82343,41.888,83630
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),13.447,FPC-628,20.194,FPC-374,24.38,87247,25.06,81735,28.185,81199,32.214,87369,32.072,DSNY-BRS-1461,28.306,FPC-168,36.638,85351,44.918,83628,37.563,FPC-659,36.038,FPC-170,41.621,80752,49.152,83318,49.2,FPC-101,41.248,FPC-482,43.006,80861,46.331,83311,54.118,85506,41.923,FPC-493,49.449,FPC-656,54.118,80296,58.59,84949,59.746,82343,38.512,83630
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),15.622,FPC-628,22.369,FPC-374,23.308,87247,23.379,81735,27.208,81199,30.533,87369,30.391,DSNY-BRS-1461,26.625,FPC-168,34.957,85351,43.237,83628,37.841,FPC-659,34.357,FPC-170,39.94,80752,39.567,FPC-482,51.375,FPC-101,49.896,83318,41.325,80861,44.65,83311,40.242,FPC-493,52.437,85506,52.437,80296,47.768,FPC-656,59.334,84949,42.193,Plentiful-1368,58.577,82343
