GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24,tt_25,fp_25,tt_26,fp_26,tt_27,fp_27,tt_28,fp_28,tt_29,fp_29,tt_30,fp_30,tt_31,fp_31,tt_32,fp_32,tt_33,fp_33,tt_34,fp_34,tt_35,fp_35,tt_36,fp_36,tt_37,fp_37,tt_38,fp_38,tt_39,fp_39,tt_40,fp_40,tt_41,fp_41,tt_42,fp_42,tt_43,fp_43,tt_44,fp_44,tt_45,fp_45,tt_46,fp_46,tt_47,fp_47,tt_48,fp_48,tt_49,fp_49
36061000100,Manhattan,MN0191,-74.04233963651815,40.69567322688057,POINT (-74.04233991488555 40.69567298240604),POINT (-74.04233963651815 40.69567322688057),174.791,85345,180.452,85471,182.101,81458,186.316,FPC-626,190.314,80491,191.824,84461,190.705,DSNY-BRS-1058,183.315,80720,188.801,84743,185.85,FPC-559,164.017,85498,191.751,85450,184.077,80493,184.78,87247,187.275,84055,180.036,Plentiful-1388,176.723,85521,180.871,85523,179.929,87369,181.985,85368,182.232,DSNY-BRS-1461,189.659,85203,173.958,81586,196.609,81324,187.597,81199,188.868,FPC-167,202.746,80421,194.623,85468,194.623,FPC-631,190.238,80517,186.856,DSNY-BRS-1459,169.723,84301,170.469,FPC-382,138.303,83916,206.103,FPC-659,192.917,DSNY-BRS-1070,190.788,80846,194.862,84540,198.452,85483,202.843,83956,202.843,83956,202.843,85271,202.843,85271,204.969,84911,201.326,80309,207.501,80438,156.263,83197,213.305,83002,192.295,81317,196.962,83311
36061000201,Manhattan,MN0301,-73.98584800829613,40.711868746013344,POINT (-73.98584800028144 40.71186871871548),POINT (-73.98584800829613 40.71186874601334),7.425,84743,10.424,FPC-626,18.959,84461,14.278,85450,20.18,80491,16.899,DSNY-BRS-1058,23.567,81458,24.617,FPC-559,22.586,85345,23.575,85471,20.461,84055,24.303,80720,24.615,87247,25.026,80493,27.358,Plentiful-1388,23.427,85521,26.263,85368,30.294,80421,35.01,81324,29.359,85523,29.954,87369,28.267,81199,32.662,DSNY-BRS-1461,29.891,FPC-167,32.539,FPC-659,39.324,80517,41.516,85483,37.802,84540,37.227,DSNY-BRS-1459,42.696,DSNY-BRS-1070,36.111,83956,36.111,85271,36.111,83956,36.111,85271,40.567,80846,37.006,85498,41.544,85203,46.171,84911,44.323,80438,45.397,85468,45.397,FPC-631,42.816,83923,44.272,83311,41.831,FPC-493,44.697,85379,45.335,80345,56.303,83002,47.124,81586,46.387,80712,43.589,85342
36061000600,Manhattan,MN0301,-73.989476789607,40.71195059941946,POINT (-73.9894767752886 40.711950582311424),POINT (-73.989476789607 40.71195059941946),6.119,FPC-626,9.834,84743,15.295,84461,15.464,80491,12.183,DSNY-BRS-1058,14.745,85450,18.851,81458,20.873,FPC-559,17.82,85345,18.809,85471,19.587,80720,21.736,84055,20.758,87247,20.465,80493,22.642,Plentiful-1388,18.711,85521,21.547,85368,24.643,85523,30.294,81324,26.292,80421,25.238,87369,28.729,81199,28.224,DSNY-BRS-1461,30.353,FPC-167,30.061,FPC-659,34.608,80517,34.208,84540,39.218,85483,32.461,DSNY-BRS-1459,37.98,DSNY-BRS-1070,35.851,80846,32.24,85498,31.395,85271,31.395,83956,31.395,85271,31.395,83956,36.828,85203,40.681,85468,41.455,84911,40.681,FPC-631,39.607,80438,40.953,83923,39.556,83311,42.293,FPC-493,41.737,85379,40.619,80345,51.587,83002,42.408,81586,41.671,80712,38.873,85342
36061001401,Manhattan,MN0302,-73.98733213729894,40.71516046573841,POINT (-73.98733213277733 40.715160475095416),POINT (-73.98733213729894 40.71516046573841),5.266,84743,6.804,FPC-626,12.908,84461,15.012,80491,13.351,DSNY-BRS-1058,12.879,85450,20.019,81458,21.361,FPC-559,20.956,84055,19.884,85471,18.895,85345,20.755,80720,21.926,87247,21.633,80493,23.81,Plentiful-1388,19.879,85521,22.715,85368,25.811,85523,26.406,87369,24.243,80421,29.59,81324,28.762,81199,28.549,DSNY-BRS-1461,30.386,FPC-167,26.569,FPC-659,34.954,80517,35.376,84540,40.386,85483,33.536,DSNY-BRS-1459,38.661,DSNY-BRS-1070,37.019,80846,32.636,85271,32.636,83956,32.636,83956,32.636,85271,33.315,85498,38.069,85203,42.696,84911,40.848,80438,41.764,85468,41.764,FPC-631,42.121,83923,39.902,83311,42.326,FPC-493,42.905,85379,41.86,80345,52.828,83002,42.839,80712,43.649,81586,40.041,85342
36061001402,Manhattan,MN0302,-73.9858816314248,40.71751329862137,POINT (-73.98588163638996 40.71751329107455),POINT (-73.9858816314248 40.71751329862137),4.189,84743,10.57,84461,9.165,FPC-626,10.307,DSNY-BRS-1058,11.164,85450,11.507,80491,18.997,FPC-559,16.975,81458,22.193,84055,17.711,80720,20.153,85471,16.78,85345,18.882,87247,18.589,80493,20.766,Plentiful-1388,16.835,85521,19.671,85368,22.767,85523,23.362,87369,20.844,80421,26.853,81199,26.348,DSNY-BRS-1461,25.801,81324,28.477,FPC-167,22.78,FPC-659,32.732,80517,32.332,84540,37.342,85483,31.281,DSNY-BRS-1459,36.104,DSNY-BRS-1070,33.975,80846,32.533,85271,32.533,85271,32.533,83956,32.533,83956,40.432,84911,33.76,85498,39.077,83923,39.192,80438,37.68,83311,37.966,85203,40.417,FPC-493,39.861,85379,41.819,85468,41.819,FPC-631,39.795,80712,41.757,80345,52.725,83002,36.997,85342,35.09,FPC-714
36061001800,Manhattan,MN0302,-73.99084216687713,40.719046119948565,POINT (-73.99084214553514 40.719046119924954),POINT (-73.99084216687713 40.71904611994857),5.363,84461,7.268,80491,5.762,FPC-626,8.362,DSNY-BRS-1058,8.083,84743,13.89,85450,16.537,81458,17.692,FPC-559,17.273,80720,20.619,85471,22.111,84055,17.246,85345,18.444,87247,18.151,80493,19.974,Plentiful-1388,16.043,85521,18.879,85368,21.975,85523,22.924,87369,23.933,DSNY-BRS-1461,25.548,81199,27.172,FPC-167,18.531,80421,24.371,81324,30.338,80517,30.707,DSNY-BRS-1459,31.894,84540,23.529,FPC-659,36.904,85483,34.045,DSNY-BRS-1070,33.401,80846,32.095,85271,32.095,83956,32.095,85271,32.095,83956,33.561,85498,35.286,83311,38.639,83923,37.528,85203,39.112,FPC-493,41.181,84911,39.423,85379,39.941,80438,37.148,85468,37.148,FPC-631,39.221,80712,34.516,FPC-714,36.423,85342,41.319,80345,52.287,83002
36061002201,Manhattan,MN0302,-73.9818441595981,40.71911566546385,POINT (-73.98184414606295 40.71911565637374),POINT (-73.9818441595981 40.71911566546385),5.122,84743,6.508,85450,11.089,DSNY-BRS-1058,13.401,84461,15.236,FPC-626,14.449,80491,19.679,FPC-559,23.348,84055,21.39,81458,23.015,80720,24.502,87247,24.209,80493,26.651,85471,26.386,Plentiful-1388,22.455,85521,23.278,85345,25.291,85368,28.387,85523,27.403,80421,28.982,87369,29.777,81199,32.299,81324,31.401,FPC-167,30.992,DSNY-BRS-1461,29.278,FPC-659,37.376,80517,42.393,85483,36.634,84540,36.901,DSNY-BRS-1459,41.083,DSNY-BRS-1070,39.595,80846,38.555,85271,38.555,83956,38.555,85271,38.555,83956,43.079,83923,46.93,84911,45.69,80438,42.324,83311,43.304,FPC-493,44.23,85379,43.988,85203,40.258,85498,47.841,85468,47.841,FPC-631,45.415,80712,47.779,80345,42.617,85342,40.71,FPC-714,58.747,83002
36061002601,Manhattan,MN0303,-73.97993015397464,40.72258485164247,POINT (-73.97993013644351 40.72258485381506),POINT (-73.97993015397464 40.72258485164247),5.336,85450,11.237,84743,11.988,DSNY-BRS-1058,16.382,84461,15.591,80491,15.68,FPC-626,15.77,FPC-559,19.597,84055,22.289,81458,19.106,80720,23.756,87247,24.162,80493,26.538,Plentiful-1388,23.354,85521,26.19,85368,28.258,85471,26.62,85523,25.634,85345,26.435,81199,29.083,87369,28.059,FPC-167,26.265,80421,30.955,DSNY-BRS-1461,33.663,81324,34.27,84540,38.275,80517,38.484,85483,33.108,FPC-659,34.25,DSNY-BRS-1459,40.77,DSNY-BRS-1070,39.593,80846,40.584,85271,40.584,83956,40.584,85271,40.584,83956,39.17,83923,43.223,83311,39.395,FPC-493,40.321,85379,50.644,84911,47.775,80438,45.105,80712,46.017,85203,41.689,85498,49.069,85468,49.069,FPC-631,42.718,85342,40.811,FPC-714,44.84,80345,60.776,83002
36061002602,Manhattan,MN0303,-73.97861335594028,40.72438922415978,POINT (-73.9786133390267 40.72438922658674),POINT (-73.97861335594028 40.72438922415978),6.557,85450,13.774,84743,13.912,DSNY-BRS-1058,18.306,84461,17.515,80491,13.068,FPC-559,16.895,84055,17.239,FPC-626,21.054,87247,16.404,80720,23.816,81458,21.46,80493,23.836,Plentiful-1388,21.26,85521,24.236,85368,23.918,85523,26.625,85471,23.733,81199,26.381,87369,25.357,FPC-167,22.932,85345,28.253,DSNY-BRS-1461,23.563,80421,30.961,81324,31.568,84540,35.782,85483,36.054,80517,34.667,FPC-659,31.548,DSNY-BRS-1459,38.068,DSNY-BRS-1070,36.891,80846,36.468,83923,42.143,85271,42.143,83956,42.143,85271,42.143,83956,42.791,83311,36.693,FPC-493,37.619,85379,49.093,84911,45.073,80438,42.403,80712,40.016,85342,38.109,FPC-714,47.576,85203,50.666,85468,40.959,85498,50.666,FPC-631,42.138,80345,42.168,81418
36061002800,Manhattan,MN0303,-73.97681304479434,40.726860955813045,POINT (-73.97681303615444 40.726860950834535),POINT (-73.97681304479434 40.72686095581304),5.885,85450,15.448,84743,15.575,DSNY-BRS-1058,16.837,84055,11.971,FPC-559,18.146,84461,17.938,80491,18.859,FPC-626,20.996,87247,21.309,80493,15.307,80720,20.163,85521,22.797,Plentiful-1388,22.719,81458,23.139,85368,22.821,85523,22.636,81199,24.26,FPC-167,25.284,87369,27.156,DSNY-BRS-1461,25.528,85471,22.466,80421,21.835,85345,29.864,81324,30.471,84540,34.685,85483,34.957,80517,30.451,DSNY-BRS-1459,33.588,FPC-659,36.971,DSNY-BRS-1070,35.794,80846,35.371,83923,41.694,83311,35.596,FPC-493,36.522,85379,42.286,85271,42.286,85271,42.286,83956,42.286,83956,47.996,84911,43.976,80438,41.306,80712,38.919,85342,37.012,FPC-714,48.331,85203,49.569,85468,41.071,81418,41.041,80345,49.569,FPC-631,39.862,85498
36061003100,Manhattan,MN0102,-74.00381559584184,40.71531057200895,POINT (-74.00381569131154 40.71531053046602),POINT (-74.00381559584184 40.71531057200895),11.305,85471,9.587,81458,10.337,85345,12.68,FPC-626,15.949,84461,14.439,80491,16.72,DSNY-BRS-1058,19.357,84743,13.919,FPC-559,17.441,80720,23.05,85450,21.152,84055,22.236,80493,22.212,87247,21.21,Plentiful-1388,17.795,85521,22.653,85368,20.453,85523,22.769,87369,24.201,DSNY-BRS-1461,22.247,81199,22.623,FPC-167,33.249,81324,30.672,80421,31.294,80517,26.423,DSNY-BRS-1459,28.81,84540,30.228,FPC-659,32.943,DSNY-BRS-1070,33.024,85483,32.719,80846,24.411,85498,47.467,85203,39.345,85468,39.345,FPC-631,35.987,85271,35.987,83956,35.987,83956,35.987,85271,39.179,83311,33.71,83923,42.611,84911,33.935,FPC-493,44.1,80438,34.861,85379,42.739,81586,39.202,80712,34.497,FPC-714,36.404,85342,54.613,83002
36061003200,Manhattan,MN0303,-73.98370701917263,40.72555328579269,POINT (-73.98370702842817 40.72555327845573),POINT (-73.98370701917263 40.72555328579269),8.908,DSNY-BRS-1058,9.986,85450,10.56,84743,13.498,84461,12.935,80491,13.102,FPC-559,20.268,84055,11.833,FPC-626,16.438,80720,19.633,81458,22.206,87247,21.928,80493,23.928,Plentiful-1388,20.174,85521,23.01,85368,24.411,85471,23.952,85523,22.015,85345,26.415,87369,24.084,81199,28.287,DSNY-BRS-1461,25.708,FPC-167,23.597,80421,29.508,81324,35.619,80517,31.919,84540,31.632,DSNY-BRS-1459,36.133,85483,28.015,FPC-659,38.152,DSNY-BRS-1070,36.975,80846,36.819,83923,40.567,83311,37.044,FPC-493,37.97,85379,35.872,85271,35.872,85271,35.872,83956,35.872,83956,45.667,84911,44.084,80438,42.754,80712,40.05,85342,38.143,FPC-714,37.842,85498,41.305,85203,45.158,85468,45.158,FPC-631,42.519,81418,42.172,80345
36061003300,Manhattan,MN0102,-74.00614634416432,40.71886214043471,POINT (-74.00614634471161 40.718862096530124),POINT (-74.00614634416432 40.71886214043471),8.717,85471,6.524,81458,10.177,85345,17.746,80491,19.854,84461,18.324,FPC-626,17.68,DSNY-BRS-1058,10.83,80720,16.014,FPC-559,23.481,84743,22.952,85450,17.02,80493,18.426,87247,19.465,84055,17.261,Plentiful-1388,15.293,85521,15.619,85523,18.129,85368,17.593,87369,16.452,DSNY-BRS-1461,26.238,81199,28.11,FPC-167,24.458,80517,30.918,80421,33.586,81324,21.948,DSNY-BRS-1459,31.876,84540,27.137,DSNY-BRS-1070,25.008,80846,34.133,FPC-659,33.586,85483,26.912,85498,45.634,85203,34.003,83311,41.674,85468,38.621,83923,33.685,83956,33.685,83956,33.685,85271,33.685,85271,41.674,FPC-631,40.325,FPC-493,39.405,85379,43.69,84911,33.261,80712,41.842,80438,45.24,81586,29.321,FPC-714,31.228,85342,53.822,83002
36061003400,Manhattan,MN0303,-73.98145767697616,40.72900590859083,POINT (-73.98145767533329 40.729005907658376),POINT (-73.98145767697616 40.72900590859083),9.798,85450,10.894,DSNY-BRS-1058,17.137,84055,9.579,FPC-559,12.546,84743,14.921,80491,15.484,84461,18.683,87247,13.819,FPC-626,12.915,80720,18.917,80493,20.405,Plentiful-1388,17.771,85521,20.327,81458,20.747,85368,20.429,85523,22.892,87369,20.295,81199,23.187,85471,21.919,FPC-167,24.764,DSNY-BRS-1461,19.494,85345,20.074,80421,32.565,80517,27.472,81324,28.13,84540,28.109,DSNY-BRS-1459,32.344,85483,34.629,DSNY-BRS-1070,30.001,FPC-659,33.452,80846,33.03,83923,39.302,83311,33.255,FPC-493,34.181,85379,37.858,85271,37.858,85271,37.858,83956,37.858,83956,38.965,80712,45.604,84911,36.527,85342,34.62,FPC-714,41.584,80438,38.73,81418,37.521,85498,43.291,85203,47.144,85468,47.144,FPC-631,38.649,80345
36061003601,Manhattan,MN0302,-73.9911271645957,40.72231932780311,POINT (-73.99112716050642 40.72231932551375),POINT (-73.9911271645957 40.72231932780311),3.788,DSNY-BRS-1058,3.034,80491,2.867,84461,9.642,FPC-626,12.975,84743,16.2,FPC-559,14.952,81458,9.833,85450,15.688,80720,20.636,84055,21.427,85471,16.859,87247,16.566,80493,18.634,85345,18.743,Plentiful-1388,14.812,85521,17.648,85368,20.744,85523,21.339,87369,24.325,DSNY-BRS-1461,24.076,81199,25.7,FPC-167,23.423,80421,29.263,81324,30.709,80517,29.258,DSNY-BRS-1459,30.309,84540,35.319,85483,34.081,DSNY-BRS-1070,28.075,FPC-659,31.952,80846,35.657,83311,37.054,83923,33.959,85271,33.959,83956,33.959,85271,33.959,83956,37.64,FPC-493,37.838,85379,33.589,85498,44.019,84911,39.392,85203,42.171,80438,37.772,80712,39.322,85468,39.322,FPC-631,33.067,FPC-714,34.974,85342,43.183,80345,42.951,81418
36061003602,Manhattan,MN0303,-73.99020046176119,40.724560375260566,POINT (-73.99020044930231 40.7245603764933),POINT (-73.99020046176119 40.72456037526057),1.553,DSNY-BRS-1058,6.317,80491,7.054,84461,13.017,FPC-559,10.149,FPC-626,13.442,84743,10.811,85450,14.457,81458,16.124,80720,18.159,84055,17.295,87247,17.002,80493,20.491,85471,19.179,Plentiful-1388,15.248,85521,19.073,85345,18.084,85368,21.18,85523,21.775,87369,24.059,DSNY-BRS-1461,20.873,81199,22.497,FPC-167,23.89,80421,30.443,80517,29.73,81324,29.694,DSNY-BRS-1459,29.015,84540,34.122,85483,34.15,DSNY-BRS-1070,28.888,FPC-659,32.388,80846,35.391,83311,35.422,83923,34.437,FPC-493,36.931,85379,34.395,85271,34.395,83956,34.395,85271,34.395,83956,34.049,85498,38.208,80712,44.455,84911,42.607,80438,39.828,85203,33.503,FPC-714,35.41,85342,41.237,85468,41.237,FPC-631,41.48,81418,43.619,80345
36061003700,Manhattan,MN0201,-74.0074867941145,40.726278564944955,POINT (-74.0074867844917 40.726278558965056),POINT (-74.0074867941145 40.72627856494496),3.411,81458,14.637,85471,9.745,80720,12.966,80491,16.047,84461,13.475,DSNY-BRS-1058,13.61,FPC-559,16.097,85345,19.274,FPC-626,17.239,80493,17.215,87247,21.532,84743,17.531,84055,18.4,Plentiful-1388,18.172,85450,15.837,85521,16.758,85523,18.673,85368,19.069,87369,17.591,DSNY-BRS-1461,25.447,81199,27.071,FPC-167,25.597,80517,23.453,DSNY-BRS-1459,28.514,80421,28.276,DSNY-BRS-1070,32.42,84540,35.912,81324,26.147,80846,34.725,85483,34.062,FPC-659,35.073,83311,32.832,85498,38.353,83923,38.578,FPC-493,39.504,85379,34.4,80712,48.125,85203,36.127,85271,36.127,83956,36.127,85271,36.127,83956,30.797,FPC-714,32.704,85342,44.129,85468,44.129,FPC-631,46.984,84911,44.939,80438,36.915,81418,46.943,81586
36061003900,Manhattan,MN0102,-74.0107807590449,40.72079553570638,POINT (-74.0107807731053 40.72079547237539),POINT (-74.01078075904491 40.72079553570638),6.159,85471,10.065,81458,15.205,85345,19.279,80491,22.36,84461,20.674,FPC-626,19.788,DSNY-BRS-1058,15.858,80720,18.242,FPC-559,27.036,84743,21.688,80493,21.981,87247,22.901,84055,24.485,85450,22.289,Plentiful-1388,18.848,85521,20.647,85523,21.684,85368,21.148,87369,21.48,DSNY-BRS-1461,29.793,81199,31.665,FPC-167,29.486,80517,26.917,DSNY-BRS-1459,33.146,80421,37.141,81324,32.165,DSNY-BRS-1070,35.431,84540,30.036,80846,38.614,85483,38.363,FPC-659,31.94,85498,37.558,83311,49.189,85203,42.176,83923,45.904,85468,43.21,FPC-493,45.904,FPC-631,42.96,85379,37.24,85271,37.24,85271,37.24,83956,37.24,83956,37.581,80712,47.245,84911,50.268,81586,32.876,FPC-714,45.397,80438,34.783,85342,40.309,81418
36061004001,Manhattan,MN0303,-73.9849021192912,40.730264485255454,POINT (-73.98490213004057 40.730264478967435),POINT (-73.98490211929121 40.73026448525545),10.731,FPC-559,10.213,DSNY-BRS-1058,15.332,84055,12.858,80491,12.629,85450,13.727,84461,15.364,84743,19.491,87247,14.431,80720,19.897,80493,16.139,FPC-626,21.94,Plentiful-1388,21.24,81458,18.782,85521,22.282,85368,21.44,85523,24.427,87369,23.921,85471,25.631,DSNY-BRS-1461,21.029,81199,22.653,FPC-167,20.228,85345,33.637,80517,21.609,80421,27.313,84540,28.844,DSNY-BRS-1459,29.007,81324,33.078,85483,35.364,DSNY-BRS-1070,34.187,80846,32.731,FPC-659,40.837,83311,33.764,83923,33.989,FPC-493,34.915,85379,39.699,80712,40.676,85271,40.676,83956,40.676,85271,40.676,83956,36.155,FPC-714,37.799,85342,47.139,84911,43.119,80438,39.464,81418,38.255,85498,46.109,85203,47.726,85468,47.726,FPC-631,33.154,85114
