GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19
36061014500,Manhattan,MN0701,-73.984277080356,40.7698184210891,POINT (-73.98427705316891 40.76981842235595),POINT (-73.98427708035599 40.7698184210891),10.984,85523,17.061,81199,15.524,85521,18.877,87247,35.511,85083,33.707,85434,27.517,FPC-624,26.822,85517,38.439,FPC-488,37.493,85298,50.404,84354,48.229,87064,49.248,FPC-223,43.657,FPC-457,50.005,84611,51.922,82785,66.623,80343,47.97,80904,61.185,83916,55.941,85380
36061027700,Manhattan,MN1202,-73.92738130219539,40.855445989556905,POINT (-73.92738133713976 40.855445969476065),POINT (-73.92738130219539 40.85544598955691),35.671,85298,33.191,FPC-624,43.957,87064,42.82,81199,33.508,85523,38.532,85521,41.401,87247,58.221,85083,55.672,85434,72.369,84354,60.404,FPC-488,48.835,85517,71.97,84611,71.213,FPC-223,72.451,80904,73.887,82785,64.288,FPC-457,90.698,80343,83.109,83916,77.906,85380
36081010600,Queens,QN1001,-73.82496434487302,40.68568355028154,POINT (-73.82496422844572 40.685683464782784),POINT (-73.82496434487302 40.68568355028154),28.247,80904,33.822,84611,32.204,FPC-223,36.301,84354,41.064,FPC-488,57.528,85083,86.547,87064,53.781,85434,63.978,FPC-624,47.131,81199,60.245,82785,78.521,85298,77.056,80343,51.886,85521,57.161,87247,54.818,85523,51.061,85517,61.09,FPC-457,81.872,83916,83.286,85380
36081016600,Queens,QN1001,-73.82070218302394,40.6812732744094,POINT (-73.82070204388276 40.68127314788284),POINT (-73.82070218302394 40.6812732744094),33.705,80904,43.276,84611,42.945,FPC-223,47.042,84354,51.805,FPC-488,62.986,85083,92.005,87064,64.522,85434,70.986,82785,69.436,FPC-624,52.589,81199,87.797,80343,83.979,85298,57.344,85521,62.891,87247,60.276,85523,61.802,85517,71.831,FPC-457,92.613,83916,94.027,85380
36061001002,Manhattan,MN0302,-73.97695423903797,40.71731413995871,POINT (-73.97695423167313 40.71731413286188),POINT (-73.97695423903797 40.71731413995871),5.867,85434,32.896,85083,28.39,87247,36.321,FPC-488,26.843,85521,26.39,85517,30.848,85523,32.464,81199,38.507,84354,35.669,FPC-457,44.692,82785,42.929,FPC-223,45.022,84611,39.531,FPC-624,61.503,80343,54.097,85298,62.123,87064,55.15,83916,67.675,80904,57.822,85380
36005003300,Bronx,BX0101,-73.91193933974272,40.8082391888944,POINT (-73.91193929691515 40.80823919761299),POINT (-73.91193933974272 40.8082391888944),18.588,FPC-624,22.64,85298,27.659,87064,31.679,81199,52.912,85083,36.261,85523,39.434,85521,43.059,87247,55.034,85434,66.252,84354,58.652,FPC-488,66.559,84611,65.349,FPC-223,44.265,85517,67.132,80904,74.267,82785,57.026,FPC-457,88.12,80343,77.034,83916,78.101,85380
36081056000,Queens,QN1303,-73.73655844259682,40.72543940040956,POINT (-73.7365584980226 40.725439391820814),POINT (-73.73655844259682 40.72543940040956),30.312,80904,63.347,84611,64.533,FPC-223,70.486,87064,70.111,84354,85.663,85298,75.891,FPC-624,72.18,85083,77.606,FPC-488,61.894,81199,83.831,85434,63.799,85521,66.731,85523,69.346,87247,102.046,82785,118.857,80343,81.48,85517,94.241,FPC-457,114.249,83916,111.155,85380
36081162100,Queens,QN1302,-73.72970874306577,40.72846652347239,POINT (-73.7297086204705 40.72846649572206),POINT (-73.72970874306577 40.72846652347239),30.427,80904,63.462,84611,64.648,FPC-223,74.825,87064,70.226,84354,90.002,85298,76.006,FPC-624,72.295,85083,77.721,FPC-488,62.009,81199,83.946,85434,63.914,85521,66.846,85523,69.461,87247,102.161,82785,118.972,80343,81.595,85517,94.356,FPC-457,114.364,83916,111.27,85380
36081097202,Queens,QN1402,-73.7801089890135,40.59102159826986,POINT (-73.7801090965484 40.591021714728534),POINT (-73.7801089890135 40.59102159826986),71.935,80904,55.393,84611,53.775,FPC-223,57.872,84354,84.596,80343,62.635,FPC-488,81.816,82785,79.174,85083,75.352,85434,82.661,FPC-457,86.042,81199,78.732,87247,115.402,87064,76.161,85521,72.632,85517,92.705,FPC-624,79.723,85523,107.376,85298,103.443,83916,104.857,85380
36081099200,Queens,QN1401,-73.7672837423852,40.595227658809925,POINT (-73.76728379169178 40.595227615700324),POINT (-73.7672837423852 40.59522765880993),69.349,80904,52.807,84611,51.189,FPC-223,55.286,84354,85.75,80343,60.049,FPC-488,79.23,82785,76.588,85083,72.766,85434,80.075,FPC-457,83.456,81199,112.816,87064,90.119,FPC-624,76.146,87247,73.575,85521,70.046,85517,77.137,85523,104.79,85298,100.857,83916,102.271,85380
