GEOID,BoroName,NTA2020,lon,lat,centroid,geometry,tt_0,fp_0,tt_1,fp_1,tt_2,fp_2,tt_3,fp_3,tt_4,fp_4,tt_5,fp_5,tt_6,fp_6,tt_7,fp_7,tt_8,fp_8,tt_9,fp_9,tt_10,fp_10,tt_11,fp_11,tt_12,fp_12,tt_13,fp_13,tt_14,fp_14,tt_15,fp_15,tt_16,fp_16,tt_17,fp_17,tt_18,fp_18,tt_19,fp_19,tt_20,fp_20,tt_21,fp_21,tt_22,fp_22,tt_23,fp_23,tt_24,fp_24
36061017401,Manhattan,MN1101,-73.94857461985414,40.79488610383326,POINT (-73.94857462017373 40.79488609958163),POINT (-73.94857461985414 40.79488610383326),8.771,FPC-493,9.613,85379,11.848,83311,11.461,85156,14.281,DSNY-BRS-1104,19.205,FPC-714,16.916,80745,41.737,85350,19.133,81061,21.066,85358,20.156,FPC-75,21.015,83543,25.796,85353,23.334,81071,25.93,83382,28.169,FPC-530,35.283,85483,24.032,81199,26.922,85355,28.756,82022,19.839,85435,26.677,DSNY-BRS-1461,30.52,FPC-663,29.873,84319,26.801,83918
36061017402,Manhattan,MN1101,-73.94715935571905,40.796800616688856,POINT (-73.94715934763163 40.79680061738893),POINT (-73.94715935571905 40.79680061668886),11.185,FPC-493,12.804,85379,10.741,85156,11.787,83311,18.581,FPC-714,15.849,DSNY-BRS-1104,16.196,80745,41.017,85350,19.768,81061,20.346,85358,24.791,85353,22.614,81071,19.428,FPC-75,25.21,83382,22.583,83543,27.449,FPC-530,26.194,85355,35.837,85483,23.687,81199,19.119,85435,30.36,82022,29.792,FPC-663,27.7,DSNY-BRS-1461,29.153,84319,26.081,83918
36061017500,Manhattan,MN0702,-73.97752106313932,40.79040831145807,POINT (-73.97752102589787 40.79040831288255),POINT (-73.97752106313932 40.79040831145807),12.043,FPC-75,16.338,83543,16.335,83311,20.111,82022,15.325,DSNY-BRS-1104,16.342,DSNY-BRS-1461,29.148,81199,22.727,FPC-714,25.202,87369,25.271,FPC-493,23.768,85156,25.562,85379,23.204,Plentiful-1388,30.951,80745,54.846,85350,26.402,87247,28.546,85358,37.837,85483,28.115,80749,27.29,81071,32.274,80520,33.597,81061,38.003,81685,36.338,83382,35.016,85353
36061017700,Manhattan,MN0702,-73.9693888301059,40.79030792356537,POINT (-73.96938880783023 40.79030792293496),POINT (-73.9693888301059 40.79030792356537),13.428,83311,16.025,DSNY-BRS-1104,12.904,FPC-75,13.706,83543,17.535,82022,22.486,FPC-714,19.842,FPC-493,20.813,85156,20.684,85379,18.418,DSNY-BRS-1461,26.516,81199,24.499,87369,51.891,85350,25.625,80745,24.255,Plentiful-1388,37.16,85483,28.324,85358,28.96,87247,30.003,81071,30.139,81061,35.282,83382,34.343,85353,28.089,80749,36.267,FPC-530,32.315,80520
36061018000,Manhattan,MN1102,-73.93959541464999,40.79440196474435,POINT (-73.93959541659348 40.794401955849914),POINT (-73.93959541464999 40.79440196474435),3.03,FPC-493,6.004,85379,15.837,85156,20.487,83311,42.297,85350,21.217,FPC-714,17.187,DSNY-BRS-1104,16.048,81061,22.691,80745,24.917,85353,30.132,FPC-530,26.975,85355,27.207,85358,28.173,83382,29.475,81071,36.231,85483,26.377,85435,32.172,FPC-663,30.43,83543,25.764,FPC-75,25.348,81199,30.25,84319,32.388,83918,32.998,85298,33.037,82022
36061018100,Manhattan,MN0702,-73.96774569584117,40.7925552215666,POINT (-73.96774566882289 40.79255522382589),POINT (-73.96774569584117 40.7925552215666),11.812,83311,15.917,DSNY-BRS-1104,13.907,FPC-75,14.959,83543,19.702,FPC-714,15.685,FPC-493,16.656,85156,16.527,85379,18.899,82022,24.893,81199,19.503,DSNY-BRS-1461,24.009,80745,47.734,85350,22.805,87369,24.167,85358,36.919,85483,27.005,81071,21.901,Plentiful-1388,25.982,81061,27.777,87247,31.125,83382,30.997,85353,33.269,FPC-530,26.899,80749,29.055,85355
36061018400,Manhattan,MN1102,-73.94506538133845,40.79968518169961,POINT (-73.94506540621309 40.79968516401629),POINT (-73.94506538133845 40.79968518169961),8.973,85156,12.051,FPC-493,15.028,85379,12.469,83311,16.595,FPC-714,14.428,80745,16.918,DSNY-BRS-1104,18.0,81061,39.249,85350,18.578,85358,21.927,85353,20.846,81071,23.442,83382,25.681,FPC-530,23.524,85355,17.351,85435,18.758,FPC-75,23.669,83543,27.122,FPC-663,35.973,85483,27.376,84319,23.823,81199,24.313,83918,29.108,81608,30.6,82022
36061018600,Manhattan,MN1001,-73.94970712606082,40.79910225841285,POINT (-73.94970713206081 40.799102250781786),POINT (-73.94970712606082 40.79910225841285),13.522,85156,12.15,83311,14.054,FPC-493,14.896,85379,18.736,FPC-714,15.464,DSNY-BRS-1104,18.977,80745,43.798,85350,22.549,81061,23.127,85358,25.395,81071,25.485,85353,16.429,FPC-75,27.991,83382,22.215,83543,27.409,FPC-530,23.195,85355,25.232,81199,21.9,85435,36.483,85483,28.271,82022,26.793,FPC-663,24.701,DSNY-BRS-1461,33.397,81608,28.862,83918
36061018700,Manhattan,MN0703,-73.97200788311616,40.79809132488262,POINT (-73.97200784280544 40.798091326752164),POINT (-73.97200788311616 40.79809132488262),12.849,83311,14.435,FPC-75,20.648,DSNY-BRS-1104,19.293,FPC-714,19.812,83543,20.844,85156,24.615,82022,24.099,FPC-493,23.986,85379,27.825,80745,20.048,DSNY-BRS-1461,32.257,81199,24.944,87369,25.123,85358,53.711,85350,25.519,81071,32.22,81061,22.446,Plentiful-1388,32.914,83382,37.579,85483,28.322,87247,31.89,85353,33.814,FPC-530,27.613,81608,33.448,85435
36061019200,Manhattan,MN1102,-73.9307827176377,40.799146094590405,POINT (-73.93078272350725 40.79914606697728),POINT (-73.9307827176377 40.79914609459041),14.426,85379,13.757,FPC-493,16.877,85156,13.233,81061,25.308,80745,22.102,85353,39.467,85350,24.16,85355,20.208,FPC-714,27.317,FPC-530,22.064,83311,28.724,83382,23.338,DSNY-BRS-1104,28.639,85358,29.357,FPC-663,27.094,85435,29.582,81071,27.435,84319,29.573,83918,30.183,85298,39.888,85483,37.099,81608,34.584,83543,29.298,FPC-75,29.226,81199
