GEOID,Median_Income,Median_Income_4per_hh,Total_Population,percent_car_owners,percent_poverty
36005021302,19660,41012,5865,0.1248,0.4839
36005021501,36607,61375,4445,0.3134,0.3309
36005021502,26176,59985,6772,0.43,0.3438
36005021601,39283,50697,4625,0.3893,0.1963
36005021602,54410,84335,6195,0.2863,0.1995
36005021700,40794,66974,5220,0.2075,0.2446
36005021800,50849,40714,6154,0.4287,0.2977
36005021900,40587,59688,963,0.3045,0.2222
36005022000,29625,57031,1917,0.3425,0.4554
36005022101,37200,47183,4030,0.327,0.4019
36005022102,40500,49000,5995,0.1769,0.2814
36005022200,46806,51477,3169,0.3112,0.2455
36005022300,30694,31857,5553,0.1251,0.3031
36005022401,50262,104545,2517,0.5552,0.153
36005022403,80140,135000,3061,0.5165,0.0944
36005022404,62656,64148,4736,0.4461,0.1294
36005022500,47254,47122,8818,0.3312,0.222
36005022701,32773,43214,4831,0.1868,0.3303
36005022702,24201,37511,1451,0.1464,0.53
36005022703,70882,70469,1991,0.2594,0.3255
36005022800,66352,91806,6207,0.5795,0.1556
36005022901,41317,64041,5530,0.2515,0.2788
36005022902,46576,72192,3710,0.3684,0.3508
36005023000,51490,85952,2963,0.4716,0.2683
36005023100,47321,73347,1696,0.3449,0.3333
36005023200,53266,82566,2517,0.5493,0.2288
36005023301,37887,58724,4177,0.248,0.2275
36005023302,47857,74178,3982,0.2402,0.3204
36005023501,31786,22614,3325,0.339,0.4559
36005023502,44757,60179,4628,0.2344,0.1683
36005023600,42121,65287,1602,0.4767,0.1212
36005023702,48646,100104,1333,0.32,0.3308
36005023703,19179,28616,5493,0.1065,0.4802
36005023704,31420,42978,3821,0.1906,0.4098
36005023800,64760,61667,2480,0.7036,0.164
36005023900,43102,66808,8489,0.246,0.3201
36005024000,71513,120547,4618,0.6024,0.1927
36005024100,42482,61932,6921,0.2708,0.2441
36005024300,31435,42614,5575,0.2659,0.3064
36005024400,54359,54037,2512,0.7708,0.126
36005024501,35303,54719,4475,0.3354,0.3296
36005024502,42396,87315,3848,0.2737,0.2283
36005024600,77188,119641,2065,0.7249,0.1499
36005024700,52016,79152,1967,0.4085,0.1479
36005024800,77731,104919,3370,0.5556,0.0619
36005025000,82941,128558,2601,0.6412,0.1038
36005025100,46728,72428,6462,0.3063,0.2699
36005025200,71042,72500,2561,0.7323,0.1346
36005025300,40479,82989,6313,0.2967,0.2603
36005025400,75368,176510,2183,0.6456,0.109
36005025500,42218,65437,7728,0.2629,0.2988
