GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36047078802,83002,9.47,14.78,FPC-644,6.06,6.63,FPC-632,6.4,7.21,82186,18.03,20.83,83444,5.06,8.56,DSNY-BRS-1101,3.3,3.72,DSNY-BRS-1101,3.3,4.34,85322,10.29,14.23,80347,4.33,10.08,82261,1.07,2.56,DSNY-BRS-1101,3.3,3.36,85540,7.28,16.02,83444,5.06,7.39,84342,3.67,4.5,84342,3.67,4.67,82785,13.3,19.25,85468,7.64,10.02,85468,7.64,8.38,FPC-632,6.4,6.82,80249,16.5,19.96,85257,3.94,5.33,85257,3.94,4.76,CH-R802,1.75,4.62,84949,8.22,21.52,83993,21.92,33.51,84949,8.22,8.28,FPC-632,6.4,7.04,81458,39.38,50.91
36047079001,83002,14.09,15.4,82347,4.08,6.87,FPC-632,6.1,6.95,82186,18.69,19.77,83444,1.35,8.09,81479,1.14,1.98,80296,4.78,4.95,85322,6.66,11.99,80347,4.02,11.56,80347,4.02,4.51,FPC-635,4.22,4.7,85540,10.62,16.86,83444,1.35,6.71,83444,1.35,2.3,83444,1.35,2.9,82785,10.12,16.91,85468,7.33,10.71,85468,7.33,8.93,85386,5.23,5.81,80249,19.83,20.34,83444,1.35,3.64,83444,1.35,2.3,CH-R802,3.8,4.45,84949,8.51,21.7,83993,21.46,30.89,84949,8.51,9.74,FPC-632,6.1,6.93,81458,35.68,47.21
36047079002,83002,12.49,14.96,82347,5.22,5.79,FPC-632,5.24,6.69,82186,18.23,19.71,83444,2.5,8.29,81479,2.0,2.88,DSNY-BRS-1101,4.13,4.29,85322,7.73,12.51,80347,3.17,10.74,80347,3.17,3.8,DSNY-BRS-1101,4.13,4.19,85540,9.31,16.17,83444,2.5,6.72,85290,2.22,2.4,84342,2.49,3.1,82785,10.74,17.21,85468,6.48,9.79,85468,6.48,8.31,FPC-632,5.24,5.55,80249,18.53,20.26,83444,2.5,3.69,83444,2.5,2.98,CH-R802,2.65,3.95,84949,8.24,21.44,83993,21.46,31.65,84949,8.24,9.52,FPC-632,5.24,6.27,81458,36.82,48.36
36047079201,80403,12.99,15.24,82347,2.83,6.35,FPC-632,6.39,6.75,82186,18.14,19.22,83444,0.98,7.34,83444,0.98,1.54,80296,3.61,4.36,85322,5.85,11.15,80347,4.31,11.48,FPC-635,3.05,4.43,FPC-635,3.05,4.21,85540,11.26,16.45,83444,0.98,6.38,83444,0.98,2.08,83444,0.98,2.65,82785,9.45,16.32,85468,7.63,11.02,85468,7.63,8.9,85386,4.06,5.49,FPC-488,19.33,19.75,83444,0.98,2.74,85333,0.76,1.59,80296,3.61,3.89,84949,7.56,20.82,83993,20.29,29.67,85172,7.49,8.83,FPC-632,6.39,6.82,81458,34.43,45.96
36047079202,80403,13.32,15.42,82347,3.44,6.32,FPC-632,6.62,6.91,82186,17.42,19.24,83444,1.7,7.11,83444,1.7,2.18,80296,3.2,4.03,85322,6.57,11.14,80347,4.55,11.39,FPC-635,3.04,4.42,87341,2.94,3.88,85540,11.01,16.4,83444,1.7,6.46,83444,1.7,2.35,83444,1.7,2.44,82785,10.17,16.82,85468,7.86,11.25,85468,7.86,8.75,85386,4.05,5.76,84911,19.22,19.7,83444,1.7,2.7,85333,1.48,1.83,80296,3.2,3.53,84949,6.86,20.43,83993,20.06,29.92,84949,6.86,8.37,FPC-632,6.62,6.73,81458,34.92,46.45
36047079400,80403,11.42,15.52,82347,2.4,5.17,85172,5.57,7.23,82186,16.69,18.84,83444,2.87,6.74,81742,0.79,1.71,80296,1.7,2.99,85495,7.54,10.65,80347,5.98,11.79,FPC-635,1.14,4.23,FPC-635,1.14,3.2,85540,12.45,15.68,83444,2.87,6.74,81742,0.79,2.18,80296,1.7,2.09,82785,11.34,17.05,85468,9.3,12.6,81748,7.93,9.22,85386,2.15,4.73,84911,17.53,18.09,80296,1.7,2.09,84339,1.47,1.62,80296,1.7,2.87,84949,5.65,18.9,83993,18.38,28.09,85172,5.57,6.92,FPC-444,5.8,7.3,81458,33.02,44.55
36047079601,80403,8.14,15.14,85172,4.09,5.28,85172,4.09,8.24,FPC-488,14.48,18.25,83444,6.17,9.11,81427,3.62,3.93,85172,4.09,4.76,85495,6.05,10.38,80347,9.55,12.19,FPC-635,3.84,4.66,FPC-635,3.84,4.41,FPC-488,14.48,15.55,83444,6.17,8.3,80336,1.79,3.32,85172,4.09,4.76,82785,13.21,16.64,85468,12.86,14.46,81748,5.04,8.13,85386,2.99,6.53,FPC-488,14.48,16.01,80296,5.1,5.46,80296,5.1,5.3,80296,5.1,5.73,84949,7.56,18.55,83993,16.89,25.3,85172,4.09,6.57,FPC-444,9.2,10.82,81458,29.58,41.11
36047079602,80403,9.82,15.21,82347,4.27,4.99,85172,4.37,7.86,82186,15.87,18.18,83444,4.74,6.56,83608,2.58,3.05,80296,1.99,2.79,85495,6.34,10.54,80347,7.85,11.81,FPC-635,0.73,3.81,FPC-635,0.73,3.27,85540,14.32,15.38,83444,4.74,6.56,80336,2.08,3.03,80296,1.99,2.79,82785,12.03,16.9,85468,11.16,13.59,81748,6.72,8.88,85386,0.94,4.47,FPC-488,16.16,16.75,80296,1.99,2.91,80296,1.99,2.19,80296,1.99,2.81,84949,4.45,17.7,83993,17.17,26.52,85172,4.37,5.72,FPC-444,6.09,8.65,81458,31.26,42.79
36047079801,80403,5.94,12.94,85172,1.9,3.9,85172,1.9,7.0,FPC-488,12.28,17.76,83444,6.95,9.89,85172,1.9,3.5,85172,1.9,3.88,85495,3.86,9.17,80292,9.8,10.99,85172,1.9,3.46,85172,1.9,3.21,FPC-488,12.28,14.34,80403,5.94,7.4,85172,1.9,3.11,85172,1.9,4.55,FPC-488,12.28,15.46,85468,13.64,14.24,81748,2.84,5.94,85386,3.76,6.08,FPC-488,12.28,13.81,84946,5.33,5.69,83318,4.79,5.33,83318,4.79,5.51,84949,8.33,17.34,83993,14.7,23.1,85172,1.9,5.26,FPC-444,9.98,11.14,81458,27.38,38.91
36047080000,80403,6.67,11.94,85172,1.7,3.34,85172,1.7,6.4,FPC-488,13.01,18.26,80284,9.48,9.48,85172,1.7,2.62,85172,1.7,3.18,85495,3.35,9.93,80292,7.93,10.5,85172,1.7,3.34,85172,1.7,2.64,83913,11.31,13.82,80403,6.67,7.96,85172,1.7,4.02,85172,1.7,4.13,FPC-488,13.01,16.05,84911,11.99,13.71,81748,4.05,4.95,85386,4.47,4.93,84911,11.99,12.81,84946,3.15,5.17,83318,2.47,3.94,83318,2.47,4.95,84949,6.48,15.49,83993,12.83,23.98,85172,1.7,3.91,FPC-444,8.14,12.04,81458,29.61,41.15
