GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36085022602,83197,180.11,205.88,83197,180.11,189.29,83197,180.11,209.16,83916,221.44,221.44,83197,180.11,204.36,83197,180.11,183.43,FPC-614,49.47,96.36,FPC-464,59.5,165.33,83197,180.11,206.57,81028,33.98,125.9,FPC-711,170.4,190.65,83916,221.44,221.44,83197,180.11,202.57,FPC-464,59.5,113.03,83197,180.11,209.16,85380,216.73,219.08,83197,180.11,203.9,FPC-616,57.69,137.04,83197,180.11,208.45,83916,221.44,221.44,83328,217.42,229.47,FPC-27,216.34,218.4,83328,217.42,219.43,83916,221.44,221.44,83916,221.44,221.44,FPC-621,212.82,215.59,83916,221.44,228.91,83916,221.44,231.41
36085022801,83197,141.48,167.24,83197,141.48,150.65,83197,141.48,170.53,83916,182.8,182.8,83197,141.48,165.72,83197,141.48,144.8,FPC-614,112.52,126.48,FPC-464,125.45,161.56,83197,141.48,167.93,81028,81.3,115.91,FPC-711,131.76,152.01,83916,182.8,182.8,83197,141.48,163.93,85486,74.94,113.96,83197,141.48,170.53,85380,178.09,180.45,83197,141.48,165.27,FPC-616,123.64,133.26,83197,141.48,169.81,83916,182.8,182.8,83328,178.78,190.83,FPC-27,177.7,179.76,83328,178.78,180.79,83916,182.8,182.8,83916,182.8,182.8,FPC-621,174.18,176.95,83916,182.8,190.28,83916,182.8,192.77
36085023100,81020,33.34,51.28,FPC-27,29.25,32.15,83916,36.13,80.97,83916,36.13,36.13,83916,36.13,74.27,FPC-27,29.25,31.59,FPC-24,32.72,32.75,FPC-24,32.72,56.01,Plentiful-553,32.77,33.89,FPC-27,29.25,31.59,84770,34.8,35.24,83916,36.13,36.13,81020,33.34,51.28,85352,9.75,23.66,83916,36.13,58.15,85380,20.44,28.29,FPC-615,11.63,44.05,FPC-27,29.25,32.01,84770,34.8,35.24,83916,36.13,36.13,83328,32.0,51.95,FPC-27,29.25,32.01,83328,32.0,34.06,83916,36.13,36.13,83916,36.13,36.13,FPC-621,5.85,14.46,83916,36.13,60.61,83916,36.13,71.41
36085023900,81020,25.65,43.53,FPC-27,21.56,24.46,83916,28.45,73.14,83916,28.45,28.45,83916,28.45,66.51,FPC-27,21.56,23.91,FPC-24,25.04,25.07,FPC-24,25.04,48.26,Plentiful-553,25.08,26.21,FPC-27,21.56,23.91,84770,27.77,28.0,83916,28.45,28.45,81020,25.65,43.53,FPC-27,21.56,23.33,83916,28.45,50.4,83916,28.45,29.98,FPC-615,25.99,43.64,FPC-27,21.56,24.55,84770,27.77,28.0,83916,28.45,28.45,83328,24.31,44.26,FPC-27,21.56,24.55,83328,24.31,26.38,83916,28.45,28.45,83916,28.45,28.45,83521,19.73,20.55,83916,28.45,52.88,83916,28.45,63.65
36085024401,83197,205.5,230.43,83197,205.5,216.36,83197,205.5,233.17,83916,249.35,249.35,83197,205.5,225.17,83197,205.5,207.82,FPC-614,10.84,77.27,FPC-464,15.47,164.35,83197,205.5,230.65,81028,48.55,149.36,FPC-711,198.31,216.16,83916,249.35,249.35,83197,205.5,225.17,FPC-464,15.47,110.76,83197,205.5,233.17,85380,244.63,246.99,83197,205.5,228.45,FPC-616,13.14,138.02,83197,205.5,230.88,83916,249.35,249.35,83328,245.33,254.92,FPC-27,244.25,246.31,83328,245.33,247.34,83916,249.35,249.35,83916,249.35,249.35,FPC-621,240.73,243.5,83916,249.35,254.37,83916,249.35,255.63
36085024402,83197,217.61,235.64,83197,217.61,227.29,83197,217.61,241.72,83916,261.46,261.46,83197,217.61,229.8,FPC-611,217.58,218.74,FPC-464,19.9,86.91,FPC-464,19.9,172.85,83197,217.61,235.64,81028,60.94,161.56,FPC-711,210.42,224.71,83916,261.46,261.46,83197,217.61,229.8,FPC-464,19.9,119.22,83197,217.61,241.72,85380,256.75,259.1,83197,217.61,235.64,FPC-616,12.96,140.42,83197,217.61,235.9,83916,261.46,261.46,83328,257.44,266.5,FPC-27,256.36,258.42,83328,257.44,259.45,83916,261.46,261.46,83916,261.46,261.46,FPC-621,252.84,255.61,83916,261.46,265.95,83916,261.46,266.95
36085024800,83197,208.58,233.51,83197,208.58,219.44,83197,208.58,236.25,83916,252.43,252.43,83197,208.58,228.6,83197,208.58,210.9,FPC-614,13.75,79.29,FPC-464,15.54,166.43,83197,208.58,233.73,81028,51.63,152.44,FPC-711,201.39,219.23,83916,252.43,252.43,83197,208.58,228.6,FPC-464,15.54,112.84,83197,208.58,236.25,85380,247.71,250.07,83197,208.58,231.53,FPC-616,13.73,140.67,83197,208.58,233.96,83916,252.43,252.43,83328,248.41,258.0,FPC-27,247.32,249.39,83328,248.41,250.42,83916,252.43,252.43,83916,252.43,252.43,FPC-621,243.81,246.58,83916,252.43,257.45,83916,252.43,258.71
36085025100,81020,29.18,39.91,FPC-381,15.78,23.11,83916,34.53,63.11,83916,34.53,34.53,83916,34.53,59.47,FPC-381,15.78,23.11,FPC-24,32.07,32.11,FPC-24,32.07,47.38,Plentiful-553,32.12,32.92,FPC-381,15.78,20.95,FPC-711,25.67,33.57,83916,34.53,34.53,81020,29.18,39.91,FPC-381,15.78,23.11,83916,34.53,46.86,83916,34.53,43.32,83916,34.53,44.65,FPC-381,15.78,22.25,83916,34.53,38.51,83916,34.53,34.53,83328,30.51,47.87,FPC-27,28.72,31.25,83328,30.51,32.52,83916,34.53,34.53,83916,34.53,34.53,FPC-27,28.72,33.63,83916,34.53,53.16,83916,34.53,60.96
36085027301,83197,45.45,58.39,FPC-381,28.64,42.83,83197,45.45,72.94,83916,67.54,67.54,83197,45.45,70.04,FPC-381,28.64,42.83,83197,45.45,58.84,FPC-24,65.52,70.99,83197,45.45,58.86,85366,14.87,23.05,FPC-711,25.64,46.21,83916,67.54,67.54,83197,45.45,58.39,FPC-381,28.64,42.83,83197,45.45,64.87,83916,67.54,68.21,83197,45.45,58.43,85366,14.87,29.65,83197,45.45,62.31,83916,67.54,67.54,83328,63.51,76.75,FPC-27,62.17,64.41,83328,63.51,65.52,83916,67.54,67.54,83916,67.54,67.54,FPC-27,62.17,64.58,83916,67.54,79.68,83916,67.54,84.24
36085027302,83197,29.41,55.69,83197,29.41,39.1,83197,29.41,65.1,83916,71.51,71.51,83197,29.41,61.32,83197,29.41,39.1,83197,29.41,55.69,81559,68.47,69.72,83197,29.41,57.68,83197,29.41,32.4,83197,29.41,49.53,83916,71.51,71.51,83197,29.41,55.69,83197,29.41,39.1,83197,29.41,61.48,83916,71.51,81.21,83197,29.41,61.75,83197,29.41,32.4,83197,29.41,60.9,83916,71.51,71.51,83328,67.48,78.06,83328,67.48,69.67,83328,67.48,69.49,83916,71.51,71.51,83916,71.51,71.51,FPC-27,70.02,74.21,83916,71.51,78.8,83916,71.51,81.46
