GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36081002800,84603,13.51,15.46,84603,12.24,14.09,84603,13.33,16.38,82186,22.12,26.27,84603,13.51,16.03,85163,8.26,11.36,85163,9.24,13.0,83351,15.72,16.65,84258,9.91,11.11,84258,9.04,10.11,84258,10.3,11.31,84258,9.19,11.01,84603,13.51,14.22,84603,12.24,13.23,84603,13.33,15.24,84611,15.15,17.36,83879,8.57,12.94,84603,12.24,14.53,FPC-695,10.4,13.44,81592,8.3,14.6,84936,3.23,6.58,84936,2.27,5.68,84258,9.72,12.21,84258,8.61,11.17,85122,21.3,22.3,83630,16.05,17.72,85161,27.1,30.31,FPC-624,27.86,32.36
36081003000,84603,13.24,15.65,84603,11.55,14.4,84603,13.06,16.88,82186,21.85,26.57,84603,13.24,15.14,85163,10.97,12.29,85163,11.84,13.84,84801,15.68,16.26,84258,11.02,11.36,84258,10.15,10.58,84258,11.44,11.98,84258,10.27,11.25,84603,13.24,14.92,84603,11.55,12.81,84603,13.06,14.63,84611,14.89,17.1,83879,9.68,13.13,84603,11.55,13.53,FPC-695,9.14,13.31,81592,7.05,14.03,84936,4.34,6.95,84936,3.37,6.78,84258,10.86,12.49,84258,9.69,11.41,85122,22.41,22.96,83630,15.37,18.13,85161,25.84,30.24,FPC-624,29.15,32.61
36081003100,81199,13.82,16.94,84065,12.73,13.22,84960,9.05,13.01,81199,12.91,17.4,85483,6.51,12.17,85483,5.56,7.11,85483,6.28,8.87,81199,12.91,17.4,85483,6.51,11.99,85483,5.56,8.28,85483,6.28,12.09,81199,12.91,17.4,85483,6.51,10.63,85483,5.56,6.83,85483,6.28,7.83,81199,12.91,16.11,85483,6.51,11.26,85483,5.56,8.05,85483,6.28,12.09,81199,12.91,17.4,85483,5.93,10.42,85274,2.93,4.52,FPC-168,10.07,14.46,81199,12.33,18.22,81199,13.24,17.78,81199,12.3,15.74,80518,13.83,15.92,80518,12.01,14.63
36081003200,84603,15.13,16.97,84603,13.62,15.22,84603,14.83,17.65,82186,25.38,28.32,84603,15.13,15.39,85163,7.46,11.56,85163,8.27,13.02,84801,15.06,15.64,84258,10.5,10.86,84258,9.65,10.04,84258,10.96,11.79,84258,9.71,10.67,84603,15.13,17.12,83306,11.81,13.38,83583,14.4,15.22,84611,15.94,18.11,83879,9.17,14.0,84603,13.62,14.7,FPC-695,8.32,13.33,81592,6.27,15.12,84936,6.2,8.59,84936,5.21,7.68,84258,10.38,11.96,84258,9.13,10.83,85122,19.17,23.6,83630,17.44,19.05,85161,25.02,31.81,FPC-624,31.74,34.54
36081003302,81199,14.69,17.66,84065,12.97,13.77,84960,6.88,12.7,81199,13.55,18.33,85483,4.33,12.13,85483,3.4,4.93,85483,4.06,7.8,81199,13.55,18.33,85483,4.33,11.5,85483,3.4,6.1,85483,4.06,12.06,81199,13.55,18.33,85483,4.33,9.57,85483,3.4,4.98,85483,4.06,5.65,81199,13.55,16.77,85483,4.33,11.12,85483,3.4,7.5,85483,4.06,12.17,81199,13.55,18.58,85483,3.75,9.27,85483,2.82,4.59,FPC-168,11.27,15.66,81199,12.97,19.4,81199,14.11,18.3,81199,13.25,16.77,80518,15.03,17.13,80518,12.66,15.63
36081003400,84603,17.2,18.51,84603,15.77,17.61,84603,17.08,18.16,82186,22.52,27.9,85378,12.39,12.68,85163,11.37,11.59,85163,12.34,12.8,84801,12.19,12.77,81272,8.77,11.59,81272,7.98,9.27,FPC-630,10.51,11.78,FPC-630,9.71,10.82,FPC-484,16.9,17.0,83306,8.97,12.79,83583,11.46,14.01,84611,13.08,16.87,83879,11.66,14.58,80319,10.93,13.6,FPC-695,6.88,12.95,81592,6.69,13.35,85243,7.04,9.24,84936,7.65,9.77,FPC-432,12.17,12.66,FPC-432,11.35,11.51,85122,21.66,24.33,83630,15.87,20.04,85161,26.09,31.9,FPC-624,34.19,36.68
36081003800,84603,14.85,17.33,84603,13.2,15.15,84603,15.43,18.44,82186,25.97,28.68,84603,14.85,15.75,85163,8.09,11.84,85163,8.94,13.64,84801,15.64,16.22,84258,11.24,11.57,84258,10.51,10.81,84258,11.84,12.58,84258,10.6,11.45,84603,14.85,17.48,83306,12.38,13.72,83583,14.99,15.82,84611,16.53,18.79,83879,9.91,14.28,84603,13.2,14.61,FPC-695,8.99,13.98,81592,6.92,15.63,84936,6.94,9.01,84936,6.07,8.55,84258,11.26,12.74,84258,10.02,11.61,85122,19.91,24.31,83630,17.02,19.06,85161,25.69,32.52,FPC-624,31.58,34.14
36081004001,85512,16.3,16.49,84603,15.03,15.47,84603,17.37,19.11,82186,24.39,27.69,85378,12.93,14.09,85163,7.65,10.2,85163,8.45,12.77,84801,13.84,14.83,81272,12.53,12.96,FPC-99,10.24,11.42,FPC-630,12.32,13.3,FPC-630,11.47,12.11,85512,16.3,16.49,83306,12.68,14.38,83583,13.95,16.22,84611,16.74,19.54,83879,11.84,15.13,80319,13.24,14.74,FPC-695,5.75,12.58,81592,5.7,15.31,84936,8.88,10.66,84936,7.9,10.37,84258,13.21,13.54,84258,11.85,12.27,85122,21.84,25.7,83999,18.43,19.71,85161,22.44,31.22,FPC-624,33.41,34.65
36081004002,81001,14.83,15.96,81001,13.84,15.16,84599,17.7,19.67,82186,24.44,27.7,85378,12.94,14.7,85163,5.14,9.41,85163,5.92,12.6,84801,14.79,15.11,84258,12.73,12.97,FPC-99,10.87,11.57,84258,13.16,13.21,84258,11.29,11.67,81001,14.83,15.96,83306,13.65,14.37,83583,14.95,16.89,84611,17.69,19.8,83879,11.4,15.16,80319,14.21,15.28,FPC-695,6.75,12.14,81592,6.3,15.85,84936,7.79,10.46,84936,6.81,9.73,84258,12.58,13.45,84258,10.71,11.83,85122,21.4,25.71,83999,18.5,20.26,85161,22.51,31.06,FPC-624,33.31,34.66
36081004200,85512,16.78,17.34,84603,17.28,17.66,84599,16.7,17.94,82186,21.55,26.71,85378,9.91,10.45,85378,8.96,10.0,84801,11.57,11.78,84801,10.63,11.67,81272,8.96,12.76,FPC-99,7.05,8.57,FPC-630,8.96,10.93,FPC-630,8.26,10.15,85512,16.78,16.99,83306,9.26,13.16,83583,10.58,13.67,84611,13.31,17.11,83879,13.32,15.38,80319,10.05,13.82,FPC-695,5.58,12.01,81592,6.56,13.46,85243,7.75,9.37,84936,9.16,9.6,FPC-432,10.83,13.22,FPC-432,9.91,12.02,85122,23.32,25.32,83630,16.02,20.69,85161,22.72,29.19,FPC-624,35.68,35.88
