GEOID,Mo_period_1_nearest,Mo_period_1_tt,Mo_period_1_tt_3,Mo_period_2_nearest,Mo_period_2_tt,Mo_period_2_tt_3,Mo_period_3_nearest,Mo_period_3_tt,Mo_period_3_tt_3,Mo_period_4_nearest,Mo_period_4_tt,Mo_period_4_tt_3,Tu_period_1_nearest,Tu_period_1_tt,Tu_period_1_tt_3,Tu_period_2_nearest,Tu_period_2_tt,Tu_period_2_tt_3,Tu_period_3_nearest,Tu_period_3_tt,Tu_period_3_tt_3,Tu_period_4_nearest,Tu_period_4_tt,Tu_period_4_tt_3,We_period_1_nearest,We_period_1_tt,We_period_1_tt_3,We_period_2_nearest,We_period_2_tt,We_period_2_tt_3,We_period_3_nearest,We_period_3_tt,We_period_3_tt_3,We_period_4_nearest,We_period_4_tt,We_period_4_tt_3,Th_period_1_nearest,Th_period_1_tt,Th_period_1_tt_3,Th_period_2_nearest,Th_period_2_tt,Th_period_2_tt_3,Th_period_3_nearest,Th_period_3_tt,Th_period_3_tt_3,Th_period_4_nearest,Th_period_4_tt,Th_period_4_tt_3,Fr_period_1_nearest,Fr_period_1_tt,Fr_period_1_tt_3,Fr_period_2_nearest,Fr_period_2_tt,Fr_period_2_tt_3,Fr_period_3_nearest,Fr_period_3_tt,Fr_period_3_tt_3,Fr_period_4_nearest,Fr_period_4_tt,Fr_period_4_tt_3,Sa_period_1_nearest,Sa_period_1_tt,Sa_period_1_tt_3,Sa_period_2_nearest,Sa_period_2_tt,Sa_period_2_tt_3,Sa_period_3_nearest,Sa_period_3_tt,Sa_period_3_tt_3,Sa_period_4_nearest,Sa_period_4_tt,Sa_period_4_tt_3,Su_period_1_nearest,Su_period_1_tt,Su_period_1_tt_3,Su_period_2_nearest,Su_period_2_tt,Su_period_2_tt_3,Su_period_3_nearest,Su_period_3_tt,Su_period_3_tt_3,Su_period_4_nearest,Su_period_4_tt,Su_period_4_tt_3
36061003100,85471,14.08,15.09,85471,14.08,14.92,85471,14.08,14.92,85517,20.95,34.52,85471,14.08,15.09,85471,14.08,14.92,85471,14.08,14.92,85517,20.95,34.52,85471,14.08,15.09,85471,14.08,14.92,85471,14.08,14.92,85517,20.95,34.52,85471,14.08,15.09,85471,14.08,14.92,85471,14.08,14.92,85517,20.95,34.52,85471,14.08,15.09,85471,14.08,14.92,85471,14.08,14.92,81458,17.88,31.29,85291,29.96,34.1,FPC-374,14.54,17.85,FPC-374,14.54,30.23,87247,49.66,71.77,82998,15.93,35.06,82998,15.93,24.01,82998,15.93,26.51,81458,17.88,59.93
36061003200,FPC-627,10.42,11.38,80813,5.38,8.85,FPC-627,10.42,13.46,85434,14.69,31.34,85310,2.24,5.47,85310,2.24,3.68,87046,11.84,14.02,85434,14.69,31.34,87318,10.46,11.97,80813,5.38,8.86,87046,11.84,14.02,85434,14.69,31.34,DSNY-BRS-1058,10.76,13.66,80813,5.38,10.28,85434,14.69,16.21,85434,14.69,31.34,DSNY-BRS-1058,10.76,13.29,80813,5.38,9.91,87290,13.55,14.87,87290,13.55,26.35,85291,5.06,10.99,81685,7.09,11.09,FPC-628,10.31,22.79,87247,36.45,67.42,81458,29.04,40.41,81458,29.04,30.66,81458,29.04,35.05,81458,29.04,52.6
36061003300,85471,10.35,16.44,82998,8.4,12.84,82998,8.4,12.84,85517,19.79,33.27,85471,10.35,16.44,82998,8.4,12.84,82998,8.4,12.84,85517,19.79,33.27,85471,10.35,16.44,82998,8.4,12.84,82998,8.4,12.84,85517,19.79,33.27,85471,10.35,16.44,82998,8.4,12.84,82998,8.4,12.84,85517,19.79,33.27,85471,10.35,13.48,82998,8.4,9.89,82998,8.4,9.89,81458,10.92,26.49,80520,26.47,29.9,FPC-374,17.43,20.82,FPC-374,17.43,29.66,87247,42.71,71.11,82998,8.4,27.72,82998,8.4,16.68,82998,8.4,23.93,81458,10.92,56.18
36061003400,FPC-627,12.86,14.4,80813,6.18,10.97,FPC-627,12.86,14.34,85434,20.18,30.13,DSNY-BRS-1075,4.92,9.05,DSNY-BRS-1075,4.92,6.49,FPC-559,13.86,15.84,85434,20.18,30.13,FPC-559,13.86,15.5,80813,6.18,12.07,FPC-559,13.86,15.84,85434,20.18,30.13,FPC-559,13.86,16.84,80813,6.18,10.4,FPC-559,13.86,16.17,85434,20.18,30.13,FPC-559,13.86,16.47,80813,6.18,12.12,FPC-559,13.86,15.12,87290,15.19,26.81,81685,3.91,10.91,81685,3.91,14.12,FPC-628,16.44,25.22,87247,31.88,65.78,81458,33.37,41.51,80720,25.95,30.53,81458,33.37,36.42,81458,33.37,50.42
36061003601,80491,3.04,5.74,80491,3.04,5.74,80491,3.04,9.87,85434,13.06,30.94,80491,3.04,5.7,80491,3.04,5.7,80491,3.04,10.08,85434,13.06,30.94,87318,2.1,2.98,87318,2.1,2.98,80491,3.04,10.08,85434,13.06,30.94,80491,3.04,6.63,80491,3.04,6.63,80491,3.04,10.08,85434,13.06,30.94,84461,3.03,3.29,84461,3.03,3.29,84461,3.03,6.73,87290,15.14,23.72,85291,7.74,16.69,FPC-628,7.84,10.87,FPC-628,7.84,19.21,87247,38.38,64.92,81458,17.64,33.44,81458,17.64,23.45,81458,17.64,28.08,81458,17.64,50.44
36061003602,DSNY-BRS-1058,1.56,7.43,DSNY-BRS-1058,1.56,7.43,80491,6.33,10.54,85434,16.23,30.3,DSNY-BRS-1058,1.56,5.27,DSNY-BRS-1058,1.56,5.27,80491,6.33,12.74,85434,16.23,30.3,DSNY-BRS-1058,1.56,4.7,DSNY-BRS-1058,1.56,4.7,80491,6.33,12.74,85434,16.23,30.3,DSNY-BRS-1058,1.56,7.98,DSNY-BRS-1058,1.56,7.77,80491,6.33,12.87,85434,16.23,30.3,DSNY-BRS-1058,1.56,5.05,DSNY-BRS-1058,1.56,5.05,80491,6.33,8.15,87290,10.86,21.5,85291,5.14,13.58,FPC-628,11.79,14.92,FPC-628,11.79,20.58,87247,34.11,63.21,81458,19.52,33.28,81458,19.52,23.28,81458,19.52,27.92,81458,19.52,48.21
36061003700,85471,18.25,19.33,82998,5.16,14.0,82998,5.16,14.0,85517,30.28,33.29,85471,18.25,19.33,82998,5.16,14.0,82998,5.16,14.0,85517,30.28,33.29,85471,18.25,19.33,82998,5.16,14.0,82998,5.16,14.0,85517,30.28,33.29,85471,18.25,19.33,82998,5.16,14.0,82998,5.16,14.0,85517,30.28,33.29,81458,5.21,14.02,82998,5.16,9.54,82998,5.16,9.54,81458,5.21,20.72,80520,20.79,24.39,80749,24.18,25.55,FPC-374,24.91,29.14,87247,34.94,69.69,82998,5.16,20.63,82998,5.16,10.51,82998,5.16,18.31,81458,5.21,51.04
36061003900,85471,7.05,16.01,85471,7.05,12.41,85471,7.05,12.41,85517,20.01,35.74,85471,7.05,16.01,85471,7.05,12.41,85471,7.05,12.41,85517,20.01,35.74,85471,7.05,16.01,85471,7.05,12.41,85471,7.05,12.41,85517,20.01,35.74,85471,7.05,16.01,85471,7.05,12.41,85471,7.05,12.41,85517,20.01,35.74,85471,7.05,14.02,85471,7.05,10.42,85471,7.05,10.42,81458,14.04,29.83,80520,30.04,33.39,85345,20.96,24.16,FPC-374,21.69,33.39,87247,45.83,74.77,82998,10.17,28.53,82998,10.17,18.88,82998,10.17,26.6,81458,14.04,59.61
36061004001,FPC-559,10.96,13.47,80813,9.07,11.24,FPC-559,10.96,13.62,85434,23.07,29.15,DSNY-BRS-1075,7.81,9.96,DSNY-BRS-1075,7.81,9.28,FPC-559,10.96,13.76,85434,23.07,29.15,FPC-559,10.96,12.82,80813,9.07,11.24,FPC-559,10.96,13.76,85434,23.07,29.15,FPC-559,10.96,14.48,FPC-252,8.44,9.49,FPC-559,10.96,13.76,85434,23.07,29.15,FPC-559,10.96,14.48,80813,9.07,11.24,FPC-559,10.96,12.47,87290,12.3,23.92,81685,6.8,11.48,81685,6.8,15.15,FPC-628,19.16,24.36,87247,28.97,63.15,81458,30.49,38.76,80720,23.04,27.71,81458,30.49,33.53,81458,30.49,47.73
36061004002,FPC-559,7.92,12.13,FPC-559,7.92,10.73,FPC-559,7.92,12.45,87247,25.94,28.14,FPC-559,7.92,10.3,FPC-559,7.92,10.28,FPC-559,7.92,13.55,87247,25.94,28.14,FPC-559,7.92,12.13,FPC-559,7.92,10.73,FPC-559,7.92,13.55,87247,25.94,28.14,FPC-559,7.92,12.13,FPC-252,5.43,8.49,FPC-559,7.92,13.55,87247,25.94,28.14,FPC-559,7.92,12.13,FPC-559,7.92,10.73,FPC-559,7.92,11.18,87290,9.31,20.91,81685,9.83,12.48,81685,9.83,16.15,FPC-628,22.15,24.84,87247,25.94,60.52,81458,27.49,35.79,80720,20.01,24.7,81458,27.49,30.52,81458,27.49,44.75
